fe2e76261d1fbe0fe931193b5884f4995d490eb89e3bcb3310f99a93ca195dad,056324de7336fb57c4cb5299368d110f95ef999f2b06e506f033ed496a528874,86d3eca839c7583479e70d0cecd49494309d5082f456a259439eec6ff93f3b56,03cf409d480a8dcbb13f42b9cb1ad87bc3b2bf45b1600713536f3bd08ba5e325,a231083013b927dd562d5e43a104b401b49ea0791adf7ea2902e0a2bf1db4294,67d57b68bb08de35645bdfd681e9fc8478e57985fcd0a9ffe6c7e927500a79eb,167859e93b9a66632f994c5fc5e14b83981f3bb0cd96406fcaf8179602d074b5,942c62019c5f0651cba63b4dfc6af3126d2d3d1627344361568a85a3072cb5dd,9e9da2942616092fae35ff5c47fbbf5b92ded561b416f222fe91e560f17ee611,f04b7b0ee809513504196041d2be1a3111cfc014cc702b5d6b5661646fe321a2,a51b429cbe722e55335a3c0a04737f1b5d0385480c523556b3e6446155c78f97
"0","進行1場戰鬥","7000","1","2021/12/17 16:00:00","0","1000","10000101","10","2021/12/24 15:59:59","10000101"
"0","進行5場戰鬥","7000","5","2021/12/17 16:00:00","0","1000","10000102","10","2021/12/24 15:59:59","10000102"
"0","進行10場戰鬥","7000","10","2021/12/17 16:00:00","0","1000","10000103","10","2021/12/24 15:59:59","10000103"
"0","進行15場戰鬥","7000","15","2021/12/17 16:00:00","0","1000","10000104","10","2021/12/24 15:59:59","10000104"
"0","進行20場戰鬥","7000","20","2021/12/17 16:00:00","0","1000","10000105","10","2021/12/24 15:59:59","10000105"
"0","進行25場戰鬥","7000","25","2021/12/17 16:00:00","0","1000","10000106","10","2021/12/24 15:59:59","10000106"
"0","進行30場戰鬥","7000","30","2021/12/17 16:00:00","0","1000","10000107","10","2021/12/24 15:59:59","10000107"
"0","進行35場戰鬥","7000","35","2021/12/17 16:00:00","0","1000","10000108","10","2021/12/24 15:59:59","10000108"
"0","進行40場戰鬥","7000","40","2021/12/17 16:00:00","0","1000","10000109","10","2021/12/24 15:59:59","10000109"
"1005","對美空造成300萬累積傷害","7001","3000000","2021/12/17 16:00:00","0","1005","10050501","50","2021/12/24 15:59:59","10050501"
"1005","對美空造成900萬累積傷害","7001","9000000","2021/12/17 16:00:00","0","1005","10050502","50","2021/12/24 15:59:59","10050502"
"1005","對美空造成1500萬累積傷害","7001","15000000","2021/12/17 16:00:00","0","1005","10050503","50","2021/12/24 15:59:59","10050503"
"1005","在1場戰鬥中對美空造成100萬傷害","7002","1","2021/12/17 16:00:00","1000000","1005","10050511","51","2021/12/24 15:59:59","10050511"
"1005","在1場戰鬥中對美空造成300萬傷害","7002","1","2021/12/17 16:00:00","3000000","1005","10050512","51","2021/12/24 15:59:59","10050512"
"1006","對蘭法造成500萬累積傷害","7001","5000000","2021/12/17 16:00:00","0","1006","10060601","60","2021/12/24 15:59:59","10060601"
"1006","對蘭法造成1500萬累積傷害","7001","15000000","2021/12/17 16:00:00","0","1006","10060602","60","2021/12/24 15:59:59","10060602"
"1006","對蘭法造成2400萬累積傷害","7001","24000000","2021/12/17 16:00:00","0","1006","10060603","60","2021/12/24 15:59:59","10060603"
"1006","在1場戰鬥中對蘭法造成200萬傷害","7002","1","2021/12/17 16:00:00","2000000","1006","10060611","61","2021/12/24 15:59:59","10060611"
"1006","在1場戰鬥中對蘭法造成500萬傷害","7002","1","2021/12/17 16:00:00","5000000","1006","10060612","61","2021/12/24 15:59:59","10060612"
"1007","對阿澤爾德造成300萬累積傷害","7001","3000000","2021/12/17 16:00:00","0","1007","10070701","70","2021/12/24 15:59:59","10070701"
"1007","對阿澤爾德造成900萬累積傷害","7001","9000000","2021/12/17 16:00:00","0","1007","10070702","70","2021/12/24 15:59:59","10070702"
"1007","對阿澤爾德造成1500萬累積傷害","7001","15000000","2021/12/17 16:00:00","0","1007","10070703","70","2021/12/24 15:59:59","10070703"
"1007","在1場戰鬥中對阿澤爾德造成100萬傷害","7002","1","2021/12/17 16:00:00","1000000","1007","10070711","71","2021/12/24 15:59:59","10070711"
"1007","在1場戰鬥中對阿澤爾德造成300萬傷害","7002","1","2021/12/17 16:00:00","3000000","1007","10070712","71","2021/12/24 15:59:59","10070712"
"1008","對卡里莎造成500萬累積傷害","7001","5000000","2021/12/17 16:00:00","0","1008","10080801","80","2021/12/24 15:59:59","10080801"
"1008","對卡里莎造成1500萬累積傷害","7001","15000000","2021/12/17 16:00:00","0","1008","10080802","80","2021/12/24 15:59:59","10080802"
"1008","對卡里莎造成2400萬累積傷害","7001","24000000","2021/12/17 16:00:00","0","1008","10080803","80","2021/12/24 15:59:59","10080803"
"1008","在1場戰鬥中對卡里莎造成200萬傷害","7002","1","2021/12/17 16:00:00","2000000","1008","10080811","81","2021/12/24 15:59:59","10080811"
"1008","在1場戰鬥中對卡里莎造成500萬傷害","7002","1","2021/12/17 16:00:00","5000000","1008","10080812","81","2021/12/24 15:59:59","10080812"
