cb75275fa7dd3df8778f556c6b4605423726e117cf45976d8a32a4384c3f43b7,85dc826ba23d59d4346fda7203979bb93f8e417282ae0a07740be43f4866d7c2,fdd82ca657bdad60234502915585e766cdf972a403292ca21cfa283b5ed7bdb3,c2e926738f2a6b4827765ab78916e98d84b2b35c057e3c6365d4c3173b0be3eb,c87cf2f74f7b9117545572dad19fdd97417492bafc221e08f593f2c273feb474,cac394101db42364e7bc7b19e89347118419d902af0b075209a7237d04fd8446
"1110111","1","0","111011101","1","101001"
"1110211","1","0","111021101","1","101002"
"1330111","3","0","133011101","1","301"
"1330112","3","0","133011201","1","301"
"1330201","3","500","133020101","0","302"
"1330202","3","500","133020201","0","302"
"1330301","3","1","133030101","0","303"
"1330302","3","250","133030201","0","303"
"1330303","3","1","133030301","0","303"
"1330304","3","1","133030401","0","303"
"1330305","3","250","133030501","0","303"
"1330306","3","1","133030601","0","303"
"1330401","3","1000","133040101","0","304"
"1330402","3","1000","133040201","0","304"
"1330403","3","1000","133040301","0","304"
"1330404","3","1000","133040401","0","304"
"1330511","3","0","133051101","1","305"
"1330512","3","0","133051201","1","305"
"1340101","3","1","134010101","0","401"
"1340102","3","1","134010201","0","401"
"1340211","3","0","134021101","1","402"
"1340212","3","0","134021201","1","402"
"1400101","4","1","140010101","0","1"
"1400102","4","1","140010201","0","1"
"1400103","4","10","140010301","0","1"
"1400201","4","0","140020101","0","2"
"2100001","1","0","210000101","0","0"
"2110301","1","0","211030101","0","101003"
"2210101","2","0","221010101","0","100001"
"2210201","2","0","221020101","0","100002"
"2210301","2","0","221030101","0","100003"
"2210501","2","0","221050101","0","100005"
"2210701","2","0","221070101","0","100007"
"2210801","2","0","221080101","0","100008"
"2210901","2","0","221090101","0","100009"
"2211001","2","0","221100101","0","100010"
"2211101","2","0","221110101","0","100011"
"2211201","2","0","221120101","0","100012"
"2211301","2","0","221130101","0","100013"
"2211401","2","0","221140101","0","100014"
"2211601","2","0","221160101","0","100016"
"2211701","2","0","221170101","0","100017"
"2220201","1","0","222020101","0","201020"
"2220401","1","0","222040101","0","201040"
"2220501","1","0","222050101","0","201050"
"2220601","1","0","222060101","0","201060"
"2220701","1","0","222070101","0","201070"
"2220801","1","0","222080101","0","201080"
"2220901","1","0","222090101","0","201090"
"2221001","1","0","222100101","0","201100"
"2221101","1","0","222110101","0","201110"
"2221301","1","0","222130101","0","201130"
"2221401","1","0","222140101","0","201140"
"2221601","1","0","222160101","0","201160"
"2221801","1","0","222180101","0","201180"
"2221901","1","0","222190101","0","201190"
"2222001","1","0","222200101","0","201200"
"2222101","1","0","222210101","0","201210"
"2222201","1","0","222220101","0","201220"
"2222301","1","0","222230101","0","201230"
"2222401","1","0","222240101","0","201240"
"2222501","1","0","222250101","0","201250"
"2222701","1","0","222270101","0","201270"
"2222801","1","0","222280101","0","201280"
"2222901","1","0","222290101","0","201290"
"2223001","1","0","222300101","0","201300"
"2223201","1","0","222320101","0","201320"
"2223401","1","0","222340101","0","201340"
"2223501","1","0","222350101","0","201350"
"2223601","1","0","222360101","0","201360"
"2223701","1","0","222370101","0","201370"
"2223801","1","0","222380101","0","201380"
"2223901","1","0","222390101","0","201390"
"2224001","1","0","222400101","0","201400"
"2224101","1","0","222410101","0","201410"
"2224301","1","0","222430101","0","201430"
"2224401","1","0","222440101","0","201440"
"2224701","1","0","222470101","0","201470"
"2224801","1","0","222480101","0","201480"
"2224901","1","0","222490101","0","201490"
"2330101","3","1000","233010101","0","301"
"2330501","3","1000","233050101","0","305"
"2340201","3","0","234020101","0","402"
"2340301","3","0","234030101","0","403"
"2400101","4","0","240010101","0","1"
"3100001","1","0","310000101","0","0"
"3100002","1","0","310000102","0","0"
"3110101","1","0","311010101","0","101001"
"3110201","1","0","311020101","0","101002"
