77e4553955c2532aaabadaf425be814130675be1f0a563112e095b1eaa8e21be,c421f0a2eceab8dfb897edb598d97e2d4604bd818408f9712015c190df73ac0d,31c9bf1160539ebf017a0785776faf2c576936b8ab620a1a92fa02e6d572a614,8518bd639240c8b5be7028b5724e914dd75654486422ad4890d3fb8494f2d5e1,0d8f016306ed3a397048e94bf577e849c39d7dfd7e917512deb3386e3a8e5cdc,f97640720a9cec8be85d90da685d27ed58b4e023eaf6cb24858d74953fb37442,0876975e04c7f6eac1e6ea5cd540ab365c1105835b1c243a1fb02634a3be607f,7f4865b21482c3ede017ed46d79326920630c6e5e565425fbfeda01694ab5e4f,e67525d5267193a56ce835d6d2d7fc38fd3f2ea5bd3c57ad27d345fa86ea5b9b,a64381de060c0bbd85424bf6d4d9b6fcbc3683e1b3443fe30865ed9492b5cdd8
"2","","15","3","10001","-1","2","8","22","53003"
"1","","1","3","10002","14","1","5","22","53003"
"0","若菜的施捨","0","3","10003","0","0","2","23","52019"
"2","","15","4","10004","-1","2","8","22","53003"
"1","","1","4","10005","14","1","5","22","53003"
"0","若菜的施捨","0","4","10006","0","0","2","23","52019"
"2","","15","5","10007","-1","2","8","22","53003"
"1","","1","5","10008","14","1","5","22","53003"
"0","若菜的施捨","0","5","10009","0","0","2","23","52019"
"2","","15","6","10010","-1","2","8","22","53003"
"1","","1","6","10011","14","1","5","22","53003"
"0","若菜的施捨","0","6","10012","0","0","2","23","52019"
"2","","15","7","10013","-1","2","8","22","53003"
"1","","1","7","10014","14","1","5","22","53003"
"0","若菜的施捨","0","7","10015","0","0","2","23","52019"
"2","","15","8","10016","-1","2","8","22","53003"
"1","","1","8","10017","14","1","5","22","53003"
"0","若菜的施捨","0","8","10018","0","0","2","23","52019"
"2","","15","9","10019","-1","2","8","22","53003"
"1","","1","9","10020","14","1","5","22","53003"
"0","若菜的施捨","0","9","10021","0","0","2","23","52019"
"2","","15","10","10022","-1","2","8","22","53003"
"1","","1","10","10023","14","1","5","22","53003"
"0","若菜的施捨","0","10","10024","0","0","2","23","52019"
"2","","15","11","10025","-1","2","8","22","53003"
"1","","1","11","10026","14","1","5","22","53003"
"0","若菜的施捨","0","11","10027","0","0","2","23","52019"
