bb2620b19450dfb80bdc0ab0053b12606b5f46f9e20a897ba08a073b267a445e,785145460ecf77bc3dd60ea63ef29ce59286b5b4bf8bc34ee28230de61266100,3bf7594434d6e1e77469f98da6e49e23f8c849fdb22c71550dba531497a91be1,25499ef1cbb2302b4e3ab3f21fed9449c082a07acc36c479b8a3bdc3cce1a934,7fdb942a1d282ed52424230597aeeceaf678709995cb427f9f7d72b5b4de4f23,4bbec9bd1338d9c9764e3b902bb0398ba069930aad768a13e939c0cc2c3367a6,754e62c0effc673d6fc27fe17b83d0ca1063480e75c7f577ae3b2c3829bbcbc5,3278e8edfc21d078bc7dd0c13a0369a4e12b2026102cb3200fa1a25b126ad133
"0","10012103","0","10012","0","1001201","1","0"
"0","10012107","0","10012","0","1001202","2","0"
"0","10012109","0","10012","0","1001203","3","0"
"1001201","10012114","0","10012","0","1001204","4","0"
"1001202","10012114","0","10012","0","1001204","5","0"
"1001203","10012114","0","10012","0","1001204","6","0"
"0","20012103","0","20012","0","2001201","7","0"
"0","20012107","0","20012","0","2001202","8","0"
"0","20012109","0","20012","0","2001203","9","0"
"2001201","20012114","0","20012","0","2001204","10","0"
"2001202","20012114","0","20012","0","2001204","11","0"
"2001203","20012114","0","20012","0","2001204","12","0"
