1c9f7d0c0533ae1c9d4495d703c027a431ef3bf39384744f3c94778274754f9b,70f1d49f81947e369927b77e08dea3d32503407bf648aac5ab8b85987f48a4dd,763178635cf0a0bbe053ab1d45945a1b38b6d08e2a65ea8953f8166759825517,436aeb291020db9505d181cb2dcaf0d976a23cfec7e1c98bca513da593c4d6e3,45f1b03b1c782bab17d21bfb42d2f235ca48698f6a72472700c4634965403757,4d79fe7b4dd28de9639a922e243a31771a5322190a2ba472632473640e1c67bf,58013708677e4d3174d62ca6a36092e5e2fc875bea7b8cfea3ed17719bbbe42f
"810100104","810100101","810010011","810100103","810100102","810100105","81001001"
"810100204","810100201","810010021","810100203","810100202","810100205","81001002"
"810100304","810100301","810010031","810100303","810100302","810100305","81001003"
"810100404","810100401","810010041","810100403","810100402","810100405","81001004"
"810100504","810100501","810010051","810100503","810100502","810100505","81001005"
"810100604","810100601","810010061","810100603","810100602","810100605","81001006"
"810100704","810100701","810010071","810100703","810100702","810100705","81001007"
"810100804","810100801","810010081","810100803","810100802","810100805","81001008"
"810100904","810100901","810010091","810100903","810100902","810100905","81001009"
"0","810101001","810010101","0","0","0","81001010"
"810101104","810101101","810010111","810101103","810101102","810101105","81001011"
"810101204","810101201","810010121","810101203","810101202","810101205","81001012"
"810101304","810101301","810010131","810101303","810101302","810101305","81001013"
"810101404","810101401","810010141","810101403","810101402","810101405","81001014"
"810101504","810101501","810010151","810101503","810101502","810101505","81001015"
"810101604","810101601","810010161","810101603","810101602","810101605","81001016"
"810101704","810101701","810010171","810101703","810101702","810101705","81001017"
"810101804","810101801","810010181","810101803","810101802","810101805","81001018"
"810101904","810101901","810010191","810101903","810101902","810101905","81001019"
"0","810102001","810010201","0","0","0","81001020"
"810102104","810102101","810010211","810102103","810102102","810102105","81001021"
"810102204","810102201","810010221","810102203","810102202","810102205","81001022"
"810102304","810102301","810010231","810102303","810102302","810102305","81001023"
"810102404","810102401","810010241","810102403","810102402","810102405","81001024"
"810102504","810102501","810010251","810102503","810102502","810102505","81001025"
"810102604","810102601","810010261","810102603","810102602","810102605","81001026"
"810102704","810102701","810010271","810102703","810102702","810102705","81001027"
"810102804","810102801","810010281","810102803","810102802","810102805","81001028"
"810102904","810102901","810010291","810102903","810102902","810102905","81001029"
"0","810103001","810010301","0","0","0","81001030"
"810103104","810103101","810010311","810103103","810103102","810103105","81001031"
"810103204","810103201","810010321","810103203","810103202","810103205","81001032"
"810103304","810103301","810010331","810103303","810103302","810103305","81001033"
"810103404","810103401","810010341","810103403","810103402","810103405","81001034"
"810103504","810103501","810010351","810103503","810103502","810103505","81001035"
"810103604","810103601","810010361","810103603","810103602","810103605","81001036"
"810103704","810103701","810010371","810103703","810103702","810103705","81001037"
"810103804","810103801","810010381","810103803","810103802","810103805","81001038"
"810103904","810103901","810010391","810103903","810103902","810103905","81001039"
"0","810104001","810010401","0","0","0","81001040"
"810104104","810104101","810010411","810104103","810104102","810104105","81001041"
"810104204","810104201","810010421","810104203","810104202","810104205","81001042"
"810104304","810104301","810010431","810104303","810104302","810104305","81001043"
"810104404","810104401","810010441","810104403","810104402","810104405","81001044"
"810104504","810104501","810010451","810104503","810104502","810104505","81001045"
"810104604","810104601","810010461","810104603","810104602","810104605","81001046"
"810104704","810104701","810010471","810104703","810104702","810104705","81001047"
"810104804","810104801","810010481","810104803","810104802","810104805","81001048"
"810104904","810104901","810010491","810104903","810104902","810104905","81001049"
"0","810105001","810010501","0","0","0","81001050"
"810105104","810105101","810010511","810105103","810105102","810105105","81001051"
"810105204","810105201","810010521","810105203","810105202","810105205","81001052"
"810105304","810105301","810010531","810105303","810105302","810105305","81001053"
"810105404","810105401","810010541","810105403","810105402","810105405","81001054"
"810105504","810105501","810010551","810105503","810105502","810105505","81001055"
"810105604","810105601","810010561","810105603","810105602","810105605","81001056"
"810105704","810105701","810010571","810105703","810105702","810105705","81001057"
"810105804","810105801","810010581","810105803","810105802","810105805","81001058"
"810105904","810105901","810010591","810105903","810105902","810105905","81001059"
"0","810106001","810010601","0","0","0","81001060"
"810106104","810106101","810010611","810106103","810106102","810106105","81001061"
"810106204","810106201","810010621","810106203","810106202","810106205","81001062"
"810106304","810106301","810010631","810106303","810106302","810106305","81001063"
"810106404","810106401","810010641","810106403","810106402","810106405","81001064"
"810106504","810106501","810010651","810106503","810106502","810106505","81001065"
"810106604","810106601","810010661","810106603","810106602","810106605","81001066"
"810106704","810106701","810010671","810106703","810106702","810106705","81001067"
"810106804","810106801","810010681","810106803","810106802","810106805","81001068"
"810106904","810106901","810010691","810106903","810106902","810106905","81001069"
"0","810107001","810010701","0","0","0","81001070"
"820100104","820100101","820010011","820100103","820100102","820100105","82001001"
"820100204","820100201","820010021","820100203","820100202","820100205","82001002"
"820100304","820100301","820010031","820100303","820100302","820100305","82001003"
"820100404","820100401","820010041","820100403","820100402","820100405","82001004"
"820100504","820100501","820010051","820100503","820100502","820100505","82001005"
"820100604","820100601","820010061","820100603","820100602","820100605","82001006"
"820100704","820100701","820010071","820100703","820100702","820100705","82001007"
"820100804","820100801","820010081","820100803","820100802","820100805","82001008"
"820100904","820100901","820010091","820100903","820100902","820100905","82001009"
"0","820101001","820010101","0","0","0","82001010"
"820101104","820101101","820010111","820101103","820101102","820101105","82001011"
"820101204","820101201","820010121","820101203","820101202","820101205","82001012"
"820101304","820101301","820010131","820101303","820101302","820101305","82001013"
"820101404","820101401","820010141","820101403","820101402","820101405","82001014"
"820101504","820101501","820010151","820101503","820101502","820101505","82001015"
"820101604","820101601","820010161","820101603","820101602","820101605","82001016"
"820101704","820101701","820010171","820101703","820101702","820101705","82001017"
"820101804","820101801","820010181","820101803","820101802","820101805","82001018"
"820101904","820101901","820010191","820101903","820101902","820101905","82001019"
"0","820102001","820010201","0","0","0","82001020"
"820102104","820102101","820010211","820102103","820102102","820102105","82001021"
"820102204","820102201","820010221","820102203","820102202","820102205","82001022"
"820102304","820102301","820010231","820102303","820102302","820102305","82001023"
"820102404","820102401","820010241","820102403","820102402","820102405","82001024"
"820102504","820102501","820010251","820102503","820102502","820102505","82001025"
"820102604","820102601","820010261","820102603","820102602","820102605","82001026"
"820102704","820102701","820010271","820102703","820102702","820102705","82001027"
"820102804","820102801","820010281","820102803","820102802","820102805","82001028"
"820102904","820102901","820010291","820102903","820102902","820102905","82001029"
"0","820103001","820010301","0","0","0","82001030"
"820103104","820103101","820010311","820103103","820103102","820103105","82001031"
"820103204","820103201","820010321","820103203","820103202","820103205","82001032"
"820103304","820103301","820010331","820103303","820103302","820103305","82001033"
"820103404","820103401","820010341","820103403","820103402","820103405","82001034"
"820103504","820103501","820010351","820103503","820103502","820103505","82001035"
"820103604","820103601","820010361","820103603","820103602","820103605","82001036"
"820103704","820103701","820010371","820103703","820103702","820103705","82001037"
"820103804","820103801","820010381","820103803","820103802","820103805","82001038"
"820103904","820103901","820010391","820103903","820103902","820103905","82001039"
"0","820104001","820010401","0","0","0","82001040"
"820104104","820104101","820010411","820104103","820104102","820104105","82001041"
"820104204","820104201","820010421","820104203","820104202","820104205","82001042"
"820104304","820104301","820010431","820104303","820104302","820104305","82001043"
"820104404","820104401","820010441","820104403","820104402","820104405","82001044"
"820104504","820104501","820010451","820104503","820104502","820104505","82001045"
"820104604","820104601","820010461","820104603","820104602","820104605","82001046"
"820104704","820104701","820010471","820104703","820104702","820104705","82001047"
"820104804","820104801","820010481","820104803","820104802","820104805","82001048"
"820104904","820104901","820010491","820104903","820104902","820104905","82001049"
"0","820105001","820010501","0","0","0","82001050"
"820105104","820105101","820010511","820105103","820105102","820105105","82001051"
"820105204","820105201","820010521","820105203","820105202","820105205","82001052"
"820105304","820105301","820010531","820105303","820105302","820105305","82001053"
"820105404","820105401","820010541","820105403","820105402","820105405","82001054"
"820105504","820105501","820010551","820105503","820105502","820105505","82001055"
"820105604","820105601","820010561","820105603","820105602","820105605","82001056"
"820105704","820105701","820010571","820105703","820105702","820105705","82001057"
"820105804","820105801","820010581","820105803","820105802","820105805","82001058"
"820105904","820105901","820010591","820105903","820105902","820105905","82001059"
"0","820106001","820010601","0","0","0","82001060"
