7bd8b76dcfeb3ae157bb76704f67c15afe48a9c0bfac7ab2d7749d2182cefd68,71f65d19f977235ddf480ac6d521edb6c912bd080bbebab496f1c731294b30ba,639d0e0b4bda215215b8c5dad8785d4134ba4cb43bdf374a810b5762c23278a2,af1af5e759861763aa48db619c4cda981f0cf639916439c129b52e9ddd8ed718,ef14e98dae560c1780f5b68b26363566b74ac704c18df62bf0d2488cc0d58d7b,897a135f937499df851139ccfcdad43e9c4c6f63ef004199b92788b5e357dbcb
"1","10201","5201087","102013011","1","301"
"1","10201","5201081","102014021","1","402"
"0","10201","5201082","102014022","101","402"
"1","10201","5201066","102015011","1","501"
"2","10201","5201067","102015012","1","501"
"3","10201","5201068","102015013","1","501"
"4","10201","5201069","102015014","1","501"
"5","10201","5201070","102015015","1","501"
"6","10201","5201071","102015016","1","501"
"7","10201","5201072","102015017","1","501"
"8","10201","5201073","102015018","1","501"
