6c9c88609220f606b5ff5349ddcc7eca1da5eda431a8cc6bdadd3be3fd3edcee,78ff6fc4cd6f8d9ab0c2817a120ccca0b4d4d06d82a7ba060a3f711b02e76724,56b4175c925c2366d93de4177e6f39c05555d197575cdcfe7d69423049a9e46e,a86d6bdc13cc29e067e529d7fcaa8aee1f20fc989b03f0caf8a0a6988b904caf,7519470fd0eaf412ff38bfad5653dea1e90f40a12ec6ed22aec49470abb3ddd4,500c5e4873d3dc7e5f6f46856023f969c1a38774f4fac23ecb68e322e55d3ec5,503b09cdb44426ff8981664366d587bf329cd2d9883e21951ef6729825cd6c40,52cdfcfdb45f62b229d0307ac5302b3eaf51b2e07902e4077369161d455dc3c2,0f24c92d061c3dc56eed9f042a28a825e575d3179f5fc8c5bd4d38ae70a4a11c,8ca3f720f91b255e5b73ed07938dfd6d935f2eac606a7f0894df7921f270b063,513024a372cb1a9d57f49b5b2dd4e8c0d4556c15ab20f5638c65f04e76f330c8,f7672a44cd60991a62c90b752d72aea1596084e30bfb1d2d8066f71b4e4aa0ac,40dfe045ad9fde8fb65788efc2c44951d7f9daa7e94b50c083dbf5daf7bf0301,d98b0fe2ef25512ad627fec7ac6eedbc92e9da31a7f5bf8667f540a32acfe66c,316f2688dfa1bede75250532040ea29973b72511031ba6b3a178ffb15ca878d8,e03aff8f97e02fc8db3406f96501758524609e1323d8eaf0fa81c1db339b85a2,87186e6b8da62dcc9fecbac40667eba58dd930bb86252dd26c172a00b37b9441,4a1d418e5d6619733ddce12c67a84f60e978a4cabfe9dbbb763c84a65a63559e
"94002","20","2","5","0","91002","150000","12","0","20003","22003","0","2","1","1","5","150","8"
"94002","15","2","2","0","91002","100000","12","0","20003","22003","0","2","2","6","9","145","8"
"94002","11","2","5","0","91002","80000","12","0","20003","22002","0","2","3","10","19","140","8"
"94002","10","2","5","0","91002","80000","12","0","20003","22002","0","2","4","20","29","130","8"
"94002","9","2","4","0","91002","70000","12","0","20003","22002","0","2","5","30","39","120","8"
"94002","8","2","4","0","91002","70000","12","0","20003","22002","0","2","6","40","49","110","8"
"94002","7","2","3","0","91002","60000","12","0","20003","22002","0","2","7","50","99","100","8"
"94002","2","2","2","0","91002","40000","12","0","20003","22002","0","2","8","100","499","80","8"
"94002","7","2","1","0","91002","20000","12","0","20002","22002","0","2","9","500","999","50","8"
"94002","4","2","3","0","91002","16000","12","0","20002","22001","0","2","10","1000","4999","20","8"
"94002","3","2","2","0","91002","9000","12","0","20002","22001","0","2","11","5000","9999","15","8"
"94002","8","2","1","0","91002","4000","12","0","20001","22001","0","2","12","10000","11999","10","8"
"94002","7","2","1","0","91002","3000","12","0","20001","22001","0","2","13","12000","13999","5","8"
"94002","6","2","1","0","91002","2000","12","0","20001","22001","0","2","14","14000","14999","4","8"
"94002","5","2","1","0","91002","1800","12","0","20001","22001","0","2","15","15000","30000","3","8"
