3d1e0fe38babac2548e6893b189231ba9bd40bc48ca84698b18711071ce6e0b6,0080f7616ece9ba86630d70ddcdde483bf04183ef0cb48f1ec2128196e5e7f0a,da6ad9d90c875df0244331259c7332b3607568a2fe07e94b538d9bbf7e73c602,13fab2cd3114789c2dc632ac55a289630a812a6846e1f6160eaf2e8097bb8644,589e1a2f8a47fbc5dcf62ec71f27a98429e47d283587a3bf674519448bf76b21,ea434118e538db5be7a985f1dcd7c31e24f91f89de3885dc4b5cc68242b8e790
"2114001","802100290","1005","212","1","211"
"2114002","802100290","1006","212","1","211"
"2114003","802100290","1007","212","1","211"
"2114004","802100290","1008","212","1","211"
"2113061","802100266","100501","100","0","104"
"2113062","802100266","100502","100","0","104"
"2113063","802100266","100503","102","0","105"
"2113064","802100266","100504","103","0","106"
"2113065","802100266","100505","100","0","104"
"2113066","802100266","100506","100","0","104"
"2113067","802100266","100507","102","0","105"
"2113068","802100266","100508","103","0","106"
"2113069","802100266","100509","100","0","104"
"2113070","802100266","100510","100","0","104"
"2113071","802100267","100511","100","0","104"
"2113072","802100267","100512","100","0","104"
"2113073","802100267","100513","102","0","105"
"2113074","802100267","100514","103","0","106"
"2113075","802100267","100515","100","0","104"
"2113076","802100267","100516","100","0","104"
"2113077","802100267","100517","102","0","105"
"2113078","802100267","100518","103","0","106"
"2113079","802100267","100519","100","0","104"
"2113080","802100267","100520","100","0","104"
"2113081","802100268","100521","100","0","104"
"2113082","802100268","100522","100","0","104"
"2113083","802100268","100523","102","0","105"
"2113084","802100268","100524","103","0","106"
"2113085","802100268","100525","100","0","104"
"2113086","802100268","100526","112","1","208"
"2113087","802100268","100527","110","1","201"
"2113088","802100268","100528","100","0","104"
"2113089","802100268","100529","102","0","105"
"2113090","802100268","100530","103","0","106"
"2113031","802100263","100601","114","1","203"
"2113032","802100263","100602","113","1","202"
"2113033","802100263","100603","102","0","105"
"2113034","802100263","100604","103","0","106"
"2113035","802100263","100605","114","1","203"
"2113036","802100263","100606","113","1","202"
"2113037","802100263","100607","111","1","204"
"2113038","802100263","100608","113","1","202"
"2113039","802100263","100609","113","1","202"
"2113040","802100263","100610","103","0","106"
"2113041","802100264","100611","114","1","203"
"2113042","802100264","100612","113","1","202"
"2113043","802100264","100613","102","0","105"
"2113044","802100264","100614","103","0","106"
"2113045","802100264","100615","114","1","203"
"2113046","802100264","100616","113","1","202"
"2113047","802100264","100617","111","1","204"
"2113048","802100264","100618","113","1","202"
"2113049","802100264","100619","113","1","202"
"2113050","802100264","100620","103","0","106"
"2113051","802100265","100621","102","0","105"
"2113052","802100265","100622","114","1","203"
"2113053","802100265","100623","113","1","202"
"2113054","802100265","100624","111","1","204"
"2113055","802100265","100625","103","0","106"
"2113056","802100265","100626","112","1","208"
"2113057","802100265","100627","110","1","201"
"2113058","802100265","100628","114","1","203"
"2113059","802100265","100629","113","1","202"
"2113060","802100265","100630","103","0","106"
"2113091","802100269","100701","112","1","205"
"2113092","802100269","100702","112","1","206"
"2113093","802100269","100703","117","0","102"
"2113094","802100269","100704","102","0","105"
"2113095","802100269","100705","102","0","105"
"2113096","802100269","100706","113","1","202"
"2113097","802100269","100707","114","1","203"
"2113098","802100269","100708","117","0","102"
"2113099","802100269","100709","102","0","105"
"2113100","802100269","100710","113","1","202"
"2115001","802100270","100711","112","1","205"
"2115002","802100270","100712","117","0","102"
"2115003","802100270","100713","102","0","105"
"2115004","802100270","100714","103","0","106"
"2115005","802100270","100715","114","1","203"
"2115006","802100270","100716","113","1","202"
"2115007","802100270","100717","112","1","207"
"2115008","802100270","100718","102","0","105"
"2115009","802100270","100719","103","0","106"
"2115010","802100270","100720","113","1","202"
"2115011","802100271","100721","112","1","205"
"2115012","802100271","100722","112","1","208"
"2115013","802100271","100723","117","0","102"
"2115014","802100271","100724","102","0","105"
"2115015","802100271","100725","103","0","106"
"2115016","802100271","100726","112","1","208"
"2115017","802100271","100727","110","1","201"
"2115018","802100271","100728","117","0","102"
"2115019","802100271","100729","102","0","105"
"2115020","802100271","100730","103","0","106"
"2113001","802100260","100801","104","0","103"
"2113002","802100260","100802","100","0","104"
"2113003","802100260","100803","100","0","104"
"2113004","802100260","100804","102","0","105"
"2113005","802100260","100805","102","0","105"
"2113006","802100260","100806","100","0","104"
"2113007","802100260","100807","100","0","104"
"2113008","802100260","100808","102","0","105"
"2113009","802100260","100809","102","0","105"
"2113010","802100260","100810","101","0","107"
"2113011","802100261","100811","104","0","103"
"2113012","802100261","100812","100","0","104"
"2113013","802100261","100813","100","0","104"
"2113014","802100261","100814","102","0","105"
"2113015","802100261","100815","103","0","106"
"2113016","802100261","100816","100","0","104"
"2113017","802100261","100817","100","0","104"
"2113018","802100261","100818","102","0","105"
"2113019","802100261","100819","103","0","106"
"2113020","802100261","100820","100","0","104"
"2113021","802100262","100821","104","0","103"
"2113022","802100262","100822","100","0","104"
"2113023","802100262","100823","100","0","104"
"2113024","802100262","100824","102","0","105"
"2113025","802100262","100825","102","0","105"
"2113026","802100262","100826","112","1","208"
"2113027","802100262","100827","110","1","201"
"2113028","802100262","100828","102","0","105"
"2113029","802100262","100829","103","0","106"
"2113030","802100262","100830","104","0","103"
