f56aa6d4bc1104387d7a9ef96757ed0ba2918a6ff473fec44750176501d983b9,3758cca1f2fda75c5d8e169e73a80d06dbfd99e6054ce53160fbd370bf50f2cb,3a8b488ae92ffc648765230cc1416b9ba3facbd3fc25461e88e044aa1da4a5cd,5749cc9c40b7c7734389d03948c1871d7d8401cc04835041315e01a0c3faa1c2,e4273c66a739c190399280d09a920390ee758d5c622f42faf10f46540f3051d7,03c9f8e8eb53322bcb61c75a330c515b1f19d0bbf90dbfcbb3fac5bb784beacb,0f4ff75ec9d1b1fcbc0e11dc06ac1a6ed255a1c0f0d3c56798f3e11cbfcf970a,26b72874f5eb935817a80b53748ed33429ba2a700833fb4155e4641c6fb56719,91290533c7fe318f29842a9a687affb224a635861adcdb4046086090eff99a6d,22b1a23577d2184f7264c063f02fc8ecf2203284ec8befe51a76376e1c68a154,b907dbccb142de477384a35380a2eae66921b54ca03a1474cf81bf82e8b95684,52d15f62586d45f4df7a7b14b72f443152d63fa2b7f3198b42a02a16ba0b3398
"31000101","0","3","2023/04/24 15:59:59","1","0","進行1場戰鬥","2023/04/17 16:00:00","31000101","7003","10","1000"
"31000102","0","3","2023/04/24 15:59:59","5","0","進行5場戰鬥","2023/04/17 16:00:00","31000102","7003","10","1000"
"31000103","0","3","2023/04/24 15:59:59","10","0","進行10場戰鬥","2023/04/17 16:00:00","31000103","7003","10","1000"
"31000104","0","3","2023/04/24 15:59:59","15","0","進行15場戰鬥","2023/04/17 16:00:00","31000104","7003","10","1000"
"31000105","0","3","2023/04/24 15:59:59","20","0","進行20場戰鬥","2023/04/17 16:00:00","31000105","7003","10","1000"
"31000106","0","3","2023/04/24 15:59:59","25","0","進行25場戰鬥","2023/04/17 16:00:00","31000106","7003","10","1000"
"31000107","0","3","2023/04/24 15:59:59","30","0","進行30場戰鬥","2023/04/17 16:00:00","31000107","7003","10","1000"
"31000108","0","3","2023/04/24 15:59:59","35","0","進行35場戰鬥","2023/04/17 16:00:00","31000108","7003","10","1000"
"31000109","0","3","2023/04/24 15:59:59","40","0","進行40場戰鬥","2023/04/17 16:00:00","31000109","7003","10","1000"
"31001101","3001","3","2023/04/24 15:59:59","5000000","0","對黑之王賈巴沃克造成500萬累積傷害","2023/04/17 16:00:00","31001101","7004","10","1001"
"31001102","3001","3","2023/04/24 15:59:59","7500000","0","對黑之王賈巴沃克造成750萬累積傷害","2023/04/17 16:00:00","31001102","7004","10","1001"
"31001103","3001","3","2023/04/24 15:59:59","10000000","0","對黑之王賈巴沃克造成1000萬累積傷害","2023/04/17 16:00:00","31001103","7004","10","1001"
"31001111","3001","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對黑之王賈巴沃克造成250萬傷害","2023/04/17 16:00:00","31001111","7005","11","1001"
"31001112","3001","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對黑之王賈巴沃克造成500萬傷害","2023/04/17 16:00:00","31001112","7005","11","1001"
"31001201","3002","3","2023/04/24 15:59:59","5000000","0","對失控的純潔之弓造成500萬累積傷害","2023/04/17 16:00:00","31001201","7004","20","1001"
"31001202","3002","3","2023/04/24 15:59:59","7500000","0","對失控的純潔之弓造成750萬累積傷害","2023/04/17 16:00:00","31001202","7004","20","1001"
"31001203","3002","3","2023/04/24 15:59:59","10000000","0","對失控的純潔之弓造成1000萬累積傷害","2023/04/17 16:00:00","31001203","7004","20","1001"
"31001211","3002","3","2023/04/24 15:59:59","1","2500000","在1場戰鬥中對失控的純潔之弓造成250萬傷害","2023/04/17 16:00:00","31001211","7005","21","1001"
"31001212","3002","3","2023/04/24 15:59:59","1","5000000","在1場戰鬥中對失控的純潔之弓造成500萬傷害","2023/04/17 16:00:00","31001212","7005","21","1001"
