53d68cc5babc9f8b51e472dd2a842437c512f33c7c38fb99e877a4ffc8505b1c,0032deb43278a720513ca3a8495b6f82f7c68d73c938adac204472406f83fb4e,d49814b8200d0b6ec9687c7550b2054a99536ef1c9d0435576285c90cb8e5325
"1","114601","1"
"2","114701","2"
"3","115601","3"
"4","115801","5"
"5","116801","6"
"6","117401","7"
"7","117801","8"
"8","119201","9"
"9","120801","10"
"10","121201","12"
"11","122101","13"
"12","122401","14"
"13","122801","15"
"14","123501","16"
"15","124101","17"
"16","124701","20"
"17","124901","21"
"18","125701","22"
"19","126701","24"
"20","127001","25"
"21","128301","27"
"22","128801","28"
"23","105801","29"
"24","105901","30"
"25","106001","31"
"26","106401","32"
