bdd1820e070fd13f8084de55b84975c37bb5ecad0cacec3a16d1bba917b4d7b7,a504aafeab1ec430176f83ea306a5698b96573659843aaf30701d3cfdfd2b881,6ef64400d4457a3abac862602507dd283f41d390ea2b337cfd61392ec1cc015c,f7f5a153f9fb82bd0e6240601018255b727e619c1bc791211c2b2047c30faa6c,b46d94a2301883cd8637adb8e5b2b66963e7312643042d5c5f9ba4b39d880b6a,05a57afeb435ba344486158e508dde0b5b709cb32df46746d40ecb4fd55d1c64
"勝利1","vo_btl_100101_win_001","100101","vo_btl_100101","","10010101"
"勝利2","vo_btl_100101_win_002","100101","vo_btl_100101","","10010102"
"勝利3","vo_btl_100101_win_003","100101","vo_btl_100101","","10010103"
"失敗1","vo_btl_100101_lose_001","100101","vo_btl_100101","","10010104"
"失敗2","vo_btl_100101_lose_002","100101","vo_btl_100101","","10010105"
"失敗3","vo_btl_100101_lose_003","100101","vo_btl_100101","","10010106"
"暈眩1","vo_btl_100101_retire_001","100101","vo_btl_100101","","10010107"
"暈眩2","vo_btl_100101_retire_002","100101","vo_btl_100101","","10010108"
"暈眩3","vo_btl_100101_retire_003","100101","vo_btl_100101","","10010109"
"技能切入1","vo_btl_100101_cutin_001","100101","vo_btl_100101","","10010110"
"技能切入2","vo_btl_100101_cutin_002","100101","vo_btl_100101","","10010111"
"技能切入3","vo_btl_100101_cutin_003","100101","vo_btl_100101","","10010112"
"必殺技1","vo_btl_100101_skill_000_001","100101","vo_btl_100101","","10010113"
"必殺技2","vo_btl_100101_skill_000_002","100101","vo_btl_100101","","10010114"
"必殺技3","vo_btl_100101_skill_000_003","100101","vo_btl_100101","","10010115"
"戰鬥開始","vo_btl_100101_wavestart","100101","vo_btl_100101","","10010116"
"到下一波","vo_btl_100101_nextwave","100101","vo_btl_100101","","10010117"
"到最後一波","vo_btl_100101_lastwave","100101","vo_btl_100101","","10010118"
"讀取戰鬥前","vo_cmn_100101_battlestart_001","100101","vo_cmn_100101","","10010119"
"戰鬥結果1","vo_cmn_100101_battleresult_001","100101","vo_cmn_100101","","10010120"
"戰鬥結果2","vo_cmn_100101_battleresult_002","100101","vo_cmn_100101","","10010121"
"主頁1","vo_cmn_100101_mypage_001","100101","vo_cmn_100101","","10010122"
"主頁2","vo_cmn_100101_mypage_002","100101","vo_cmn_100101","","10010123"
"主頁3","vo_cmn_100101_mypage_003","100101","vo_cmn_100101","","10010124"
"主頁4","vo_cmn_100101_mypage_004","100101","vo_cmn_100101","","10010125"
"主頁5","vo_cmn_100101_mypage_005","100101","vo_cmn_100101","","10010126"
"轉蛋登場台詞","vo_cmn_100101_gacha_001","100101","vo_cmn_100101","","10010127"
"自我介紹","vo_cmn_100101_profile_001","100101","vo_cmn_100101","","10010128"
"公會小屋1","vo_room_100101_auto_001","100101","vo_room_100101","","10010129"
"公會小屋2","vo_room_100101_auto_002","100101","vo_room_100101","","10010130"
"公會小屋3","vo_room_100101_auto_003","100101","vo_room_100101","","10010131"
"公會小屋4","vo_room_100101_auto_004","100101","vo_room_100101","","10010132"
"公會小屋5","vo_room_100101_auto_005","100101","vo_room_100101","","10010133"
"點選公會小屋1","vo_room_100101_tap_001","100101","vo_room_100101","","10010134"
"點選公會小屋2","vo_room_100101_tap_002","100101","vo_room_100101","","10010135"
"點選公會小屋3","vo_room_100101_tap_003","100101","vo_room_100101","","10010136"
"點選公會小屋4","vo_room_100101_tap_004","100101","vo_room_100101","","10010137"
"勝利1","vo_btl_100102_win_001","100102","vo_btl_100102","","10010201"
"勝利2","vo_btl_100102_win_002","100102","vo_btl_100102","","10010202"
"勝利3","vo_btl_100102_win_003","100102","vo_btl_100102","","10010203"
"失敗1","vo_btl_100102_lose_001","100102","vo_btl_100102","","10010204"
"失敗2","vo_btl_100102_lose_002","100102","vo_btl_100102","","10010205"
"失敗3","vo_btl_100102_lose_003","100102","vo_btl_100102","","10010206"
"暈眩1","vo_btl_100102_retire_001","100102","vo_btl_100102","","10010207"
"暈眩2","vo_btl_100102_retire_002","100102","vo_btl_100102","","10010208"
"暈眩3","vo_btl_100102_retire_003","100102","vo_btl_100102","","10010209"
"技能切入1","vo_btl_100102_cutin_001","100102","vo_btl_100102","","10010210"
"技能切入2","vo_btl_100102_cutin_002","100102","vo_btl_100102","","10010211"
"技能切入3","vo_btl_100102_cutin_003","100102","vo_btl_100102","","10010212"
"必殺技1","vo_btl_100102_skill_000_001","100102","vo_btl_100102","","10010213"
"必殺技2","vo_btl_100102_skill_000_002","100102","vo_btl_100102","","10010214"
"必殺技3","vo_btl_100102_skill_000_003","100102","vo_btl_100102","","10010215"
"戰鬥開始","vo_btl_100102_wavestart","100102","vo_btl_100102","","10010216"
"到下一波","vo_btl_100102_nextwave","100102","vo_btl_100102","","10010217"
"到最後一波","vo_btl_100102_lastwave","100102","vo_btl_100102","","10010218"
"讀取戰鬥前","vo_cmn_100102_battlestart_001","100102","vo_cmn_100102","","10010219"
"戰鬥結果1","vo_cmn_100102_battleresult_001","100102","vo_cmn_100102","","10010220"
"戰鬥結果2","vo_cmn_100102_battleresult_002","100102","vo_cmn_100102","","10010221"
"主頁1","vo_cmn_100102_mypage_001","100102","vo_cmn_100102","","10010222"
"主頁2","vo_cmn_100102_mypage_002","100102","vo_cmn_100102","","10010223"
"主頁3","vo_cmn_100102_mypage_003","100102","vo_cmn_100102","","10010224"
"主頁4","vo_cmn_100102_mypage_004","100102","vo_cmn_100102","","10010225"
"主頁5","vo_cmn_100102_mypage_005","100102","vo_cmn_100102","","10010226"
"轉蛋登場台詞","vo_cmn_100102_gacha_001","100102","vo_cmn_100102","","10010227"
"自我介紹","vo_cmn_100102_profile_001","100102","vo_cmn_100102","","10010228"
"公會小屋1","vo_room_100102_auto_001","100102","vo_room_100102","","10010229"
"公會小屋2","vo_room_100102_auto_002","100102","vo_room_100102","","10010230"
"公會小屋3","vo_room_100102_auto_003","100102","vo_room_100102","","10010231"
"公會小屋4","vo_room_100102_auto_004","100102","vo_room_100102","","10010232"
"公會小屋5","vo_room_100102_auto_005","100102","vo_room_100102","","10010233"
"點選公會小屋1","vo_room_100102_tap_001","100102","vo_room_100102","","10010234"
"點選公會小屋2","vo_room_100102_tap_002","100102","vo_room_100102","","10010235"
"點選公會小屋3","vo_room_100102_tap_003","100102","vo_room_100102","","10010236"
