89a6f0c1873c6638d7d85259fd914af9c4c26707104b758d0f9eefa1e9ee89f9,fb119d58edf801bde1add7d29dcc8c7f8c526289a74ac674903ec4751edf6020
"100101","2001"
"100201","2001"
"100301","2001"
"100401","1001"
"100501","1001"
"100601","1003"
"100701","1003"
"100801","1002"
"100901","1002"
"101001","1004"
"101101","2001"
"101201","1004"
"101301","1002"
"101401","1004"
"101501","1004"
"101601","1003"
"101701","2001"
"101801","1003"
"102001","1001"
"102101","1001"
"102201","1003"
"102301","1001"
"102501","1001"
"102601","1001"
"102701","1002"
"102801","1001"
"102901","1002"
"103001","1002"
"103101","1003"
"103201","1004"
"103301","1001"
"103401","1004"
"103601","1001"
"103701","1004"
"103801","1001"
"104001","1004"
"104201","1002"
"104301","2001"
"104401","1003"
"104501","1002"
"104601","1004"
"104701","2001"
"104801","1004"
"104901","2001"
"105001","1003"
"105101","1002"
"105201","1001"
"105301","1002"
"105401","1002"
"105501","1002"
"105601","1002"
"105701","1003"
"105801","2001"
"105901","2001"
"106001","2001"
"106101","2001"
"106301","1003"
"107001","2001"
"107101","2001"
"107501","2001"
"107601","2001"
"107701","1001"
"107801","2001"
"107901","1004"
"108001","1004"
"108101","1003"
"108201","1003"
"108301","1003"
"108401","1002"
"108501","1001"
"108601","1001"
"108701","2001"
"108801","2001"
"108901","2001"
"109001","1002"
"109101","2001"
"109201","1003"
"109301","1003"
"109401","1003"
"109501","1002"
"109601","1002"
"110001","1003"
"110101","1003"
"110301","1001"
"110401","2001"
"110501","2001"
"110601","1004"
"110701","1004"
"110801","1004"
"111101","1001"
"111201","1001"
"111301","1001"
"111501","2001"
"111601","1002"
"111701","1003"
"109701","1004"
"109901","1004"
"109801","1004"
"106501","1001"
"111401","1003"
