46368c5995fa430c142b821035b82343f9a013b0d4523cf25878e47ca9479a8f,c12a2e342d02000d6c20853afe6902578ffe95b35161609d7fce5f9eba38bc2d,bd51045fce0307653ab6be1e9ef0aa8b96c67bf2fa5cd0a9be61b0d5f859e549,7eeb4bf46e9a0c7eabaa34181ebcdaafd6a941947b91621e809be44d6f862b92,267eb5d7d60a82f390a4f1521a65be281362f3b6aa33bf2d4c6a4b9ee652a828,a638d62afa8f434a06bd463d8ff9f06a68649cd978d9b81bf3f72ab01389142f,81098ad92057e508b33bbc9e19e1fa9c7e47364a32875b300f2a3d972928e9a5,327424a35b621f0da63efec26d8465873171672e9949fa4b9e3abceedfad92eb
"1000100","紅色又酸酸甜甜的水果。","蘋果","1","ㄧㄥ","1","10001","ㄨㄛ"
"1000101","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","禁忌的果實","2","ㄧㄣ","1","10001","ㄕ"
"1000102","吃了可以增強記憶力，提高智能的水果。","智慧之果","2","ㄓ","1","10001","ㄨㄛ"
"1000200","又強又黑還很強壯。最愛香蕉的生物。","黑猩猩","1","ㄟ","1","10002","ㄧㄥ"
"1000201","動物分類中的一種。","靈長類","2","ㄧㄥ","1","10002","ㄟ"
"1000202","形容大猩猩兇猛叫聲的擬聲語。","嗚吼嗚吼","2","ㄨ","1","10002","ㄡ"
"1000203","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","擲岩猴仙","3","ㄓ","1","10002","ㄧㄢ"
"1000300","統稱特定的銅管樂器的說法。","喇叭","1","ㄚ","1","10003","ㄚ"
"1000301","銅管樂器中的一種。","小號","2","ㄧㄠ","1","10003","ㄠ"
"1000302","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","管樂器","2","ㄨㄢ","1","10003","ㄧ"
"1000400","生長在溫暖地區，黃色且味道酸甜的水果。","鳳梨","1","ㄥ","1","10004","ㄧ"
"1000401","在某些地區就是這樣叫這種水果的。","菠蘿","1","ㄛ","1","10004","ㄨㄛ"
"1000402","「鳳梨」的台語讀音。","旺來","1","ㄨㄤ","1","10004","ㄞ"
"1000500","也有人稱其為寶石女王，鮮艷的紅色寶石。","紅寶石","1","ㄨㄥ","1","10005","ㄕ"
"1000501","用在裝飾品中，既美麗又珍貴的礦物。","寶石","1","ㄠ","1","10005","ㄕ"
"1000502","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","魔法石","2","ㄛ","1","10005","ㄕ"
"1000503","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","秋乃的胸針","3","ㄧㄡ","1","10005","ㄣ"
"1000504","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","紫藤紅輝石","3","ㄗ","1","10005","ㄕ"
"1000600","用穀物釀成的酒類。","啤酒","1","ㄧ","1","10006","ㄧㄡ"
"1000601","用單手拿著，裝飲料用的容器。","酒杯","1","ㄧㄡ","1","10006","ㄟ"
"1000602","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","麥酒","2","ㄞ","1","10006","ㄧㄡ"
"1000603","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","生命之水","3","ㄥ","1","10006","ㄨㄟ"
"1000700","用弓與箭組成的武器。","弓箭","1","ㄨㄥ","1","10007","ㄧㄢ"
"1000701","「箭」的別種說法。","箭矢","1","ㄧㄢ","1","10007","ㄕ"
"1000702","指可以飛得很遠的攻擊型武器。","遠距離武器","2","ㄩㄢ","1","10007","ㄧ"
"1000703","羅馬神話中的小愛神。","邱比特","2","ㄧㄡ","1","10007","ㄜ"
"1000704","獵殺動物的行為。","打獵","2","ㄚ","1","10007","ㄧㄝ"
"1000705","人類獵殺動物以取得資源的行為。","狩獵","2","ㄡ","1","10007","ㄧㄝ"
"1000800","在音樂上用來表示音高的記號。","音符","1","ㄧㄣ","1","10008","ㄨ"
"1000801","音樂中音符的流動。","旋律","1","ㄩㄢ","1","10008","ㄩ"
"1000802","將音階由低到高排列 3個。","ㄉㄡㄖㄨㄟㄇㄧ","2","ㄡ","1","10008","ㄧ"
"1000803","數個音符根據樂理結成的組合。","和弦","2","ㄜ","1","10008","ㄧㄢ"
"1000900","為了在畫上著色的材料。","顏料","1","ㄧㄢ","1","10009","ㄧㄠ"
"1000901","水性的顏料。","水彩","1","ㄨㄟ","1","10009","ㄞ"
