ac8bcff9d018273c4a7e2e34530753343c2054002e4cc4c169c02d1d30014f36,35a99d05607ae5c86b1c3b6301bf8962bb733f2a4fe46cbdec099a1fa647d834,ce1f3a91541c99a6d7528360e52e9dd860e72429845df35562394a30051f7a72,92ec3e557e1f028a90622a294b722d1ec642f269aad47e56519ca68b579cb76e,b686e199abd457280daa12fff17bb74625bc745c8a8df760eae19439a0b6507d,4e5dd8e546169069e97c8dd5acd6d1766f237620f0a5feb8184552ce5dc63a8d,ef594f14f081a75a5effa7ed480fc5cbce7c3d1c48b47ed681f7db96949ab2a7,858b3b62f7be36d4c1aed4614135210d3bd435efec509a1c532c8b0bc54d04a0
"100101","101101","101281","1","101431","101071","101581","101101"
"100101","102101","102341","2","102431","101101","101581","102071"
"100101","103071","102342","3","102432","102071","102581","102101"
"100101","103101","103341","4","103431","102101","102582","103071"
"100101","103072","103342","5","103432","103071","103581","103101"
"100101","104101","103343","6","103432","103552","103582","103072"
"100101","104102","104341","7","103583","103072","103552","104101"
"100101","104103","104342","8","104101","104551","103553","104102"
"100101","104104","104343","9","104102","104552","104551","104103"
"100101","105101","104284","10","104103","104553","104552","104104"
"100101","105102","105341","11","104344","105551","104554","105101"
"100101","105103","105282","12","105341","105552","105551","105102"
"100101","105104","105343","13","105342","105553","105552","105103"
"100101","105105","105344","14","105343","105554","105553","105104"
"100101","105106","105285","15","105344","105555","105554","105105"
"100101","105107","105286","16","105285","105556","105555","105106"
"100101","106101","105287","17","105286","105557","105556","105107"
"100101","106102","106281","18","105287","106551","105557","106101"
"100101","106103","106282","19","106281","106552","106551","106102"
"100101","107101","106283","20","106282","106553","106552","106103"
"100101","107102","107281","21","106283","107551","106553","107101"
"100101","107103","107282","22","107281","107552","107551","107102"
"100101","108101","107283","23","107282","107553","107552","107103"
"100101","108102","108401","24","107283","108551","107553","108101"
"100101","108103","108312","25","108401","108552","108551","108102"
"100101","108104","108403","26","108312","108553","108552","108103"
"100101","109101","108494","27","108403","108554","108553","108104"
"100101","109102","109401","28","108494","109551","108554","109101"
"100101","109103","109282","29","109401","109552","109551","109102"
"100101","109104","109493","30","109282","109553","109552","109103"
"100101","10010032","109494","31","109493","109554","109553","109104"
"100101","10010033","10028032","32","109494","10055032","109554","10010032"
"100101","999999","10028033","33","10028032","10055033","10055032","10010033"
"100201","101251","101371","1","101521","101611","101581","101251"
"100201","102252","102371","2","102461","101611","101611","102251"
"100201","103251","102372","3","102521","102612","102581","102252"
"100201","103252","103521","4","103521","102613","102614","103251"
"100201","103222","103371","5","103461","103612","103581","103252"
"100201","104251","103372","6","103522","103613","103613","103222"
"100201","104252","104371","7","103614","103614","103461","104251"
"100201","104253","104372","8","104461","104611","103614","104252"
"100201","104254","104523","9","104522","104612","104611","104253"
"100201","105251","104373","10","104523","104613","104612","104254"
"100201","105252","105371","11","104373","105581","104613","105251"
"100201","105253","105522","12","105371","105582","105581","105252"
"100201","105254","105462","13","105372","105583","105582","105253"
"100201","105255","105374","14","105373","105584","105583","105254"
"100201","105256","105463","15","105374","105585","105584","105255"
"100201","105257","105524","16","105463","105586","105585","105256"
"100201","106251","105464","17","105524","105587","105586","105257"
"100201","106252","106461","18","105464","106581","105587","106251"
"100201","106253","106521","19","106461","106582","106581","106252"
"100201","107251","106462","20","106372","106583","106582","106253"
"100201","107252","107461","21","106462","107581","106583","107251"
"100201","107253","107462","22","107461","107582","107581","107252"
"100201","108251","107463","23","107462","107583","107582","107253"
