ac8bb98475d0d87762a2d9c827bcaaed6318fafc6405a47f807ad9ea67b5dd9c,34c4810c4d0d6c6155def79045d7a06188d8c583f7633a62332f7e47e3d7a783,5f10afeb8936ff98ad9e3c1eeb1d06efdd6a4caebcf8e4d99497e3f8e8f48766,6a7b060c890b46cf624c37d36ca72e27f8884c68ca900919a67029dbba53ab46,6ab3856d755f1fc499967f3a949a9984eb1270b51aff5fb6edf96096e8603f5d,3e703eda5f373dc9521eb688ef82f99fcd27605ab7d61d2bd37ddd6f8e9e04bf,db0d5ff407de767e46f8c1b6b1691d61776397ee3493a26afb2bc5df0fd0f7b1,6e9a27fe0330e6cf4bb9d2fcbcb35513f431f3075436e94fe5f9a4b8cbf652e5,bedc55a0c233781a6078857d840626cdaa144fa79010fe83392c4689c1983205,c924f4bd9db1d1990a200d805a22a172386495280473524aa18f344dfa0376d1,7f27a9143454cd30f465af93835bad630cbc5151061e00b9268cd0e65740ac02
"1","1","nop_idle_joy1","-100","101001","101","-150","1.5","115","111831","0"
"1","1","nop_idle_normal_joy","100","101002","101","-150","1.5","114","120731","1"
"1","1","nop_idle_arm_crossed","-215","101003","101","-127","1.5","111","120831","0"
"1","1","nop_idle_normal","215","101004","101","-127","1.5","110","111931","1"
"1","1","nop_idle_thinking","-330","101005","101","-150","1.5","113","120931","0"
"1","1","nop_idle_normal","330","101006","101","-150","1.5","112","112031","1"
"1","1","nop_idle_joy1","-100","102001","102","-150","1.5","115","108731","0"
"1","1","nop_idle_joy_normal","100","102002","102","-150","1.5","114","108831","1"
"1","1","nop_idle_normal","-215","102003","102","-127","1.5","111","108931","0"
"1","1","nop_idle_joy1","-100","103001","103","-135","1.5","113","102011","0"
"1","1","nop_idle_normal","-215","103002","103","-150","1.5","115","100411","0"
"1","1","nop_idle_wish","100","103003","103","-143","1.5","114","103631","1"
"1","1","nop_idle_normal","-100","104001","104","-150","1.5","115","101231","0"
"1","1","nop_idle_normal","100","104002","104","-150","1.5","114","104011","1"
"1","1","nop_idle_normal","-215","104003","104","-127","1.5","111","101511","0"
"1","1","nop_idle_normal","-100","105001","105","-135","1.5","113","103111","0"
"1","1","nop_idle_sad","100","105002","105","-135","1.5","111","102211","1"
"1","1","nop_05_miyako_idle_normal","-215","105003","105","-150","1.5","115","100711","0"
"1","1","nop_idle_joy1","215","105004","105","-150","1.5","112","100611","1"
"5","1","nop_skull_idle","-25","105005","105","-135","1.5","114","2051","1"
"1","1","nop_idle_arm_crossed","-215","106001","106","-150","1.5","115","104731","0"
"1","1","nop_idle_arm_crossed","215","106002","106","-150","1.5","114","107131","1"
"1","1","nop_idle_normal","-100","106003","106","-135","1.5","111","103731","0"
"1","1","nop_idle_joy1","100","106004","106","-135","1.5","110","100511","1"
"1","1","nop_idle_normal","-100","107001","107","-150","1.5","115","102831","0"
"1","1","nop_idle_normal","100","107002","107","-150","1.5","114","102111","1"
"1","1","nop_idle_normal","-215","107003","107","-127","1.5","111","102511","0"
"1","1","nop_idle_normal","215","107004","107","-127","1.5","110","102311","1"
"1","1","nop_idle_joy_normal","-100","108001","108","-150","1.5","115","101011","0"
"1","1","nop_idle_arm_crossed","100","108002","108","-150","1.5","114","104331","1"
"1","1","nop_idle_joy1","-215","108003","108","-127","1.5","111","101711","0"
"1","1","nop_idle_normal","215","108004","108","-127","1.5","110","101431","1"
"1","1","nop_idle_joy1","-100","109001","109","-150","1.5","115","103311","0"
"1","1","nop_idle_joy_normal","-215","109002","109","-127","1.5","111","105211","0"
"1","1","nop_idle_sad2","100","109003","109","-150","1.5","114","102611","1"
"1","1","nop_idle_normal","215","109004","109","-127","1.5","110","103811","1"
"1","1","nop_idle_joy1","-100","110001","110","-150","1.5","115","103231","0"
"1","1","nop_10_yukari_02","215","110002","110","-127","1.5","110","103411","1"
"5","1","nop_10_yukari_02","215","110003","110","-127","1.5","111","11","1"
"1","1","nop_idle_doya","100","110004","110","-150","1.5","114","104811","1"
"1","1","nop_idle_joy_normal","-215","110005","110","-127","1.5","111","104611","0"
"1","1","nop_11_anna_idle_arm_crossed","-100","111001","111","-150","1.5","115","100911","0"
"1","1","nop_idle_joy_normal","100","111002","111","-150","1.5","114","101311","1"
"1","1","nop_11_eriko_idle_wish","-215","111003","111","-127","1.5","111","102711","0"
"1","1","nop_idle_normal","215","111004","111","-127","1.5","110","105111","1"
"1","1","nop_idle_joy1","100","112001","112","-143","1.5","115","101831","1"
"1","1","nop_idle_joy_normal","-100","112002","112","-135","1.5","110","101611","0"
"1","1","nop_idle_joy_normal","-215","112003","112","-150","1.5","114","105011","0"
"1","1","nop_idle_normal_joy","100","113001","113","-150","1.5","113","105331","1"
"1","1","nop_13_kuka_idle_memory2","-100","113002","113","-150","1.5","114","104511","0"
"1","1","nop_idle_joy1","-215","113003","113","-127","1.5","110","103031","0"
"1","1","nop_idle_thinking","-330","113004","113","-150","1.5","111","100811","0"
"1","1","nop_idle_sad","240","113005","113","-150","1.5","115","105511","1"
"1","1","nop_idle_normal","100","114001","114","-150","1.5","115","106831","1"
"1","1","nop_idle_normal","-100","114002","114","-150","1.5","114","101131","0"
"1","1","nop_idle_normal","-215","114003","114","-127","1.5","110","104931","0"
"1","1","nop_idle_joy1","100","115001","115","-143","1.5","115","102931","1"
"1","1","nop_idle_wish","-100","115002","115","-135","1.5","110","104211","0"
"1","1","nop_idle_normal","-215","115003","115","-150","1.5","114","105411","0"
"1","1","nop_idle_normal","100","116001","116","-150","1.5","115","106731","1"
"1","1","nop_idle_joy1","-100","116002","116","-150","1.5","114","106631","0"
