b117062cf2a38b064f10c07293ef391b439bf4cc1bb43a63382085b110dde4d1,a331b33c68df13966a8030c09ac25c14413bdeeda7b58dc627a541a94f2bfb49,54a0fad74c610fc153daeb25c17510115354cb8931315b97e5ec45da395eea57,31fb9a1fe0ef93b1411beecbb3f16cab954b6a517ddb0a9d81329e75512658b7
"無法戰鬥的角色為0人以下時獲勝","0","100101","1001"
"無法戰鬥的角色為1人以下時獲勝","1","100102","1001"
"無法戰鬥的角色為2人以下時獲勝","2","100103","1001"
"戰鬥剩餘時間為1:15以上時獲勝","74001","100201","1002"
"戰鬥剩餘時間為1:10以上時獲勝","69001","100202","1002"
"戰鬥剩餘時間為1:00以上時獲勝","59001","100203","1002"
"戰鬥剩餘時間為0:50以上時獲勝","49001","100204","1002"
"戰鬥剩餘時間為0:45以上時獲勝","44001","100205","1002"
"戰鬥剩餘時間為0:40以上時獲勝","39001","100206","1002"
"戰鬥剩餘時間為0:30以上時獲勝","29001","100207","1002"
"我方的Total HP為100%以上時獲勝","1000","100301","1003"
"我方的Total HP為90%以上時獲勝","900","100302","1003"
"我方的Total HP為80%以上時獲勝","800","100303","1003"
"我方的Total HP為70%以上時獲勝","700","100304","1003"
"我方的Total HP為60%以上時獲勝","600","100305","1003"
"我方的Total HP為50%以上時獲勝","500","100306","1003"
"我方的Total HP為99%以上時獲勝","990","100307","1003"
