5a79d0341692b00da3260f0e7821f4b5a4040d7135d19c2933aede0090b48eb0,09c9b43290846db25b9bf2cb15f966e0b486a39fe60436f3f2657c00f067b558,dd2eb54b46942d5e3ee1f5e3e37663755700d3f320a71698a9005386931054cc,368e6b7a8d8e715d52534d01e9321c559c899a27a168835123606b2b89f0f17d
"100101","1.6","938","-354"
"100201","1.6","952","-499"
"100301","1.6","1014","-523"
"100401","1.6","894","-488"
"100601","1.6","980","-628"
"100701","1.6","983","-573"
"100801","1.6","1019","-544"
"100901","1.6","985","-510"
"101001","1.6","1115","-660"
"101101","1.6","1128","-415"
"101201","1.6","1042","-589"
"101601","1.6","1050","-501"
"101701","1.6","1038","-598"
"101801","1.6","985","-356"
"102001","1.6","1114","-494"
"102101","1.6","1003","-392"
"102201","1.6","1057","-407"
"102501","1.6","997","-388"
"102701","1.6","1090","-490"
"102801","1.6","987","-554"
"102901","1.6","976","-526"
"103001","1.6","994","-879"
"103101","1.6","1056","-560"
"103301","1.6","1018","-453"
"103401","1.6","1017","-345"
"103801","1.6","961","-674"
"104001","1.6","1095","-499"
"104201","1.6","955","-521"
"104301","1.6","1079","-581"
"104501","1.6","980","-538"
"104601","1.6","954","-364"
"104801","1.6","1107","-777"
"104901","1.6","973","-795"
"105001","1.6","1122","-492"
"105201","1.6","1035","-607"
"105301","1.6","885","-490"
