6805fdbc99a5288366985dfa9b7981e29d9f0f81c2d38911d8872887b0293895,d81cf8a76079c6764d9c7b25cdb8ac9fa89cfbf57c15e92c78670c8674ec1435,0b3e0e68d55302666c4dec0c4e1630cd5e3a18c5b0ececcdf21e2bf3a4cf5034,001ec5f9e5ea8a74565ab0fd6f345c05776eee0b0f489551c86879315c381943,616f7a71ff09e96ce74e813067dc4af362ddfc9bec66b98e3a0007e5f1c482b5,0537eb708e02998596873815c4eaa591a05b35f2ee2b1f26603c1a557c5da670,45cdd08ff997637e2a60a93028f232e8b83b091702865fb50533d7473d98ff07,da529f774737024b7a670c1b3e51dde89caa5a0cdbba80e78f9fd622f911c62d,aad17ee3f3c3cbd7104289d48badff4cd35fb039a289436e2cd0b931879cb253,1b01bb21a60bc4fbc3d049b0699451eba167fdf621edbf71402c588b47cc32f4,6c1f144815bca1b1ccb7378f853a0330537d4819a8f94e29ee6681c6ae481bc0,bd890a01a93214db913d3f8bc8d9352ef5befa42a6e328f5c2b75d6076f10bdf,ae462911383dfcf1e19f21a0b55b480fffa05d9792dda9f9fe65ab8b1386a57f,78c546319a25fe58e9baab4d496c828060267864676999bac4b7dd4c82e555af,7699f87e672f4839c26903348596bf6592ae51e43619730278c48eeadcc4f42b,d931e25768abb0450951f0f00a4542a4998a132544a48e46f16de21bc128b30a,f289e182e2186a04a3b9302ed74b831b37858e5f497badbb4ebc5981f39f6089,63ae322ed70c048329a0480d872546ac620673b4351a0d264bfb7dca29dd12cb
"0","12","0","0","20000","0","分數累積獲得 20000 分","0","94002","0","5000","0","0","0","0","1","0","0"
"0","12","0","0","40000","0","分數累積獲得 40000 分","0","94002","0","10000","0","0","0","0","2","0","0"
"0","12","0","0","60000","0","分數累積獲得 60000 分","0","94002","0","15000","0","0","0","0","3","0","0"
"0","12","0","0","80000","0","分數累積獲得 80000 分","0","94002","0","20000","0","0","0","0","4","0","0"
"0","8","0","0","100000","0","分數累積獲得 100000 分","0","91002","0","50","0","0","23001","2","5","0","5"
"0","12","0","0","120000","0","分數累積獲得 120000 分","0","94002","0","25000","0","0","0","0","6","0","0"
"0","12","0","0","140000","0","分數累積獲得 140000 分","0","94002","0","30000","0","0","0","0","7","0","0"
"0","12","0","0","160000","0","分數累積獲得 160000 分","0","94002","0","35000","0","0","0","0","8","0","0"
"0","12","0","0","180000","0","分數累積獲得 180000 分","0","94002","0","40000","0","0","0","0","9","0","0"
"0","8","0","0","200000","0","分數累積獲得 200000 分","0","91002","0","50","0","0","23001","2","10","0","5"
"0","12","0","0","220000","0","分數累積獲得 220000 分","0","94002","0","55000","0","0","0","0","11","0","0"
"0","12","0","0","240000","0","分數累積獲得 240000 分","0","94002","0","35000","0","0","0","0","12","0","0"
"0","12","0","0","260000","0","分數累積獲得 260000 分","0","94002","0","40000","0","0","0","0","13","0","0"
"0","12","0","0","280000","0","分數累積獲得 280000 分","0","94002","0","45000","0","0","0","0","14","0","0"
"0","15","0","0","300000","23001","分數累積獲得 300000 分","10","11001039","0","1","0","0","91002","8","15","2","150"
