51a431d1f1c21061597a625648fe60f8a47524bd83eb3df60176ce03589f5133,363551875ae8749bd0708ed7b977cbb5e91e457648ee3212c325a5477b3ec170,93cd82887151e0c3b05978a0c26419fca78616b8fa57e6f6ca4ad2a0f2aa10e7,96464bac00cbeae55dfe7257d2593e8ad4d1845092cef0e38415e0a9ceb9f2bd,f4f90498680e10039b6d3d584f77b66f9f3f497e788a8ddbbdf300908a321d4e,b387061d35e48c72c5a76866da11c8aef86f30f9fc5106ee4f7d45cac08a6c29,c1139631babdccf3f62070d637bf01b153c1430842a5e6ac222d6b12b4adc9d7,2917f593baff5a68c2cefba757004194e79b2557707a749b774190745c496f4e,e29cd7b95f0d63ab4cfae89ad1d4c487f50efd7ac52d7b15731b2201a0d2d76a,dbfb0127841c7676b97fea452d243aecaed846aa23dd68d2ad541b1e727e75e4,f1d3e73849fcb77d70ef7ac8b1c7d837bf923ec5fe3ec4f811bec89653fcb4d0,877f4620a451f95cd6d89976ace80c6bcbea7727fba5ab49a5422fa360818a71,a9288b7d710471cdd7a4264cbdf90c9514dca239797674bd43572cd2fa108293
"2018/08/22 16:00:00","1","bgm_M90","0","2018/09/21 15:59:59","2","2018/08/15 23:00:00","2018/08/20 22:59:00","8","2018/08/19 22:59:00","1","1","1001"
"2018/09/21 16:00:00","2","bgm_M97","1001","2018/10/22 15:59:59","2","2018/09/14 23:00:00","2018/09/19 22:59:00","9","2018/09/18 22:59:00","1","1","1002"
"2018/10/22 16:00:00","1","bgm_M104","1002","2018/11/20 04:59:59","2","2018/10/15 23:00:00","2018/10/20 22:59:00","10","2018/10/19 22:59:00","1","1","1003"
"2018/11/20 05:00:00","2","bgm_M115","1003","2018/12/21 15:59:59","2","2018/11/13 12:00:00","2018/11/18 11:59:00","11","2018/11/17 11:59:00","1","1","1004"
"2018/12/21 16:00:00","1","bgm_M119","1004","2019/01/22 15:59:59","2","2018/12/14 23:00:00","2018/12/19 22:59:00","12","2018/12/18 22:59:00","1","1","1005"
"2019/01/22 16:00:00","2","bgm_M132","1005","2019/02/19 04:59:59","2","2019/01/15 23:00:00","2019/01/20 22:59:00","1","2019/01/19 22:59:00","1","1","1006"
"2019/02/19 05:00:00","1","bgm_M139","1006","2019/03/22 04:59:59","2","2019/02/12 12:00:00","2019/02/17 11:59:00","2","2019/02/16 11:59:00","1","1","1007"
"2019/03/22 05:00:00","2","bgm_M166","1007","2019/04/22 04:59:59","2","2019/03/15 12:00:00","2019/03/20 11:59:00","3","2019/03/19 11:59:00","1","1","1008"
"2019/04/22 05:00:00","1","bgm_M175","1008","2019/05/23 04:59:59","2","2019/04/15 12:00:00","2019/04/20 11:59:00","4","2019/04/19 11:59:00","1","1","1009"
"2019/05/23 05:00:00","2","bgm_M181","1009","2019/06/22 04:59:59","2","2019/05/16 12:00:00","2019/05/21 11:59:00","5","2019/05/20 11:59:00","1","1","1010"
"2019/06/22 05:00:00","1","bgm_M186","1010","2019/07/24 04:59:59","2","2019/06/15 12:00:00","2019/06/20 11:59:00","6","2019/06/19 11:59:00","1","1","1011"
"2019/07/24 05:00:00","2","bgm_M205","1011","2019/08/23 04:59:59","2","2019/07/17 12:00:00","2019/07/22 11:59:00","7","2019/07/21 11:59:00","1","1","1012"
"2019/08/23 05:00:00","1","bgm_M90","1012","2019/09/23 04:59:59","2","2019/08/16 12:00:00","2019/08/21 11:59:00","8","2019/08/20 11:59:00","1","1","1013"
"2019/09/23 05:00:00","2","bgm_M97","1013","2019/10/24 04:59:59","2","2019/09/16 12:00:00","2019/09/21 11:59:00","9","2019/09/20 11:59:00","1","1","1014"
"2019/10/24 05:00:00","1","bgm_M104","1014","2019/11/23 04:59:59","2","2019/10/17 12:00:00","2019/10/22 11:59:00","10","2019/10/21 11:59:00","1","1","1015"
"2019/11/23 05:00:00","2","bgm_M115","1015","2019/12/23 04:59:59","2","2019/11/16 12:00:00","2019/11/21 11:59:00","11","2019/11/20 11:59:00","1","1","1016"
"2019/12/23 05:00:00","1","bgm_M119","1016","2020/01/23 04:59:59","2","2019/12/16 12:00:00","2019/12/21 11:59:00","12","2019/12/20 11:59:00","1","1","1017"
"2020/01/23 05:00:00","2","bgm_M132","1017","2020/02/24 04:59:59","2","2020/01/16 12:00:00","2020/01/21 11:59:00","1","2020/01/20 11:59:00","1","1","1018"
