3ad392f0a54ce9290ced5d3d31cfcf0542f62e127dbe7e96354f110eff6d03df,35df50771d8824b9117f28172d27f3adde869f906ac3ef45757966b5cc2b9e88,0af40cc8f54b24beb122ca6250cad5d31efff71f5c7218e393edab093d855977,cbe4310213ef1dfebae2c9214ea41e06e1830fc0d2409caeca23776a5a401a39,de4cd414869604c2458cb5618d045acc3b31c29cc1b69255ec8b3bb018e1bec4,65a93139bd029dd4a87dd241b76236edd0d3d363d8e164b700bd167e15a3344e
"1","10009106","1","10009101","1","0"
"2","10009112","1","10009101","1","0"
"3","10010110","1","10010101","1","0"
"4","1001901","2","10019101","1","0"
"5","10021112","1","10021101","1","0"
"6","10025109","1","10025101","1","0"
"7","5025001","3","10025","2","500810"
"8","20009106","1","20009101","1","0"
"9","20009112","1","20009101","1","0"
"10","20010110","1","20010101","1","0"
"12","5042001","3","10042","2","501001"
"13","2001501","2","20015101","1","0"
"14","5044001","3","10044","2","501031"
"15","20016112","1","20016101","1","0"
"16","5046002","3","10046","2","501103"
"17","10049109","1","10049101","1","0"
"19","10066112","1","10066101","1","0"
"20","5066005","3","10066","2","501291"
"21","5042001","3","10069","2","501001"
"22","5044001","3","10071","2","501031"
"23","5068001","3","10068","2","501341"
"24","5070004","3","10070","2","501353"
"25","5070005","3","10070","2","500016"
"26","5072004","3","10072","2","501364"
"27","5072006","3","10072","2","501365"
"28","5046002","3","10073","2","501103"
"29","5074001","3","10074","2","501383"
"30","10076112","1","10076101","1","0"
"31","5076005","3","10076","2","505036"
"32","5078004","3","10078","2","501451"
"33","5080005","3","10080","2","501463"
"34","10082105","1","10082101","1","0"
"35","10082108","1","10082102","1","0"
"36","10082111","1","10082103","1","0"
"37","5082002","3","10082","2","501160"
"38","5082004","3","10082","2","501031"
"39","5082005","3","10082","2","501483"
"40","5084001","3","10084","2","500368"
"41","5084002","3","10084","2","510306"
"42","5084003","3","10084","2","500039"
"43","5085002","3","10085","2","500368"
"44","5085003","3","10085","2","510203"
"45","5085004","3","10085","2","500272"
"46","5085005","3","10085","2","501501"
"47","5088005","3","10088","2","501810"
"50","5042001","3","20025","2","501001"
"51","5090002","3","10090","2","501541"
"55","5044001","3","20026","2","501031"
"56","10093112","1","10093101","1","0"
"57","5066005","3","10093","2","501291"
"58","5046002","3","20027","2","501103"
"59","5092001","3","10092","2","501031"
"60","5092004","3","10092","2","501551"
"61","5094001","3","10094","2","501593"
"62","5068001","3","10095","2","501341"
"67","5025001","3","20018","2","500810"
"68","5096002","3","10096","2","501613"
"73","5070004","3","10097","2","501353"
"74","5070005","3","10097","2","500016"
"75","5098000","3","10098","2","501031"
"76","10098104","1","10098101","1","0"
"77","10098111","1","10098102","1","0"
"78","5072004","3","10099","2","501364"
"79","5072006","3","10099","2","501365"
"80","5100003","3","10100","2","500837"
"82","5074001","3","10101","2","501383"
"83","5074001","3","10101","2","501383"
"84","5102002","3","10102","2","501873"
"85","10103112","1","10103101","1","0"
"86","5076005","3","10103","2","505036"
"88","5108002","3","10108","2","501911"
"89","5104003","3","10104","2","500133"
"90","5078004","3","10105","2","501451"
"93","5110005","3","10110","2","501931"
"94","5111005","3","10111","2","500013"
"95","5080005","3","10107","2","501463"
"96","10109105","1","10109101","1","0"
"97","10109108","1","10109102","1","0"
"98","10109111","1","10109103","1","0"
"99","5082002","3","10109","2","501160"
"100","5082004","3","10109","2","501031"
"101","5082005","3","10109","2","501483"
"103","5084001","3","10112","2","500368"
"104","5084002","3","10112","2","510306"
"105","5084003","3","10112","2","500039"
"106","5085002","3","10113","2","500368"
"107","5085003","3","10113","2","510203"
"108","5085004","3","10113","2","500272"
"109","5085005","3","10113","2","501501"
"110","1011001","2","10110101","1","0"
"111","20037112","1","20037101","1","0"
"112","5066005","3","20037","2","501291"
"113","5088005","3","10115","2","501810"
"114","5114000","3","10114","2","500016"
"115","5114003","3","10114","2","501952"
"116","5068001","3","20038","2","501341"
"117","5090002","3","10117","2","501541"
"121","5070004","3","20039","2","501353"
"122","5070005","3","20039","2","500016"
"123","5116004","3","10116","2","500837"
"124","5092001","3","10119","2","501031"
"125","5092004","3","10119","2","501551"
"126","5118002","3","10118","2","500133"
"127","5118003","3","10118","2","500810"
"128","5118007","3","10118","2","500133"
"129","5072004","3","20040","2","501364"
"130","5072006","3","20040","2","501365"
"132","5124003","3","10124","2","501614"
"133","5074001","3","20041","2","501383"
"135","5094001","3","10121","2","501593"
"136","5122000","3","10122","2","502003"
"137","5122002","3","10122","2","502015"
"138","5096002","3","10123","2","501613"
"139","5076005","3","20042","2","505036"
"140","5078004","3","20043","2","501451"
"141","5098000","3","10125","2","501031"
"143","5100003","3","10127","2","500837"
"144","5080005","3","20044","2","501463"
"145","5128001","3","10128","2","502063"
"146","5102002","3","10129","2","501873"
"147","20045105","1","20045101","1","0"
"148","20045108","1","20045102","1","0"
"149","20045111","1","20045103","1","0"
"150","5082002","3","20045","2","501160"
"151","5082004","3","20045","2","501031"
"152","5082005","3","20045","2","501483"
"153","5084001","3","20046","2","500368"
"154","5084002","3","20046","2","510306"
"155","5084003","3","20046","2","500039"
"156","5085002","3","20047","2","500368"
"157","5085003","3","20047","2","510203"
"158","5085004","3","20047","2","500272"
"159","5085005","3","20047","2","501501"
"160","5130001","3","10130","2","500016"
"161","5130007","3","10130","2","500133"
"162","5104003","3","10131","2","500133"
"163","5136002","3","10136","2","500143"
"164","5136004","3","10136","2","500175"
"165","5137002","3","10137","2","501622"
"166","5137005","3","10137","2","500133"
"167","5088005","3","20048","2","501810"
"168","5134007","3","10134","2","500554"
"169","5108002","3","10135","2","501911"
"170","5110005","3","10138","2","501931"
"171","5111005","3","10139","2","500013"
"172","5090002","3","20049","2","501541"
"173","1013801","2","10138101","1","0"
"174","5114000","3","10141","2","500016"
"175","5114003","3","10141","2","501952"
"180","5140002","3","10140","2","502224"
"181","5092001","3","20050","2","501031"
"182","5092004","3","20050","2","501551"
"183","5142001","3","10142","2","501683"
"184","5116004","3","10143","2","500837"
"185","5118002","3","10145","2","500133"
"186","5118003","3","10145","2","500810"
"187","5118007","3","10145","2","500133"
"188","5094001","3","20051","2","501593"
"189","5096002","3","20052","2","501613"
"1014601","5146001","3","10146","2","502283"
"1014901","5122000","3","10149","2","502003"
"1014902","5122002","3","10149","2","502015"
"1015101","5124003","3","10151","2","501614"
"1015401","5154007","3","10154","2","502373"
"1015601","5156001","3","10156","2","502074"
"1015602","5156002","3","10156","2","502394"
"1015701","5128001","3","10157","2","502063"
"1015801","5158003","3","10158","2","500880"
"1015901","5130001","3","10159","2","500016"
"1015902","5130007","3","10159","2","500133"
"1016301","5134007","3","10163","2","500554"
"1016401","5136002","3","10164","2","500143"
"1016402","5136004","3","10164","2","500175"
"1016501","5137002","3","10165","2","501622"
"1016502","5137005","3","10165","2","500133"
"1016601","5140002","3","10166","2","502224"
"1016701","5142001","3","10167","2","501683"
"1016901","5146001","3","10169","2","502283"
"1017301","5154007","3","10173","2","502373"
"1017601","5156001","3","10176","2","502074"
"1017602","5156002","3","10176","2","502394"
"1017701","5158003","3","10177","2","500880"
"2005301","5098000","3","20053","2","501031"
"2005401","5100003","3","20054","2","500837"
"2005501","5102002","3","20055","2","501873"
"2005601","5104003","3","20056","2","500133"
"2005801","5108002","3","20058","2","501911"
"2005901","5110005","3","20059","2","501931"
"2006001","5111005","3","20060","2","500013"
"2006101","5114000","3","20061","2","500016"
"2006102","5114003","3","20061","2","501952"
"2006201","5116004","3","20062","2","500837"
"2006301","5118002","3","20063","2","500133"
"2006302","5118003","3","20063","2","500810"
"2006303","5118007","3","20063","2","500133"
"2006501","5122000","3","20065","2","502003"
"2006502","5122002","3","20065","2","502015"
"2006601","5124003","3","20066","2","501614"
"2006701","5136002","3","20067","2","500143"
"2006702","5136004","3","20067","2","500175"
"2006801","5137002","3","20068","2","501622"
"2006802","5137005","3","20068","2","500133"
"2007001","5128001","3","20070","2","502063"
"2007101","5130001","3","20071","2","500016"
"2007102","5130007","3","20071","2","500133"
"2007301","5134007","3","20073","2","500554"
"2007401","5140002","3","20074","2","502224"
"2007501","5142001","3","20075","2","501683"
