a9d4189c7209cae61786425f3ca0b1b02b42efdd328cf2f93e07169d6a42a6c8,a7fa4d4c0b3d6289d13767943e2dac76d05c4e1e68294904d2502d2bfb835ca3,f89f0d518926d00d83d6b70e94de087b77dd5b021076f9ff5aa8406d150ce47a
"10101","1","1"
"10102","1","2"
"10103","1","3"
"10104","1","4"
"10201","2","1"
"10202","2","2"
"10203","2","3"
"10204","2","4"
"10301","3","1"
"10302","3","2"
"10303","3","3"
"10304","3","4"
"10401","4","1"
"10402","4","2"
"10403","4","3"
"10404","4","4"
"10501","5","1"
"10502","5","2"
"10503","5","3"
"10504","5","4"
"10601","6","1"
"10602","6","2"
"10603","6","3"
"10604","6","4"
"10701","7","1"
"10702","7","2"
"10703","7","3"
"10704","7","4"
"10801","8","1"
"10802","8","2"
"10803","8","3"
"10804","8","4"
"99999","0","0"
