0bddd928ad11de0b7d8f941d2928ac01e885701eb7657fe469ce53d8e8e6f231,efe2c232ae40345f0be31826f23baed3e7e6c5869cd34381c433f4f9a4e6e0ee,c7fc8a953523c9c71a5a474939161ca234429a22928bdae04371c0cabe9d61f3,23a18abb87178c10052af96984e367fa6ac93ddd2beea528dbd73c58617d3d89,a2a22ef7c65c7224aca5091db0ed5c6614c2e446f0b7710b7397296f489e3a54,df98798824ad8ab5018e3b7c42b2a6123da2fe830de3c3e2475ca572d33c7145,bf9ed28782ac87b97de7d4b0a6ee0f932effe1c07a8d8f3a1ff024362f713c20,8f8f636e06e5206b6aebfa197d24ab2fada44c4d69d28f9f7b9793905cdc3b11,84ea701f2f15a35738ef22474754617834e2d091f8a2255c2b808e8e27fa434b,2a5448e53e1932efe94b3c709d353a50b2bb833b241cb2fc617379f8ee89d3c1,7b93df3d9e026eb450654e93abddeeb226ddef4bfe3a15542288ebfc1476269b,ba3ce6ec002ddf33ad009f6d77d0ef66948214ac21382e39b140fe7b6a97ff31,3b5a6e4e3847346bca1bdfb88b694e53fc3f1da13658d959746410a1e40ef067,40de440a3ca7823ddbd179c546fff7e93bb231523b0ed6208124a6aeb3914ea7,4b0c5559889a8db68d30d402468802b785d8755ad1d1fcb7f2894a68347ea325,0a5f0d00c014ce09cfddd94166d0e800f337242ce5c45961954492ce3a99ffb7,44b28d3ba2ea7f22e1aa1dc05094a07e6d9399a7d30ef8f52e9a27f7c7fe2b1d,31ff48d739e757c99b71a3245c1e7bb5795177aa3da7d8b1f5647580bd96ff36
"91002","1","3","3","300000","4","100","2","150003","94002","30","1001","8","12","8","2","20004","90005"
"91002","2","3","3","400000","4","150","2","150004","94002","30","1001","60","12","8","4","140001","90005"
"91002","3","3","3","500000","4","150","2","150005","94002","30","1001","10","12","8","2","20004","90005"
"91002","4","3","3","750000","4","200","2","150006","94002","30","1001","90","12","8","4","140001","90005"
"91002","5","3","3","1000000","4","200","2","150007","94002","30","1001","1","12","8","2","21951","90005"
"91002","1","3","3","300000","4","100","2","150003","94002","30","1002","8","12","8","2","20004","90005"
"91002","2","3","3","400000","4","150","2","150004","94002","30","1002","60","12","8","4","140001","90005"
"91002","3","3","3","500000","4","150","2","150005","94002","30","1002","10","12","8","2","20004","90005"
"91002","4","3","3","750000","4","200","2","150006","94002","30","1002","90","12","8","4","140001","90005"
"91002","5","3","3","1000000","4","200","2","150007","94002","30","1002","1","12","8","2","21951","90005"
"91002","1","100","3","300000","4","50","4","150003","94002","100","1003","8","12","8","2","20004","150004"
"91002","2","5","3","400000","4","100","2","150005","94002","50","1003","60","12","8","4","140001","90005"
"91002","3","500000","3","0","4","100","12","150006","0","50","1003","10","0","8","2","20004","94002"
"91002","4","10","3","750000","4","150","2","150007","94002","50","1003","90","12","8","4","140001","90005"
"91002","5","1000000","3","0","4","150","12","150008","0","50","1003","1","0","8","2","21951","94002"
"91002","1","100","3","300000","4","50","4","150003","94002","100","1004","8","12","8","2","20004","150004"
"91002","2","5","3","400000","4","100","2","150005","94002","50","1004","60","12","8","4","140001","90005"
"91002","3","500000","3","0","4","100","12","150006","0","50","1004","10","0","8","2","20004","94002"
"91002","4","10","3","750000","4","150","2","150007","94002","50","1004","90","12","8","4","140001","90005"
"91002","5","1000000","3","0","4","150","12","150008","0","50","1004","1","0","8","2","21951","94002"
"91002","1","100","3","300000","4","50","4","150003","94002","100","1005","8","12","8","2","20004","150004"
"91002","2","5","3","400000","4","100","2","150005","94002","50","1005","60","12","8","4","140001","90005"
"91002","3","500000","3","0","4","100","12","150006","0","50","1005","10","0","8","2","20004","94002"
"91002","4","10","3","750000","4","150","2","150007","94002","50","1005","90","12","8","4","140001","90005"
"91002","5","1000000","3","0","4","150","12","150008","0","50","1005","1","0","8","2","21951","94002"
"91002","1","100","3","300000","4","50","4","150004","94002","100","1006","8","12","8","2","20004","150005"
"91002","2","5","3","400000","4","100","2","150006","94002","50","1006","60","12","8","4","140001","90005"
"91002","3","500000","3","0","4","100","12","150007","0","50","1006","10","0","8","2","20004","94002"
"91002","4","10","3","750000","4","150","2","150008","94002","50","1006","90","12","8","4","140001","90005"
"91002","5","1000000","3","0","4","150","12","150009","0","50","1006","1","0","8","2","21951","94002"
