0f4a4dd6e6fdd683c17a605e09dee4236063dd16cae73e2f9fe8ab7c85372afe,78381a0f30fa5521d312be2e41740be0de951a683e198f79a83c4372af51c9af,e29128d6ca1a81a8ad6d761f242713d292f74e249cbe4162d469b3f53e7bd4f2,01c2c2b613f9c227bed7ef80b898962579a695d6f736d4fbc5048fe784d25599,cf1519d9a0893c63821739dcc60e0327a64b16aaaa80b8d27d5a2357063607da,8f4837ab4557c7a541e83cac12bee32d69e6ddab6968dd722549569c64ebac08,257ac9df365fac3d0031e505497593fc113ecd13bb8696959f057eb95ee2aa59,aaf11dec1767ec7ab55bfc46975a24b296540bf665f762a3142c04f2c7b66298,c2eb09d0a23b5428d7f693b887f2be7304a43873685bd75999879b9da6eae37c,9f1b5359b15c9aeefb9b1b0bf1bd8326bbec67589f3f582a4551628174be9d95,382f83fcc98e8e6a9c450abc9785287ae4b2d139cc3ea747f01513abc39ffaf0,5b2bb426ebc73079202700b3b009c7f4de4eb158ffc929e194c552a9252146b3
"0","2","戰鬥開始時，我方的TP提升250。","1","0","-1","TP提升250","0","3001","3001","3001","3"
"0","2","戰鬥開始時，我方的TP提升250。","1","0","-1","TP提升250","0","3002","3002","3002","3"
"0","2","戰鬥開始時，我方的TP提升250。","1","0","-1","TP提升250","0","3003","3003","3003","3"
"0","2","戰鬥開始時，我方的TP提升250。","1","0","-1","TP提升250","0","3004","3004","3004","3"
"0","2","戰鬥開始時，我方的TP提升1000。","3","0","-1","TP提升1000","0","3006","3006","3006","3"
"0","2","戰鬥開始時，我方的TP提升1000。","3","0","-1","TP提升1000","0","3007","3007","3007","3"
"3500000000000","3","戰鬥開始90秒內，使我方的物理攻擊力提升。","1","0","25200","提升物理攻擊90秒","9006503","30011","3001","30011","3"
"2400000000000","3","戰鬥開始90秒內，使敵人的物理防禦力下降","1","0","72000","降低物理防禦90秒","9006504","30012","3001","30012","3"
"2400000000000","3","戰鬥開始90秒內，每秒恢復我方的HP","1","0","39600","每秒HP恢復90秒","9006506","30021","3002","30021","3"
"1200000000000","3","戰鬥開始90秒內，每秒提升我方的TP","1","0","72000","每秒TP提升90秒","9006507","30022","3002","30022","3"
"2320000000000","3","戰鬥開始15秒內，我方進入無敵狀態","1","0","43200","無敵15秒","9006509","30031","3003","30031","3"
"1600000000000","3","戰鬥開始90秒內，使敵人的魔法攻擊力下降","1","0","72000","降低魔法攻擊90秒","9006510","30032","3003","30032","3"
"3360000000000","3","戰鬥開始15秒內，敵人陷入暈眩狀態","1","0","32400","暈眩15秒","9006512","30041","3004","30041","3"
"2400000000000","3","戰鬥開始90秒內，使敵人的物理防禦力下降","1","0","43200","降低物理防禦90秒","9006513","30042","3004","30042","3"
"10382000000000","3","戰鬥開始90秒內，使我方的魔法攻擊力提升","2","0","43200","提升魔法攻擊90秒","9006516","30051","3005","30051","3"
"7087500000000","3","戰鬥開始90秒內，每秒提升我方的TP","3","0","21600","每秒TP提升90秒","9006519","30061","3006","30061","3"
"4050000000000","3","戰鬥開始90秒內，使敵人的魔法防禦力下降","3","0","43200","降低魔法防禦90秒","9006520","30062","3006","30062","3"
"8487500000000","3","戰鬥開始90秒內，使我方的物理攻擊力提升。","3","0","43200","提升物理攻擊90秒","9006522","30071","3007","30071","3"
"2425000000000","3","戰鬥開始15秒內，我方進入無敵狀態","3","0","64800","無敵15秒","9006523","30072","3007","30072","3"
"3880000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降","1","36000","-1","降低物理攻擊90秒","0","300101","3001","300101","3"
"3720000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降","1","36000","-1","降低物理攻擊90秒","0","300102","3001","300102","3"
