77fef636374fa56ab510f31e8a59a81e2c6f1857bb31d2dc5c5cf58cf392134d,860712fffbafb35a2a093d75b977ccf8a1faf16449b822d5cd3051a0637e09fe,f7830416f5ee6ce2d6cabb7e6f9319d97d9e38cb903a9a10a87cbb5795716cb2,8119e1869836407202c94bccd5fd77010300168229fc298d74adbde3ec6e8fe4,d0b513738eb4b5584cb556fa2103f5f821275e5802fecf9cd0da3dc3debc77f8
"1038","1","1","0","150"
"1038","2","2","0","151"
"1038","3","3","0","152"
"1038","4","4","0","153"
"1038","5","5","0","154"
"1039","6","1","0","156"
"1039","7","2","0","157"
"1039","8","3","0","158"
"1039","9","4","0","159"
"1039","10","5","0","160"
"1040","11","1","0","162"
"1040","12","2","0","163"
"1040","13","3","0","164"
"1040","14","4","0","165"
"1040","15","5","0","166"
"1041","16","1","0","168"
"1041","17","2","0","169"
"1041","18","3","0","170"
"1041","19","4","0","171"
"1041","20","5","0","172"
"1042","21","1","0","174"
"1042","22","2","0","175"
"1042","23","3","0","176"
"1042","24","4","0","177"
"1042","25","5","0","178"
"1043","26","1","0","180"
"1043","27","2","0","181"
"1043","28","3","0","182"
"1043","29","4","0","183"
"1043","30","5","0","184"
"1044","31","1","0","186"
"1044","32","2","0","187"
"1044","33","3","0","188"
"1044","34","4","0","189"
"1044","35","5","0","190"
"1045","36","1","0","192"
"1045","37","2","0","193"
"1045","38","3","0","194"
"1045","39","4","0","195"
"1045","40","5","0","196"
"1046","41","1","0","198"
"1046","42","2","0","199"
"1046","43","3","0","200"
"1046","44","4","0","201"
"1046","45","5","0","202"
"1047","46","1","0","204"
"1047","47","2","0","205"
"1047","48","3","0","206"
"1047","49","4","0","207"
"1047","50","5","0","208"
"1048","51","1","0","210"
"1048","52","2","0","211"
"1048","53","3","0","212"
"1048","54","4","0","213"
"1048","55","5","0","214"
"1049","56","1","0","216"
"1049","57","2","0","217"
"1049","58","3","0","218"
"1049","59","4","0","219"
"1049","60","5","0","220"
"1050","61","1","0","222"
"1050","62","2","0","223"
"1050","63","3","0","224"
"1050","64","4","0","225"
"1050","65","5","0","226"
"1051","66","1","0","228"
"1051","67","2","0","229"
"1051","68","3","0","230"
"1051","69","4","0","231"
"1051","70","5","0","232"
"1052","71","1","0","234"
