dcf907ffda1ab7df9ee44f444e9841cd569c34ae72d328559d9a1fadf6828cde,dc24a80f10c243d461f03734aba5b4e1c572694734b590bc90f3ded7a267cff6,b7fd266bc09a8856460baa2e68abdee1a2e114476b8b7a538c5e2160ad97ba8d,b9734ed12a9b901d639763d87537c218dda6d8322ad4b3a320a452cf66e2ba45,38cd74a207b444ec63e405b55526c2260fa4d2b771c0b49a27eab793f09f5c9d,7f88be969242ef2584bd760606a80c24f595984e987807786b3137343d6d47bd,80c370894d05471d348b5bee7a1c13eed13c82a1faacd5583617487f9f786755,d9384b7ce1cfbaeb343453faf69c220d289095d4ccb2bbaa54cde9e04173f726,16970bc68fae004fa8704bfe811c44f669f31b15835c5446cf3598d61243699e,e1cada6c448a64111058cf22b2cf63203c9ebc73830e11b1c144ea0e9e0fff2d,0b76e9da4a996bc45d063fc2ed1fe0d3c09962b04561fe8409a483e51b047ba8,ae4eb04801d72fba1ffd26a5e7532d73d0114efb946569f267bf3ddb51938d0e,f7c0bbc56a279daf5488d166f0c0362354572f176e96a3d8f443f5be4b7eeaa1,982fd9506d4b66beef470ff58e7abc45bd101d2424dceb814c000ec00ecc5f57,f74b8a8aabc920928a6b42f2059d228015cc68086da56297ebcb37fd3a1da764,4e4e36448a0adf14b695c5a543c865dc302a8b48b55f9c576be2b38142cf3037,b588ca17cb4f74442033443da8879d0d91ba591156c5d4dac09cec412c53add7,a44a8a9966f36ced4b9423e35a54f1aeb30a5c54f49f7de7ce1c1c38746a50f6,be5e024034d08dc08c4b8d80eb64ad6fa4201b0fbad5d8239fdfb01fcd8374c0,86d17c6a5f0b3a54e9e7f8b9ab6ee9e10d50c76e583ab0882b43487f74dc21d1,f227d409492555932311c008bdf4f3d45f8db655495ca89952b5a8318ce6d20f,21bded07036f4a41ca6c0effba03ff61106dfa6d3a7d43e849235b1a5ebf2651,d1ad48d14eee12275f9022ff2e828e88407bee5bdec9ae2a70f64976deb5b22a,a89bd3a5d6ccd6c06cd4604fd0470f48b107eeb642dc71e54626b772ab494881,75cfa08c0ce2c8a0ecbf2e6c266eb1ae090d297a9e96e585646add1300c4ef61,1b2d4683c8a368e0440663568a05363418dbd90a58ee8c0ff5f17eb1bbbb0070,c05b2363fdf5073d321fbafd58c2825f74e82d688b10ee1463eeb5abe232d00a,2f90859c7a42ca0eb0d7a92ab3aa14036d0a46d32a7002aa34addc4db7330ab5,2f09ca28325f764ab885b1008ba66327e854a3cf839b2ee65405cc84811bd3a9,31cda6053f56b29f231eb797af036236091b11b1f1ed10d94a2ff98b493f2016,25197edec11c08b02f3e6da63d5d2073d6fc63dffe2df262793c7bbde4e456a6,60efe700c4591ce58149901121e09158dad304bc1f64fd6d348a98f93c4ba9d5,80cbf300181682c2a22c2bcfb77d0e93e2d08754c69bcd0c0225c301237af901,52b9382ba53f51c18dc565286abec55b86e9e246017c9941d54e898531baae9d,a110735c1054f1b3ef907d8b3b6733398097a413f7718927202656bc53ac674d,232e50a510f4497fcc818015e51f8e3e78e5ffc91418c9277796e748c22a7403,42b868b173f8418479b7ec76156f79ece80bbee1fdff2b6e4572d57115e0781e,ce1ea3ab1fdd0b7be83bbcffa9e6aee86d1d8c8fe89ed805ee5ac47dddf84cb3,9023b0ede5e9b5a3dbecce5ab81e9ecaffddf35dcde4a047757deb426858ff9f
"1","1001104","10010104","1001","0.03","1","1001102","1.2","0","1001101","1.1","10010105","1001103","0","1001202","710011","1","1001201","401010041","1001301","1","1","1","401010021","1.1","1","1001203","401010031","10010101","401010051","100000","10010102","1001205","10010103","1","1001204","1","1001105","401010011"
"2","1001109","10010104","1001","0.06","1.2","1001107","2","0","1001106","1.7","10010105","1001108","0","1001207","710011","1","1001206","401010041","1001303","2","1.2","-1","401010021","1.5","2","1001208","401010031","10010101","401010051","100000","10010102","1001210","10010103","1","1001209","1","1001110","401010011"
"3","1002104","10020104","1002","0.03","1","1002102","1.2","0","1002101","1.1","10020105","1002103","0","1002202","710021","1","1002201","401020041","1001301","1","1","1","401020021","1.1","1","1002203","401020031","10020101","401020051","100000","10020102","1002205","10020103","1","1002204","1","1002105","401020011"
"4","1002109","10020104","1002","0.06","1.2","1002107","2","0","1002106","1.7","10020105","1002108","0","1002207","710021","1","1002206","401020091","1001303","2","1.2","-1","401020071","1.5","2","1002208","401020081","10020101","401020101","100000","10020102","1002210","10020103","1","1002209","1","1002110","401020061"
"5","1003104","10030104","1003","0.03","1","1003102","1.2","0","1003101","1.1","10030105","1003103","0","1003202","710031","1","1003201","401030041","1001301","1","1","1","401030021","1.1","1","1003203","401030031","10030101","401030051","100000","10030102","1003205","10030103","1","1003204","1","1003105","401030011"
"6","1003109","10030104","1003","0.06","1.2","1003107","2","0","1003106","1.7","10030105","1003108","0","1003207","710031","1","1003206","401030091","1001303","2","1.2","-1","401030071","1.5","2","1003208","401030081","10030101","401030101","100000","10030102","1003210","10030103","1","1003209","1","1003110","401030061"
"7","1004104","10040104","1004","0.03","1","1004102","1.2","0","1004101","1.1","10040105","1004103","0","1004202","710041","1","1004201","401040041","1001301","1","1","1","401040021","1.1","1","1004203","401040031","10040101","401040051","100000","10040102","1004205","10040103","1","1004204","1","1004105","401040011"
"8","1004109","10040104","1004","0.06","1.2","1004107","2","0","1004106","1.7","10040105","1004108","0","1004207","710041","1","1004206","401040091","1001303","2","1.2","-1","401040071","1.5","2","1004208","401040081","10040101","401040101","100000","10040102","1004210","10040103","1","1004209","1","1004110","401040061"
"9","1004104","10050104","1005","0.03","1","1004102","1.2","0","1004101","1.1","10050105","1004103","0","1004202","710051","1","1004201","401040141","1001301","1","1","1","401040121","1.1","1","1004203","401040131","10050101","401040151","100000","10050102","1004205","10050103","1","1004204","1","1004105","401040111"
"10","1004109","10050104","1005","0.06","1.2","1004107","2","0","1004106","1.7","10050105","1004108","0","1004207","710051","1","1004206","401040191","1001303","2","1.2","-1","401040171","1.5","2","1004208","401040181","10050101","401040201","100000","10050102","1004210","10050103","1","1004209","1","1004110","401040161"
"11","1004104","10060104","1006","0.03","1","1004102","1.5","0","1004101","1.3","10060105","1004103","0","1004202","710061","1","1004201","401040241","1001301","1","1","1","401040221","1.3","1","1004203","401040231","10060101","401040251","100000","10060102","1004205","10060103","1","1004204","1","1004105","401040211"
"12","1004109","10060104","1006","0.06","1.3","1004107","2","0","1004106","1.8","10060105","1004108","0","1004207","710061","1","1004206","401040291","1001303","2","1.3","-1","401040271","1.8","2","1004208","401040281","10060101","401040301","100000","10060102","1004210","10060103","1","1004209","1","1004110","401040261"
"13","1004104","10070104","1007","0.03","1","1004102","1.5","0","1004101","1.3","10070105","1004103","0","1004202","710071","1","1004201","401040341","1001301","1","1","1","401040321","1.3","1","1004203","401040331","10070101","401040351","100000","10070102","1004205","10070103","1","1004204","1","1004105","401040311"
"14","1004109","10070104","1007","0.06","1.3","1004107","2","0","1004106","1.8","10070105","1004108","0","1004207","710071","1","1004206","401040391","1001303","2","1.3","-1","401040371","1.8","2","1004208","401040381","10070101","401040401","100000","10070102","1004210","10070103","1","1004209","1","1004110","401040361"
"15","1004104","10080104","1008","0.03","1","1004102","1.5","0","1004101","1.3","10080105","1004103","0","1004202","710081","1","1004201","401040441","1001301","1","1","1","401040421","1.3","1","1004203","401040431","10080101","401040451","100000","10080102","1004205","10080103","1","1004204","1","1004105","401040411"
"16","1004109","10080104","1008","0.06","1.3","1004107","2","0","1004106","1.8","10080105","1004108","0","1004207","710081","1","1004206","401040491","1001303","2","1.3","-1","401040471","1.8","2","1004208","401040481","10080101","401040501","100000","10080102","1004210","10080103","1","1004209","1","1004110","401040461"
"17","1004104","10090104","1009","0.03","1","1004102","1.5","0","1004101","1.3","10090105","1004103","0","1004202","710091","1","1004201","401040541","1001301","1","1","1","401040521","1.3","1","1004203","401040531","10090101","401040551","100000","10090102","1004205","10090103","1","1004204","1","1004105","401040511"
"18","1004109","10090104","1009","0.06","1.4","1004107","2","0","1004106","1.8","10090105","1004108","0","1004207","710091","1","1004206","401040591","1001303","2","1.4","5","401040571","1.8","2","1004208","401040581","10090101","401040601","100000","10090102","1004210","10090103","1","1004209","1","1004110","401040561"
"19","1004104","10090104","1009","0.06","2","1004102","3","0","1004101","2.5","10090105","1004103","0","1004202","710091","1","1004201","401040641","1001303","2","2","-1","401040621","2.5","6","1004203","401040631","10090101","401040651","100000","10090102","1004205","10090103","1","1004204","1","1004105","401040611"
"20","1004109","10100104","1010","0.03","1","1004107","1.5","0","1004106","1.3","10100105","1004108","0","1004207","710101","1","1004206","401011004","1001301","1","1","3","401011002","1.3","1","1004208","401011003","10100101","401011005","100000","10100102","1004210","10100103","1","1004209","1","1004110","401011001"
"21","1004104","10100104","1010","0.06","1.4","1004102","2","0","1004101","1.8","10100105","1004103","0","1004202","710101","1","1004201","401021004","1001303","2","1.4","10","401021002","1.8","4","1004203","401021003","10100101","401021005","100000","10100102","1004205","10100103","1","1004204","1","1004105","401021001"
"22","1004109","10100104","1010","0.06","2","1004107","3","0","1004106","2.5","10100105","1004108","0","1004207","710101","1","1004206","401031004","1001303","2","2","-1","401031002","2.5","11","1004208","401031003","10100101","401031005","100000","10100102","1004210","10100103","1","1004209","1","1004110","401031001"
"23","1004104","10110104","1011","0.03","1","1004102","1.5","0","1004101","1.3","10110105","1004103","0","1004202","710111","1","1004201","401040691","1001301","1","1","1","401040671","1.3","1","1004203","401040681","10110101","401040701","100000","10110102","1004205","10110103","1","1004204","2","1004105","401040661"
"24","1004109","10110104","1011","0.03","1","1004107","1.5","0","1004106","1.3","10110105","1004108","0","1004207","710111","1","1004206","401040691","1001303","1","1","3","401040671","1.3","2","1004208","401040681","10110101","401040701","100000","10110102","1004210","10110103","1","1004209","2","1004110","401040661"
"25","1004104","10110104","1011","0.06","1.4","1004102","2","0","1004101","1.8","10110105","1004103","0","1004202","710111","2","1004201","401040741","1001303","2","1.4","10","401040721","1.8","4","1004203","401040731","10110101","401040751","100000","10110102","1004205","10110103","1","1004204","5","1004105","401040711"
"26","1004109","10110104","1011","0.06","2","1004107","3","0","1004106","2.5","10110105","1004108","0","1004207","710111","3","1004206","401040791","1001303","2","2","-1","401040771","2.5","11","1004208","401040781","10110101","401040801","100000","10110102","1004210","10110103","1","1004209","12","1004110","401040761"
"27","1004104","10120104","1012","0.03","1","1004102","1.5","0","1004101","1.3","10120105","1004103","0","1004202","710121","1","1004201","401040841","1001301","1","1","1","401040821","1.3","1","1004203","401040831","10120101","401040851","100000","10120102","1004205","10120103","1","1004204","2","1004105","401040811"
"28","1004109","10120104","1012","0.03","1","1004107","1.5","0","1004106","1.3","10120105","1004108","0","1004207","710121","1","1004206","401040841","1001303","1","1","3","401040821","1.3","2","1004208","401040831","10120101","401040851","100000","10120102","1004210","10120103","1","1004209","2","1004110","401040811"
"29","1004104","10120104","1012","0.06","1.4","1004102","2","0","1004101","1.8","10120105","1004103","0","1004202","710121","2","1004201","401040891","1001303","2","1.4","10","401040871","1.8","4","1004203","401040881","10120101","401040901","100000","10120102","1004205","10120103","1","1004204","5","1004105","401040861"
