96a6056116d82be819562267989be739e117f715fab6206c49f130781adc0798,bd1b8f376958287479f648be60c42cda4e42dfe86dea3d411b23ff6d6f384b8d,838011fffb4a1cdf2bd102427e8eba8b7de7a79dd6d71a446529af589c71dea4,384bd9d46e011628f08e5199c14a6d9ac85ad18d7ccd3821fffaad4eed6c0ab3,ab91831d2bce5fbc20ffc51b386fbfa2c8a19551071130c850d3adb722bcd87a,9af621e5c0b0bd75c67f9bf04d864976f060e2aef22bc3183e09771b85076926,726ea52c294fa5560cabef30fe7a0b5f5404312f356fb210595867f0d60fb8a7,7c11edfe7103b825177cf280a87642d61960f921ecc190c7076e45986599555e,fa7629d006726458ba76e2c8a1d23a6b14ead0d791b26479c89b209f77fe4ffd,d48f3265fc06754e97ac3336712a5c65f8d78d9070a29521a99c941d83b454f8,93d97529a3eee16710dc0438db55f77158f769bbe929c0c99a54eac872ec18b2,e0919832fd2fceb7452c677c24082316f097f5aadebce08223b79c5580b57939,f4d73536ae24cbb90f2554b5363f2c1f3a862166cc896d498bbc0bf2d4866f82,0c8fa3abecc9a36eb360aee50582aacb94649ac5a002b00632806b7f93f80c7a,e35a975f94f7d8af2aab048c0950f16ef857f7a5f218de36dd8e6014d2641e75,a5044edafab5109671f282bd3d492622a06206ca0856b36a5163e2a721054eee,3503b27b6b0fde1217fd1fc0bc16a96c34f19318449973bd6b5ca07b323e235f,93d564f9a1e44d21b54095da2c1bf6025e61623cf54f83050893a628633d88ef,3eeeefed12924ac26306545754c2b3077cfb325dae8393a9da7a3badb36ef4c9,4006bd58826078e8f0ed9da875b9fd8cf60c01e82a544c5e217ac935d88783d3,8ed67504b61a76c086ced41101fc5017f7ab57e1f811f74fc1e8edc546a72b93
"1001","1","戰隊競賽開始！\n和戰隊夥伴們一起討伐怪物吧！","101011","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101011","0","0","0","2018/08/22 16:00:00","2018/08/31 23:59:59","2018/09/01","2018/09/21 15:59:59","2018/09/01","2018/09/04 16:00:00","2018/09/21 15:59:59","90","40004","25","0","0"
"1002","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101021","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101021","0","0","0","2018/09/21 16:00:00","2018/09/30 23:59:59","2018/10/01","2018/10/22 15:59:59","2018/10/01","2018/10/03 16:00:00","2018/10/22 15:59:59","90","40004","25","0","0"
"1003","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101042","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101042","0","0","0","2018/10/22 16:00:00","2018/10/31 23:59:59","2018/11/01","2018/11/20 04:59:59","2018/11/01","2018/11/05 16:00:00","2018/11/20 04:59:59","90","40004","25","0","0"
"1004","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101161","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101161","0","0","0","2018/11/20 05:00:00","2018/11/29 23:59:59","2018/11/30","2018/12/21 15:59:59","2018/11/30","2018/12/05 16:00:00","2018/12/21 15:59:59","90","40004","25","0","0"
"1005","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101171","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101171","0","0","0","2018/12/21 16:00:00","2018/12/30 23:59:59","2018/12/31","2019/01/22 15:59:59","2018/12/31","2019/01/07 16:00:00","2019/01/22 15:59:59","90","40004","25","0","0"
"1006","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101191","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101191","0","0","0","2019/01/22 16:00:00","2019/01/30 23:59:59","2019/01/31","2019/02/19 04:59:59","2019/01/31","2019/02/01 16:00:00","2019/02/19 04:59:59","90","40004","25","0","0"
"1007","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101202","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101202","0","0","0","2019/02/19 05:00:00","2019/02/28 23:59:59","2019/03/01","2019/03/22 04:59:59","2019/03/01","2019/03/05 16:00:00","2019/03/22 04:59:59","90","40004","25","0","0"
"1008","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101292","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101292","0","0","0","2019/03/22 05:00:00","2019/03/31 23:59:59","2019/04/01","2019/04/22 04:59:59","2019/04/01","2019/04/03 16:00:00","2019/04/22 04:59:59","90","40004","25","0","0"
"1009","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101302","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101302","0","0","0","2019/04/22 05:00:00","2019/04/30 23:59:59","2019/05/01","2019/05/23 04:59:59","2019/05/01","2019/05/07 16:00:00","2019/05/23 04:59:59","90","40004","25","0","0"
"1010","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101441","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101441","0","0","0","2019/05/23 05:00:00","2019/05/31 23:59:59","2019/06/01","2019/06/22 04:59:59","2019/06/01","2019/06/12 16:00:00","2019/06/22 04:59:59","90","40004","25","0","0"
"1011","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101452","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101452","0","0","0","2019/06/22 05:00:00","2019/06/30 23:59:59","2019/07/01","2019/07/24 04:59:59","2019/07/01","2019/07/03 16:00:00","2019/07/24 04:59:59","90","40004","25","0","0"
"1012","1","和戰隊夥伴們一起\n討伐強力的怪物吧！","101562","戰隊競賽開始！\n培育角色挑戰怪獸吧！","101562","0","0","0","2019/07/24 05:00:00","2019/07/31 23:59:59","2019/08/01","2019/08/23 04:59:59","2019/08/01","2019/08/05 16:00:00","2019/08/23 04:59:59","90","40004","25","0","1"
