03faa6fe8064029a9adaa286491bb7dc5d2575539810387c1203540b5ed41386,b81ca60756bd7bd8659ceeacfa358729f6a9ffd84ea5e34472763a693927c257,433efcb0f362acdbd789966782a87dc0ec9790eae5052b98a3ce1c8c0bc3ec2c,11a979d33b321b683b40f7084769655a72ec3d975c67dd464c4b23b15ec2af3c,ae11c5d67987b023c73401b6bac740b8370527a8fed028e41e1ff4c44d41ef5f
"10053","信賴度","10053102","1","6017101"
"10124","信賴度","10124110","1","6124101"
"10127","信賴度","10127103","1","6100101"
"10129","信賴度","10129106","1","6102101"
"10131","信賴度","10131114","1","6104101"
"10141","信賴度","10141107","1","6114101"
"10144","信賴度","10144102","1","6144101"
"20015","信賴度","0","1","0"
"20017","信賴度","0","1","0"
"20018","信賴度","0","1","0"
"20019","信賴度","0","1","0"
"20020","信賴度","0","1","0"
"20022","信賴度","0","1","0"
"20023","信賴度","0","1","0"
"20024","信賴度","0","1","0"
"20025","信賴度","0","1","0"
"20026","信賴度","0","1","0"
"20028","信賴度","0","1","0"
"20029","信賴度","0","1","0"
"20030","信賴度","0","1","0"
"20031","信賴度","0","1","0"
"20032","信賴度","0","1","0"
"20035","信賴度","0","1","0"
"20037","信賴度","0","1","0"
"20038","信賴度","0","1","0"
"20042","信賴度","0","1","0"
"20043","信賴度","0","1","0"
"20048","信賴度","0","1","0"
"20049","信賴度","0","1","0"
"20051","信賴度","0","1","0"
