79dd580c454c70c1b487c847ba8e8393d171427f8012f6e3db0a2eb139e1d11e,6ffcf7c19d49bc63d0bcf4b8494fcb2c33a7999de143e108c303f118e1ac58ac,52f408d6abde4f72e11d91a0a42d3dcd50e08502fc902e69d89a0e1d6867d1f0,a805ed8d798996dcff05dbd781a31983c03af3024a391450c05fbbfc3801ea58,08e7d6be14ce0c1712a624a46c1eb9b8ffcc0d8a5eae239a83e754a84c529fe9,c5ab3c06fe961b09b3a370e687a6fdcc46e2f5ae213c573858f75e15615a06f0
"對歐姆蛋附加<1>HP+10%","10","1","1","1","10101010"
"對歐姆蛋附加<1>HP+11%","11","1","1","1","10101011"
"對歐姆蛋附加<1>HP+12%","12","1","1","1","10101012"
"對歐姆蛋附加<1>HP+13%","13","1","1","1","10101013"
"對歐姆蛋附加<1>HP+14%","14","1","1","1","10101014"
"對歐姆蛋附加<1>HP+15%","15","1","1","1","10101015"
"對歐姆蛋附加<1>HP+16%","16","1","1","1","10101016"
"對歐姆蛋附加<1>HP+17%","17","1","1","1","10101017"
"對歐姆蛋附加<1>HP+18%","18","1","1","1","10101018"
"對歐姆蛋附加<1>HP+19%","19","1","1","1","10101019"
"對歐姆蛋附加<1>HP+20%","20","1","1","1","10101020"
"對歐姆蛋附加<1>HP+21%","21","1","1","1","10101021"
"對歐姆蛋附加<1>HP+22%","22","1","1","1","10101022"
"對歐姆蛋附加<1>HP+23%","23","1","1","1","10101023"
"對歐姆蛋附加<1>HP+24%","24","1","1","1","10101024"
"對歐姆蛋附加<1>HP+25%","25","1","1","1","10101025"
"對歐姆蛋附加<1>HP+26%","26","1","1","1","10101026"
"對歐姆蛋附加<1>HP+27%","27","1","1","1","10101027"
"對歐姆蛋附加<1>HP+28%","28","1","1","1","10101028"
"對歐姆蛋附加<1>HP+29%","29","1","1","1","10101029"
"對歐姆蛋附加<1>HP+30%","30","1","1","1","10101030"
"對歐姆蛋附加<1>HP+31%","31","1","1","1","10101031"
"對歐姆蛋附加<1>HP+32%","32","1","1","1","10101032"
"對歐姆蛋附加<1>HP+33%","33","1","1","1","10101033"
"對歐姆蛋附加<1>HP+34%","34","1","1","1","10101034"
"對歐姆蛋附加<1>HP+35%","35","1","1","1","10101035"
"對歐姆蛋附加<1>HP+36%","36","1","1","1","10101036"
"對歐姆蛋附加<1>HP+37%","37","1","1","1","10101037"
"對歐姆蛋附加<1>HP+38%","38","1","1","1","10101038"
"對歐姆蛋附加<1>HP+39%","39","1","1","1","10101039"
"對歐姆蛋附加<1>HP+40%","40","1","1","1","10101040"
"對歐姆蛋附加<1>HP+41%","41","1","1","1","10101041"
"對歐姆蛋附加<1>HP+42%","42","1","1","1","10101042"
"對歐姆蛋附加<1>HP+43%","43","1","1","1","10101043"
"對歐姆蛋附加<1>HP+44%","44","1","1","1","10101044"
"對歐姆蛋附加<1>HP+45%","45","1","1","1","10101045"
"對歐姆蛋附加<1>HP+46%","46","1","1","1","10101046"
"對歐姆蛋附加<1>HP+47%","47","1","1","1","10101047"
"對歐姆蛋附加<1>HP+48%","48","1","1","1","10101048"
"對歐姆蛋附加<1>HP+49%","49","1","1","1","10101049"
"對歐姆蛋附加<1>HP+50%","50","1","1","1","10101050"
"對歐姆蛋附加<1>HP+51%","51","1","1","1","10101051"
"對歐姆蛋附加<1>HP+52%","52","1","1","1","10101052"
"對歐姆蛋附加<1>HP+53%","53","1","1","1","10101053"
"對歐姆蛋附加<1>HP+54%","54","1","1","1","10101054"
"對歐姆蛋附加<1>HP+55%","55","1","1","1","10101055"
"對歐姆蛋附加<1>HP+56%","56","1","1","1","10101056"
"對歐姆蛋附加<1>HP+57%","57","1","1","1","10101057"
"對歐姆蛋附加<1>HP+58%","58","1","1","1","10101058"
"對歐姆蛋附加<1>HP+59%","59","1","1","1","10101059"
"對歐姆蛋附加<1>HP+60%","60","1","1","1","10101060"
"對歐姆蛋附加<1>HP+61%","61","1","1","1","10101061"
