7172ddcd198a8cc090c03a4875c57cb59f7b446c907269ff136b64b31d93db61,bc90dfd5f7f3e7f35a3b45ca864c9e77bef6e957376b975a5ef57f7be88858ab,aa14fc77cbeed3e4206edbb81506983ec159496ebae2e8e38a38c64e8e42671f
"1003","5021700","與香織的海邊特訓！"
"1003","5021701","始於禮而止於禮"
"1003","5021710","挑戰自己的極限"
"1003","5021711","真的才是最棒的"
"1004","5027700","再次前往艾爾皮斯島！"
"1004","5027701","過熱的戰鬥"
"1004","5027702","真打登場"
"1004","5027703","戰鬥的結果……"
"1004","5027704","朝向更高處邁進！"
"1005","5040700","看守起司！"
"1005","5040701","與小小敵人之間的攻防戰"
"1005","5040702","起司的誘惑"
"1005","5040703","萌生愛意？"
"1005","5040704","勞動會持續到天長地久"
"1008","5080700","通往究極之路"
"1008","5080701","布丁會持續到天長地久"
"1010","5096700","不會結束的假期"
"1010","5096701","競爭、互相理解的羈絆"
"1012","5126700","教教我吧，凱留老師"
"1012","5126701","酸酸甜甜的是誰害的？"
"1012","5126702","最討厭讀書……？"
"1012","5126703","鉛筆100支份的青春"
"1012","5126710","會讀書的女生！"
"1012","5126711","效果驚人到笑出來"
"1012","5126712","熟能生巧？"
"1012","5126713","解不開的不可思議"
"1013","5142700","以更高的境界為目標"
"1013","5142701","挑戰極限"
"1013","5142702","美好的友情"
"1014","5156700","戰車戰鬥大會，開幕！"
"1014","5156701","無限持續的戰鬥跑道"
"1009","9004201","團結一致以答對為目標！"
