21f772a600462a3975dd3799730c9c90a8b0c2e4adc217be0764ba59c141a9de,67a05ea10b08274785f7df470c05a8a54c6cae69dba2fca31ac1cf4ecc36b04b,08798652d1146494fcebc188046353aaeebc6f94869f5bf3f7c821d7f3d380d3
"100101","10010101","1"
"100201","10020101","4"
"100301","10030101","3"
"100401","10040101","1"
"100501","10050101","1"
"100601","10060101","5"
"100701","10070101","5"
"100801","10080101","5"
"100901","10090101","5"
"101001","10100101","1"
"101101","10110101","1"
"101201","10120101","4"
"101301","10130101","5"
"101401","10140101","4"
"101501","10150101","3"
"101601","10160101","4"
"101701","10170101","1"
"101801","10180101","5"
"102001","10200101","3"
"102101","10210101","3"
"102201","10220101","5"
"102301","10230101","3"
"102501","10250101","3"
"102601","10260101","3"
"102701","10270101","5"
"102801","10280101","1"
"102901","10290101","4"
"103001","10300101","1"
"103101","10310101","5"
"103201","10320101","1"
"103301","10330101","3"
"103401","10340101","4"
"103601","10360101","2"
"103701","10370101","3"
"103801","10380101","3"
"104001","10400101","3"
"104201","10420101","3"
"104301","10430101","5"
"104401","10440101","5"
"104501","10450101","5"
"104601","10460101","5"
"104701","10470101","1"
"104801","10480101","2"
"104901","10490101","4"
"105001","10500101","5"
"105101","10510101","5"
"105201","10520101","3"
"105301","10530101","3"
"105401","10540101","3"
"105501","10550101","3"
"105601","10560101","2"
"105701","10570101","4"
"105801","10580101","4"
"105901","10590101","3"
"106001","10600101","5"
"106101","10610101","1"
"106301","10630101","3"
"106401","10640101","2"
"106501","10650101","1"
"106601","10660101","1"
"106701","10670101","5"
"106801","10680101","4"
"106901","10690101","5"
"107001","10700101","4"
"107101","10710101","1"
"107501","10750101","2"
"107601","10760101","2"
"107701","10770101","2"
"107801","10780101","2"
"107901","10790101","2"
"108001","10800101","2"
"108101","10810101","1"
"108201","10820101","5"
"108301","10830101","5"
"108401","10840101","2"
"108501","10850101","2"
"108601","10860101","2"
"108701","10870101","4"
"108801","10880101","4"
"108901","10890101","2"
"109001","10900101","1"
"109101","10910101","1"
"109201","10920101","4"
"109301","10930101","5"
"109401","10940101","1"
"109501","10950101","1"
"109601","10960101","1"
"109701","10970101","2"
"109801","10980101","3"
"109901","10990101","1"
"110001","11000101","2"
"110101","11010101","2"
"110301","11030101","2"
"110401","11040101","2"
"110501","11050101","2"
"110601","11060101","1"
"110701","11070101","3"
"110801","11080101","5"
"110901","11090101","3"
"111001","11100101","4"
"111101","11110101","1"
"111201","11120101","1"
