aef502848c4ecfa14b94e32b18f5e149951c0f7772d2475b27ee4277c9b96519,d4be4abe09479c82b91d7c6736f9fbc36fa54256866cb4aeaa1fb32924e6f4e4,b0bb941abffc26627a82c1b4a43852471298402341fac6f84a0fc9740ecd4396,2d365a9eb699e1b60dc97be94c31782331db4baa1de675ed4a8c5afd3178a98d,9108ad943e8be55b47cbc3b9167ceef13adec83d4063845ef3683c9a8e8b6588
"97501001","93001","800","97501","6"
"97501002","94002","3000000","97501","12"
"97501003","90005","60","97501","2"
"97501004","25001","15","97501","2"
"97501005","140001","20","97501","4"
"97501006","23001","300","97501","2"
"97501007","20004","80","97501","2"
"97502001","105011","1","97502","4"
"97502002","105161","1","97502","4"
"97502003","105221","1","97502","4"
"97502004","105071","1","97502","4"
"97502005","105041","1","97502","4"
"97502006","105131","1","97502","4"
"97502007","105191","1","97502","4"
"97502008","105101","1","97502","4"
"97502009","105251","1","97502","4"
"97502010","105581","1","97502","4"
"97502011","105551","1","97502","4"
"97502012","105611","1","97502","4"
"97502013","105311","1","97502","4"
"97502014","105341","1","97502","4"
"97502015","105281","1","97502","4"
"97502016","105371","1","97502","4"
"97502017","105401","1","97502","4"
"97502018","105521","1","97502","4"
"97502019","105012","1","97502","4"
"97502020","105222","1","97502","4"
"97502021","105042","1","97502","4"
"97502022","105102","1","97502","4"
"97502023","105072","1","97502","4"
"97502024","105162","1","97502","4"
"97502025","105192","1","97502","4"
"97502026","105132","1","97502","4"
"97502027","105252","1","97502","4"
"97502028","105552","1","97502","4"
"97502029","105612","1","97502","4"
"97502030","105582","1","97502","4"
"97502031","105522","1","97502","4"
"97502032","105431","1","97502","4"
"97502033","105282","1","97502","4"
"97502034","105372","1","97502","4"
"97502035","105342","1","97502","4"
"97502036","105312","1","97502","4"
"97502037","105043","1","97502","4"
"97502038","105073","1","97502","4"
"97502039","105133","1","97502","4"
"97502040","105013","1","97502","4"
"97502041","105223","1","97502","4"
"97502042","105193","1","97502","4"
"97502043","105103","1","97502","4"
"97502044","105253","1","97502","4"
"97502045","105163","1","97502","4"
"97502046","105553","1","97502","4"
"97502047","105583","1","97502","4"
"97502048","105613","1","97502","4"
"97502049","105283","1","97502","4"
"97502050","105491","1","97502","4"
"97502051","105373","1","97502","4"
"97502052","105313","1","97502","4"
"97502053","105343","1","97502","4"
"97502054","105462","1","97502","4"
"97502055","105044","1","97502","4"
"97502056","105254","1","97502","4"
"97502057","105104","1","97502","4"
"97502058","105224","1","97502","4"
"97502059","105194","1","97502","4"
"97502060","105074","1","97502","4"
"97502061","105134","1","97502","4"
"97502062","105164","1","97502","4"
"97502063","105014","1","97502","4"
"97502064","105614","1","97502","4"
"97502065","105584","1","97502","4"
"97502066","105554","1","97502","4"
"97502067","105314","1","97502","4"
"97502068","105523","1","97502","4"
"97502069","105374","1","97502","4"
"97502070","105344","1","97502","4"
"97502071","105432","1","97502","4"
"97502072","105284","1","97502","4"
"97503001","90005","20","97503","2"
"97503002","140001","10","97503","4"
"97503003","93001","250","97503","6"
"97503004","91002","500","97503","8"
"97503005","94002","500000","97503","12"
"97503006","25001","5","97503","2"
"97504001","97102","1","97504","2"
"97504002","97103","1","97504","2"
"97504003","97104","1","97504","2"
"97504004","97105","1","97504","2"
"97505001","93001","800","97505","6"
"97505002","94002","3000000","97505","12"
"97505003","90005","60","97505","2"
"97505004","25001","15","97505","2"
"97505005","140001","20","97505","4"
"97505006","23001","400","97505","2"
"97505007","20004","100","97505","2"
"97506001","105011","1","97506","4"
"97506002","105161","1","97506","4"
"97506003","105221","1","97506","4"
"97506004","105071","1","97506","4"
"97506005","105041","1","97506","4"
"97506006","105131","1","97506","4"
"97506007","105191","1","97506","4"
"97506008","105101","1","97506","4"
"97506009","105251","1","97506","4"
"97506010","105581","1","97506","4"
"97506011","105551","1","97506","4"
"97506012","105611","1","97506","4"
"97506013","105311","1","97506","4"
"97506014","105341","1","97506","4"
"97506015","105281","1","97506","4"
"97506016","105371","1","97506","4"
"97506017","105401","1","97506","4"
"97506018","105521","1","97506","4"
"97506019","105012","1","97506","4"
"97506020","105222","1","97506","4"
"97506021","105042","1","97506","4"
"97506022","105102","1","97506","4"
"97506023","105072","1","97506","4"
"97506024","105162","1","97506","4"
"97506025","105192","1","97506","4"
"97506026","105132","1","97506","4"
"97506027","105252","1","97506","4"
"97506028","105552","1","97506","4"
"97506029","105612","1","97506","4"
"97506030","105582","1","97506","4"
"97506031","105522","1","97506","4"
"97506032","105431","1","97506","4"
"97506033","105282","1","97506","4"
"97506034","105372","1","97506","4"
"97506035","105342","1","97506","4"
"97506036","105312","1","97506","4"
"97506037","105043","1","97506","4"
"97506038","105073","1","97506","4"
"97506039","105133","1","97506","4"
"97506040","105013","1","97506","4"
"97506041","105223","1","97506","4"
"97506042","105193","1","97506","4"
"97506043","105103","1","97506","4"
"97506044","105253","1","97506","4"
"97506045","105163","1","97506","4"
"97506046","105553","1","97506","4"
"97506047","105583","1","97506","4"
"97506048","105613","1","97506","4"
"97506049","105283","1","97506","4"
"97506050","105491","1","97506","4"
"97506051","105373","1","97506","4"
"97506052","105313","1","97506","4"
"97506053","105343","1","97506","4"
"97506054","105462","1","97506","4"
"97506055","105044","1","97506","4"
"97506056","105254","1","97506","4"
"97506057","105104","1","97506","4"
"97506058","105224","1","97506","4"
"97506059","105194","1","97506","4"
"97506060","105074","1","97506","4"
"97506061","105134","1","97506","4"
"97506062","105164","1","97506","4"
"97506063","105014","1","97506","4"
"97506064","105614","1","97506","4"
"97506065","105584","1","97506","4"
"97506066","105554","1","97506","4"
"97506067","105314","1","97506","4"
"97506068","105523","1","97506","4"
"97506069","105374","1","97506","4"
"97506070","105344","1","97506","4"
"97506071","105432","1","97506","4"
"97506072","105284","1","97506","4"
"97507001","105015","1","97507","4"
"97507002","105045","1","97507","4"
"97507003","105075","1","97507","4"
"97507004","105105","1","97507","4"
"97507005","105135","1","97507","4"
"97507006","105165","1","97507","4"
"97507007","105195","1","97507","4"
"97507008","105225","1","97507","4"
"97507009","105255","1","97507","4"
"97507010","105555","1","97507","4"
"97507011","105585","1","97507","4"
"97507012","105615","1","97507","4"
"97507013","105285","1","97507","4"
"97507014","105315","1","97507","4"
"97507015","105345","1","97507","4"
"97507016","105375","1","97507","4"
"97507017","105463","1","97507","4"
"97507018","105402","1","97507","4"
"97507019","105016","1","97507","4"
"97507020","105046","1","97507","4"
"97507021","105076","1","97507","4"
"97507022","105106","1","97507","4"
"97507023","105136","1","97507","4"
"97507024","105166","1","97507","4"
"97507025","105196","1","97507","4"
"97507026","105226","1","97507","4"
"97507027","105256","1","97507","4"
"97507028","105556","1","97507","4"
"97507029","105586","1","97507","4"
"97507030","105616","1","97507","4"
"97507031","105286","1","97507","4"
"97507032","105316","1","97507","4"
"97507033","105346","1","97507","4"
"97507034","105376","1","97507","4"
"97507035","105433","1","97507","4"
"97507036","105524","1","97507","4"
"97507037","105017","1","97507","4"
"97507038","105047","1","97507","4"
"97507039","105077","1","97507","4"
"97507040","105107","1","97507","4"
"97507041","105137","1","97507","4"
"97507042","105167","1","97507","4"
"97507043","105197","1","97507","4"
"97507044","105227","1","97507","4"
"97507045","105257","1","97507","4"
"97507046","105557","1","97507","4"
"97507047","105587","1","97507","4"
"97507048","105617","1","97507","4"
"97507049","105287","1","97507","4"
"97507050","105317","1","97507","4"
"97507051","105347","1","97507","4"
"97507052","105377","1","97507","4"
"97507053","105464","1","97507","4"
"97507054","105403","1","97507","4"
"97508001","106011","1","97508","4"
"97508002","106041","1","97508","4"
"97508003","106071","1","97508","4"
"97508004","106101","1","97508","4"
"97508005","106131","1","97508","4"
"97508006","106161","1","97508","4"
"97508007","106191","1","97508","4"
"97508008","106221","1","97508","4"
"97508009","106251","1","97508","4"
"97508010","106551","1","97508","4"
"97508011","106581","1","97508","4"
"97508012","106611","1","97508","4"
"97508013","106281","1","97508","4"
"97508014","106311","1","97508","4"
"97508015","106341","1","97508","4"
"97508016","106371","1","97508","4"
"97508017","106401","1","97508","4"
"97508018","106461","1","97508","4"
"97509001","93001","500","97509","6"
"97509002","94002","3000000","97509","12"
"97509003","90005","30","97509","2"
"97509004","25001","10","97509","2"
"97509005","140001","10","97509","4"
"97509006","23001","400","97509","2"
"97509007","20004","100","97509","2"
"97510001","93001","800","97510","6"
"97510002","94002","3000000","97510","12"
"97510003","90005","60","97510","2"
"97510004","25001","15","97510","2"
"97510005","140001","20","97510","4"
"97510006","23001","300","97510","2"
"97510007","20004","80","97510","2"
"97511001","105011","1","97511","4"
"97511002","105161","1","97511","4"
"97511003","105221","1","97511","4"
"97511004","105071","1","97511","4"
"97511005","105041","1","97511","4"
"97511006","105131","1","97511","4"
"97511007","105191","1","97511","4"
"97511008","105101","1","97511","4"
