c6993bbd008f5db1fe11d0c76c3e15fc4b575d75ba7b14905d7b77ee109975ef,1b7e07020e2ffc5998b90d10dccc703de31342fb4b1bd869b14f03ce2cf9e8d2,cfca4981b11697c776fa0040cd512fb2b83f79a23bd7787a0671fc386162687b,176e6c04071ba507a33f24a79e043c60b8bce289a3df9f310bf72ef04766ff14,f6c8d8d6da52612d762aa95dfaabf4dda823bdd1bf799e2b1aa1d5ba6e4d1efd,ca80dac688c4a663e34527c4d1c274bf593938d4cf8bc21116120bb130275b3e,224d9a88f49312cddfd177872af36a811370567f1f3ce0da8e4e5ed64b6d0cbf,842206f2eee53fb44d0b1dc6408c98f865f9f5d4505d777037885960451d71cf,ddad479bd8e65ca82549d62346cda6c38f394a0d4a8b7e14e9c4316e31a7daa9,27c9c56ebfa15f444d8ccad2bb2a6bf4717e592a801fdf5277510276366dce56,bc9cf5bce345e68984048189b913330ae7dd7180c5c7e81c7ff3ce925ce92764,2df8bcad191e0bf3ae61abe36639cbe174ac714d08bb818811a4beea2b0f10c1
"1","0.8","100980101","0","0","4","0","0","0","1009801","0","1"
"0","0","100980102","0","0","2","vo_lsv","0","0","1009801","vo_lsv_0101","2"
"0","0","100980103","300","2","1","0","0","1","1009801","0","3"
"1","2.3","100980104","0","0","4","0","0","0","1009801","0","4"
"0","0","100980105","280","2","1","0","0","2","1009801","0","5"
"1","3","100980106","0","0","4","0","0","0","1009801","0","6"
"0","0","100980107","0","0","2","vo_lsv","0","0","1009801","vo_lsv_0102","7"
"0","0","100980108","300","2.05","1","0","0","3","1009801","0","8"
"1","2.05","100980109","0","0","4","0","0","0","1009801","0","9"
"0","0","100980110","327","1.8","1","0","0","4","1009801","0","10"
"1","2.8","100980111","0","0","4","0","0","0","1009801","0","11"
"0","0","100980112","0","0","2","vo_lsv","0","0","1009801","vo_lsv_0103","12"
"0","0","100980113","300","2.3","1","0","0","5","1009801","0","13"
"1","2.5","100980114","0","0","4","0","0","0","1009801","0","14"
"0","0","100980115","275","1.9","1","0","0","6","1009801","0","15"
"1","2.9","100980116","0","0","4","0","0","0","1009801","0","16"
"0","0","100980117","0","0","2","vo_lsv","0","0","1009801","vo_lsv_0104","17"
"0","0","100980118","300","2.7","1","0","0","7","1009801","0","18"
"1","2.9","100980119","0","0","4","0","0","0","1009801","0","19"
"0","0","100980120","310","2.3","1","0","0","8","1009801","0","20"
"1","2.3","100980121","0","0","4","0","0","0","1009801","0","21"
"0","0","100980122","250","1.8","1","0","0","9","1009801","0","22"
"1","2.8","100980123","0","0","4","0","0","0","1009801","0","23"
"0","0","100980124","0","0","2","vo_lsv","0","0","1009801","vo_lsv_0105","24"
"0","0","100980125","320","2.5","1","0","0","10","1009801","0","25"
"1","2.5","100980126","0","0","4","0","0","0","1009801","0","26"
"0","0","100980127","165","0.7","1","0","15","11","1009801","0","27"
"1","0.8","100980201","0","0","4","0","0","0","1009802","0","1"
"0","0","100980202","0","0","2","vo_lsv","0","0","1009802","vo_lsv_0201","2"
"0","0","100980203","300","1.51","1","0","0","1","1009802","0","3"
"1","1.51","100980204","0","0","4","0","0","0","1009802","0","4"
"0","0","100980205","300","1.5","1","0","300","1","1009802","0","5"
"1","2.5","100980206","0","0","4","0","0","0","1009802","0","6"
"0","0","100980207","0","0","2","vo_lsv","0","0","1009802","vo_lsv_0202","7"
"0","0","100980208","300","1.8","1","0","0","2","1009802","0","8"
"1","1.8","100980209","0","0","4","0","0","0","1009802","0","9"
"0","0","100980210","300","1.1","1","0","0","3","1009802","0","10"
"1","2.1","100980211","0","0","4","0","0","0","1009802","0","11"
"0","0","100980212","0","0","2","vo_lsv","0","0","1009802","vo_lsv_0203","12"
"0","0","100980213","300","1.95","1","0","0","4","1009802","0","13"
"1","1.95","100980214","0","0","4","0","0","0","1009802","0","14"
"0","0","100980215","310","2.05","1","0","0","5","1009802","0","15"
"1","2.05","100980216","0","0","4","0","0","0","1009802","0","16"
"0","0","100980217","310","0.8","1","0","310","5","1009802","0","17"
"1","1.8","100980218","0","0","4","0","0","0","1009802","0","18"
"0","0","100980219","0","0","2","vo_lsv","0","0","1009802","vo_lsv_0204","19"
"0","0","100980220","300","1.7","1","0","0","6","1009802","0","20"
"1","2.1","100980221","0","0","4","0","0","0","1009802","0","21"
"0","0","100980222","327","2.3","1","0","0","7","1009802","0","22"
"1","3.3","100980223","0","0","4","0","0","0","1009802","0","23"
"0","0","100980224","0","0","2","vo_lsv","0","0","1009802","vo_lsv_0205","24"
"0","0","100980225","300","1.83","1","0","0","8","1009802","0","25"
"1","2.4","100980226","0","0","4","0","0","0","1009802","0","26"
"0","0","100980227","300","1.7","1","0","0","9","1009802","0","27"
"1","2.1","100980228","0","0","4","0","0","0","1009802","0","28"
"0","0","100980229","210","1.1","1","0","0","10","1009802","0","29"
"1","0.5","100980230","0","0","4","0","0","0","1009802","0","30"
"1","0.8","100980301","0","0","4","0","0","0","1009803","0","1"
"0","0","100980302","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0301","2"
"0","0","100980303","141","1.87","1","0","0","1","1009803","0","3"
"1","2","100980304","0","0","4","0","0","0","1009803","0","4"
"0","0","100980305","300","0.561","1","0","141","1","1009803","0","5"
"1","1.561","100980306","0","0","4","0","0","0","1009803","0","6"
"0","0","100980307","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0302","7"
"0","0","100980308","320","1.3","1","0","0","2","1009803","0","8"
"1","1.3","100980309","0","0","4","0","0","0","1009803","0","9"
"0","0","100980310","227","1.2","1","0","0","3","1009803","0","10"
"1","2.2","100980311","0","0","4","0","0","0","1009803","0","11"
"0","0","100980312","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0303","12"
"0","0","100980313","280","2.1","1","0","0","4","1009803","0","13"
"1","2.1","100980314","0","0","4","0","0","0","1009803","0","14"
"0","0","100980315","280","1.2","1","0","0","5","1009803","0","15"
"1","2.2","100980316","0","0","4","0","0","0","1009803","0","16"
"0","0","100980317","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0304","17"
"0","0","100980318","350","1.305","1","0","0","6","1009803","0","18"
"1","1.305","100980319","0","0","4","0","0","0","1009803","0","19"
"0","0","100980320","350","2.181","1","0","350","6","1009803","0","20"
"1","2.781","100980321","0","0","4","0","0","0","1009803","0","21"
"0","0","100980322","350","1.32","1","0","0","7","1009803","0","22"
"1","2.32","100980323","0","0","4","0","0","0","1009803","0","23"
"0","0","100980324","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0305","24"
"0","0","100980325","350","2.453","1","0","0","8","1009803","0","25"
"1","2.453","100980326","0","0","4","0","0","0","1009803","0","26"
"0","0","100980327","350","1.547","1","0","0","9","1009803","0","27"
"1","2.547","100980328","0","0","4","0","0","0","1009803","0","28"
"0","0","100980329","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0306","29"
"0","0","100980330","350","1.95","1","0","0","10","1009803","0","30"
"1","2.95","100980331","0","0","4","0","0","0","1009803","0","31"
"0","0","100980332","0","0","2","vo_lsv","0","0","1009803","vo_lsv_0307","32"
"0","0","100980333","240","1.39","1","0","0","11","1009803","0","33"
"1","0.8","100980401","0","0","4","0","0","0","1009804","0","1"
"0","0","100980402","0","0","2","vo_lsv","0","0","1009804","vo_lsv_0401","2"
"0","0","100980403","300","1.2","1","0","0","1","1009804","0","3"
"1","1.2","100980404","0","0","4","0","0","0","1009804","0","4"
"0","0","100980405","300","1.8","1","0","0","2","1009804","0","5"
"1","2.8","100980406","0","0","4","0","0","0","1009804","0","6"
"0","0","100980407","0","0","2","vo_lsv","0","0","1009804","vo_lsv_0402","7"
"0","0","100980408","355","2.35","1","0","0","3","1009804","0","8"
"1","3.35","100980409","0","0","4","0","0","0","1009804","0","9"
"0","0","100980410","0","0","2","vo_lsv","0","0","1009804","vo_lsv_0403","10"
"0","0","100980411","300","1.669","1","0","0","4","1009804","0","11"
"1","2.1","100980412","0","0","4","0","0","0","1009804","0","12"
"0","0","100980413","230","1.7","1","0","0","5","1009804","0","13"
"1","2","100980414","0","0","4","0","0","0","1009804","0","14"
"0","0","100980415","230","1.35","1","0","0","6","1009804","0","15"
"1","2.85","100980416","0","0","4","0","0","0","1009804","0","16"
"0","0","100980417","0","0","2","vo_lsv","0","0","1009804","vo_lsv_0404","17"
"0","0","100980418","327","1.51","1","0","0","7","1009804","0","18"
"1","1.61","100980419","0","0","4","0","0","0","1009804","0","19"
"0","0","100980420","327","1.29","1","0","327","7","1009804","0","20"
"1","1.949","100980421","0","0","4","0","0","0","1009804","0","21"
"0","0","100980422","300","1.925","1","0","0","8","1009804","0","22"
"1","0.8","100980501","0","0","4","0","0","0","1009805","0","1"
"0","0","100980502","0","0","2","vo_lsv","0","0","1009805","vo_lsv_0501","2"
"0","0","100980503","300","2.115","1","0","0","1","1009805","0","3"
"1","3.115","100980504","0","0","4","0","0","0","1009805","0","4"
"0","0","100980505","0","0","2","vo_lsv","0","0","1009805","vo_lsv_0502","5"
"0","0","100980506","310","1.743","1","0","0","2","1009805","0","6"
"1","2.743","100980507","0","0","4","0","0","0","1009805","0","7"
"0","0","100980508","0","0","2","vo_lsv","0","0","1009805","vo_lsv_0503","8"
"0","0","100980509","300","1.86","1","0","0","3","1009805","0","9"
"1","2.26","100980510","0","0","4","0","0","0","1009805","0","10"
"0","0","100980511","350","1.667","1","0","0","4","1009805","0","11"
"1","2.324","100980512","0","0","4","0","0","0","1009805","0","12"
"0","0","100980513","310","2.168","1","0","0","5","1009805","0","13"
"1","3.168","100980514","0","0","4","0","0","0","1009805","0","14"
"0","0","100980515","0","0","2","vo_lsv","0","0","1009805","vo_lsv_0504","15"
"0","0","100980516","300","1.752","1","0","0","6","1009805","0","16"
"1","2.276","100980517","0","0","4","0","0","0","1009805","0","17"
"0","0","100980518","300","1.43","1","0","0","7","1009805","0","18"
"1","1.43","100980519","0","0","4","0","0","0","1009805","0","19"
"0","0","100980520","300","0.749","1","0","300","7","1009805","0","20"
"1","1.749","100980521","0","0","4","0","0","0","1009805","0","21"
"0","0","100980522","0","0","2","vo_lsv","0","0","1009805","vo_lsv_0505","22"
"0","0","100980523","300","0.65","1","0","0","8","1009805","0","23"
"1","0.65","100980524","0","0","4","0","0","0","1009805","0","24"
"0","0","100980525","300","1.753","1","0","300","8","1009805","0","25"
"1","1.753","100980526","0","0","4","0","0","0","1009805","0","26"
"0","0","100980527","300","0.929","1","0","0","9","1009805","0","27"
