61d39f4b8eb6c61f861755a642b0ac8cdd6585ee5763de0c477954e08de1a910,5f1a7b793edc00e4593c359cda2499bf9427da6817500e699c751c4c7dd81001,ac9f289bf26a52b0351336d2162c103ec3ef114053936e376020ff8ba81f0690,d3ce7e0e08764e5849e418a4e624de5a8508d70cb3a2a3823970ee1678a2b4cd,f799ac83b432df0e57dc1a0b706d61fe2b82ba8869c9a8e42d41642650246bfc,1fcfd4042f8c7380fd5ceb0d383bedc40dcb63668ab9cd51aeeb40d16499cb8e,9da16300bb92ce7098933c82659202058f9d1f544a4d4f656e1727be304f2c6a,1f8815abddebaea0833ec15f678418789112960d6a1c54b2a98776021bf0e867,432f841c4bd08bbce5cab9b70839d0935adef4139a1a744dd25a87507f51d275
"5000","0","0","20000","0","0","30000","50","100111"
"5000","0","0","20000","0","0","30000","50","100112"
"5000","0","0","20000","0","0","30000","50","100113"
"12500","0","0","30000","0","0","45000","125","100121"
"12500","0","0","30000","0","0","45000","125","100122"
"12500","0","0","30000","0","0","45000","125","100123"
"20000","0","0","40000","0","0","60000","200","100131"
"20000","0","0","40000","0","0","60000","200","100132"
"20000","0","0","40000","0","0","60000","200","100133"
"5000","0","0","20000","0","0","30000","50","100211"
"5000","0","0","20000","0","0","30000","50","100212"
"5000","0","0","20000","0","0","30000","50","100213"
"12500","0","0","30000","0","0","45000","125","100221"
"12500","0","0","30000","0","0","45000","125","100222"
"12500","0","0","30000","0","0","45000","125","100223"
"20000","0","0","40000","0","0","60000","200","100231"
"20000","0","0","40000","0","0","60000","200","100232"
"20000","0","0","40000","0","0","60000","200","100233"
"5000","0","0","20000","0","0","30000","50","100311"
"5000","0","0","20000","0","0","30000","50","100312"
"5000","0","0","20000","0","0","30000","50","100313"
"12500","0","0","30000","0","0","45000","125","100321"
"12500","0","0","30000","0","0","45000","125","100322"
"12500","0","0","30000","0","0","45000","125","100323"
"20000","0","0","40000","0","0","60000","200","100331"
"20000","0","0","40000","0","0","60000","200","100332"
"20000","0","0","40000","0","0","60000","200","100333"
"5000","0","0","20000","0","0","30000","50","100411"
"5000","0","0","20000","0","0","30000","50","100412"
"5000","0","0","20000","0","0","30000","50","100413"
"12500","0","0","30000","0","0","45000","125","100421"
"12500","0","0","30000","0","0","45000","125","100422"
"12500","0","0","30000","0","0","45000","125","100423"
"20000","0","0","40000","0","0","60000","200","100431"
"20000","0","0","40000","0","0","60000","200","100432"
"20000","0","0","40000","0","0","60000","200","100433"
"5000","0","0","20000","0","0","30000","50","100511"
"5000","0","0","20000","0","0","30000","50","100512"
"5000","0","0","20000","0","0","30000","50","100513"
"12500","0","0","30000","0","0","45000","125","100521"
"12500","0","0","30000","0","0","45000","125","100522"
"12500","0","0","30000","0","0","45000","125","100523"
"20000","0","0","40000","0","0","60000","200","100531"
"20000","0","0","40000","0","0","60000","200","100532"
"20000","0","0","40000","0","0","60000","200","100533"
"5000","0","0","20000","0","0","30000","50","100611"
"5000","0","0","20000","0","0","30000","50","100612"
"5000","0","0","20000","0","0","30000","50","100613"
"12500","0","0","30000","0","0","45000","125","100621"
"12500","0","0","30000","0","0","45000","125","100622"
"12500","0","0","30000","0","0","45000","125","100623"
"20000","0","0","40000","0","0","60000","200","100631"
"20000","0","0","40000","0","0","60000","200","100632"
"20000","0","0","40000","0","0","60000","200","100633"
"5000","0","0","20000","0","0","30000","50","100711"
"5000","0","0","20000","0","0","30000","50","100712"
"5000","0","0","20000","0","0","30000","50","100713"
"12500","0","0","30000","0","0","45000","125","100721"
"12500","0","0","30000","0","0","45000","125","100722"
"12500","0","0","30000","0","0","45000","125","100723"
"20000","0","0","40000","0","0","60000","200","100731"
"20000","0","0","40000","0","0","60000","200","100732"
"20000","0","0","40000","0","0","60000","200","100733"
"5000","0","0","20000","0","0","30000","50","100811"
"5000","0","0","20000","0","0","30000","50","100812"
"5000","0","0","20000","0","0","30000","50","100813"
"12500","0","0","30000","0","0","45000","125","100821"
"12500","0","0","30000","0","0","45000","125","100822"
"12500","0","0","30000","0","0","45000","125","100823"
"20000","0","0","40000","0","0","60000","200","100831"
"20000","0","0","40000","0","0","60000","200","100832"
"20000","0","0","40000","0","0","60000","200","100833"
"5000","0","0","20000","0","0","30000","50","100911"
"5000","0","0","20000","0","0","30000","50","100912"
"5000","0","0","20000","0","0","30000","50","100913"
"12500","0","0","30000","0","0","45000","125","100921"
"12500","0","0","30000","0","0","45000","125","100922"
"12500","0","0","30000","0","0","45000","125","100923"
"20000","0","0","40000","0","0","60000","200","100931"
"20000","0","0","40000","0","0","60000","200","100932"
"20000","0","0","40000","0","0","60000","200","100933"
