f142a9b88cb66bef8e08e3bdc425c96489495e237a2a70e63262b89674a9b053,800e9d05514074e6df13402bef8346823e8623711879585373fa27736d6402bd,3e063e272af1c86905bc24587b04f906a29952f53e9e3c5faa50b54242b7122f,c089da5f07514100c8673943e1563aacf44cc93ca4ed058545e207ff99c7ed6a,e61fc97a788687a3292e3f42c1c9f92bf7e394ccf4ae404f50b454dc994310fe
"追加吉塔的闇影。","追加1隻闇影","add_shadow","74001102","1"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影","add_shadow","74001103","2"
"望的闇影變成★6。","闇影★6化","star6_shadow","74001104","3"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影","add_shadow","74001104","4"
"望、吉塔、鏡華的闇影\n變成★6。","闇影★6化","star6_shadow","74001105","5"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影","add_shadow","74001105","6"
"追加優花梨的闇影。","追加1隻闇影","add_shadow","74001202","7"
"追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影","add_shadow","74001203","8"
"優花梨與優衣的闇影變成★6。","闇影★6化","star6_shadow","74001204","9"
"追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影","add_shadow","74001204","10"
"宮子、優花梨、真步、優衣的闇影變成★6。","闇影★6化","star6_shadow","74001205","11"
"追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影","add_shadow","74001205","12"
"戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","Boss魔法傷害降低","boss_magic_cut","74001301","13"
"戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","Boss魔法傷害降低","boss_magic_cut","74001302","14"
"追加靜流（夏日）的闇影。","追加1隻闇影","add_shadow","74001302","15"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","energy_recover","74001303","16"
"戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","Boss魔法傷害降低","boss_magic_cut","74001303","17"
"追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影","add_shadow","74001303","18"
"Boss怪物的必殺技會受到強化。","Boss UB強化","boss_ub_enhance","74001304","19"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","energy_recover","74001304","20"
"戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","Boss魔法傷害降低","boss_magic_cut","74001304","21"
"追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影","add_shadow","74001304","22"
"戰鬥時間變成60秒。","戰鬥時間限制","limit_time","74001305","23"
