edfaf401c13e3683948e363f3b08047ac3fccb23be9a9942e5be52fdc6a48e89,aa1e29c5836bf94a9afe0309b06ddb86b0c99fc0e04126e43e550e84b57318b1,af7956aa47efd2df7740ece210fb5479072de98e98feb8bcb987c702a03af604,c3b1a8e964d9508a7b83c97ac934cedc4a441c33964a40282d9a32cc5b9762b6,8deb70d37438cc142c6abe7ce9f42523ab00a66468131b374e9cdfcc80749d08,b797cc44940533481512fb44247a38ba44d6593c03dbbd88dca343547d51879b,6583e8873fa46486a15dd94a2faeb1eecfd1825d1789743478387edbc2235f98,4af03201e488f886b048ba07c16261766f2b7cf678197e3f8c122f5862950d13,b602802c7dcd5c94f4d612c3c5a33df3e03070da6ff83c3c792fa5b01ccc863d
"1","1","0","10","30000","90043","12000","90001","10000"
"2","2","0","20","30000","90047","24000","90002","10000"
"3","3","0","20","30000","90047","24000","90002","10000"
"4","4","0","20","30000","90047","24000","90002","10000"
"5","5","0","20","30000","90047","24000","90002","10000"
"6","6","0","20","30000","90047","24000","90002","10000"
"7","7","0","20","30000","90047","24000","90002","10000"
"8","8","0","20","30000","90047","24000","90002","10000"
"9","9","0","20","30000","90047","24000","90002","10000"
"10","10","0","20","30000","90047","24000","90002","10000"
"11","11","90011","40","30000","90051","48000","90003","10000"
"12","12","90011","40","30000","90051","48000","90003","10000"
"13","13","90011","40","30000","90051","48000","90003","10000"
"14","14","90011","40","30000","90051","48000","90003","10000"
"15","15","90011","40","30000","90051","48000","90003","10000"
"16","16","90011","40","30000","90051","48000","90003","10000"
"17","17","90011","40","30000","90051","48000","90003","10000"
"18","18","90011","40","30000","90051","48000","90003","10000"
"19","19","90011","40","30000","90051","48000","90003","10000"
"20","20","90011","40","30000","90051","48000","90003","10000"
"21","21","90015","60","30000","90055","72000","90004","10000"
"22","22","90015","60","30000","90055","72000","90004","10000"
"23","23","90015","60","30000","90055","72000","90004","10000"
"24","24","90015","60","30000","90055","72000","90004","10000"
"25","25","90015","60","30000","90055","72000","90004","10000"
"26","26","90015","60","30000","90055","72000","90004","10000"
"27","27","90015","60","30000","90055","72000","90004","10000"
"28","28","90015","60","30000","90055","72000","90004","10000"
"29","29","90015","60","30000","90055","72000","90004","10000"
"30","30","90015","60","30000","90055","72000","90004","10000"
"31","31","90015","80","30000","90059","96000","90005","10000"
"32","32","90015","80","30000","90059","96000","90005","10000"
"33","33","90015","80","30000","90059","96000","90005","10000"
"34","34","90015","80","30000","90059","96000","90005","10000"
"35","35","90015","80","30000","90059","96000","90005","10000"
"36","36","90015","80","30000","90059","96000","90005","10000"
"37","37","90015","80","30000","90059","96000","90005","10000"
"38","38","90015","80","30000","90059","96000","90005","10000"
"39","39","90015","80","30000","90059","96000","90005","10000"
"40","40","90015","80","30000","90059","96000","90005","10000"
"41","41","90017","120","30000","90063","144000","90005","10000"
"42","42","90017","120","30000","90063","144000","90005","10000"
"43","43","90017","120","30000","90063","144000","90005","10000"
"44","44","90017","120","30000","90063","144000","90005","10000"
"45","45","90017","120","30000","90063","144000","90005","10000"
"46","46","90017","120","30000","90063","144000","90005","10000"
"47","47","90017","120","30000","90063","144000","90005","10000"
"48","48","90017","120","30000","90063","144000","90005","10000"
"49","49","90017","120","30000","90063","144000","90005","10000"
"50","50","90017","120","30000","90063","144000","90005","10000"
"51","51","90019","150","30000","90067","180000","90006","10000"
"52","52","90019","150","30000","90067","180000","90006","10000"
"53","53","90019","150","30000","90067","180000","90006","10000"
"54","54","90019","150","30000","90067","180000","90006","10000"
"55","55","90019","150","30000","90067","180000","90006","10000"
"56","56","90019","150","30000","90067","180000","90006","10000"
"57","57","90019","150","30000","90067","180000","90006","10000"
"58","58","90019","150","30000","90067","180000","90006","10000"
"59","59","90019","150","30000","90067","180000","90006","10000"
"60","60","90019","150","30000","90067","180000","90006","10000"
"61","61","90021","180","30000","90071","216000","90007","10000"
"62","62","90021","180","30000","90071","216000","90007","10000"
"63","63","90021","180","30000","90071","216000","90007","10000"
"64","64","90021","180","30000","90071","216000","90007","10000"
"65","65","90021","180","30000","90071","216000","90007","10000"
"66","66","90021","180","30000","90071","216000","90007","10000"
"67","67","90021","180","30000","90071","216000","90007","10000"
"68","68","90021","180","30000","90071","216000","90007","10000"
"69","69","90021","180","30000","90071","216000","90007","10000"
"70","70","90021","180","30000","90071","216000","90007","10000"
