6d76bc817d97a9d964c417e93f9736102f2e1e49a1b76e9755c08da5133099fe,da98ee66bee6136119f29814a475311a3865c4e699b7044bf5231688774eed36,e7f1d8ed0149ba5b2b2b18950c0dfc27229b4b7279a48d438e0b83f67ea434d4,48c3514230976dd077718789216d7b350c229ef43b89b71faa138f9fdad53e41,2fb9ab43294971b6648334ce72d0c71726f5edbb552dd7ced642bd7043fc99fd,0934fa2cfcafae6972984c22fdf8e50f619bbb1052e179c2cde04a97b655d45c,4f47374bba7d053451d8dc91242fc82a7dc2bef14d2df3076d2e82c99ead808b,c7c684164b5c8e781353bdaac5f6fdd3e6d212bad3df326d8463c4d3d66b95c4,d7d95ddb8a632a038cb824a9bc997a4f54e7cc9eb48c1a08f77c09e7d041c034,3be5c1dead5f1580ec2d88288eb2d26e7bcbde8589391940adbe205f87f3892d,a15856857ba4d3d394e7038e2f55898e7e94752b4355125a113fd74750b36b50,8a6cf5fe66eb3aa02ed0fefe4a05156287ddeb4c7758fd90b817ca3ba3e69d33
"2","TP提升250","1","0","3001","0","3001","3","0","3001","戰鬥開始時，我方的TP提升250。","-1"
"2","TP提升250","1","0","3002","0","3002","3","0","3002","戰鬥開始時，我方的TP提升250。","-1"
"2","TP提升250","1","0","3003","0","3003","3","0","3003","戰鬥開始時，我方的TP提升250。","-1"
"2","TP提升250","1","0","3004","0","3004","3","0","3004","戰鬥開始時，我方的TP提升250。","-1"
"2","TP提升1000","3","0","3006","0","3006","3","0","3006","戰鬥開始時，我方的TP提升1000。","-1"
"2","TP提升1000","3","0","3007","0","3007","3","0","3007","戰鬥開始時，我方的TP提升1000。","-1"
"3","提升物理攻擊90秒","1","9006503","3001","3500000000000","30011","3","0","30011","戰鬥開始90秒內，使我方的物理攻擊力提升。","25200"
"3","降低物理防禦90秒","1","9006504","3001","2400000000000","30012","3","0","30012","戰鬥開始90秒內，使敵人的物理防禦力下降","72000"
"3","每秒HP恢復90秒","1","9006506","3002","2400000000000","30021","3","0","30021","戰鬥開始90秒內，每秒恢復我方的HP","39600"
"3","每秒TP提升90秒","1","9006507","3002","1200000000000","30022","3","0","30022","戰鬥開始90秒內，每秒提升我方的TP","72000"
"3","無敵15秒","1","9006509","3003","2320000000000","30031","3","0","30031","戰鬥開始15秒內，我方進入無敵狀態","43200"
"3","降低魔法攻擊90秒","1","9006510","3003","1600000000000","30032","3","0","30032","戰鬥開始90秒內，使敵人的魔法攻擊力下降","72000"
"3","暈眩15秒","1","9006512","3004","3360000000000","30041","3","0","30041","戰鬥開始15秒內，敵人陷入暈眩狀態","32400"
"3","降低物理防禦90秒","1","9006513","3004","2400000000000","30042","3","0","30042","戰鬥開始90秒內，使敵人的物理防禦力下降","43200"
"3","提升魔法攻擊90秒","2","9006516","3005","10382000000000","30051","3","0","30051","戰鬥開始90秒內，使我方的魔法攻擊力提升","43200"
"3","每秒TP提升90秒","3","9006519","3006","7087500000000","30061","3","0","30061","戰鬥開始90秒內，每秒提升我方的TP","21600"
"3","降低魔法防禦90秒","3","9006520","3006","4050000000000","30062","3","0","30062","戰鬥開始90秒內，使敵人的魔法防禦力下降","43200"
"3","提升物理攻擊90秒","3","9006522","3007","8487500000000","30071","3","0","30071","戰鬥開始90秒內，使我方的物理攻擊力提升。","43200"
"3","無敵15秒","3","9006523","3007","2425000000000","30072","3","0","30072","戰鬥開始15秒內，我方進入無敵狀態","64800"
"1","降低物理攻擊90秒","1","0","3001","3880000000000","300101","3","36000","300101","戰鬥開始90秒內，使敵人的物理攻擊力下降","-1"
"1","降低物理攻擊90秒","1","0","3001","3720000000000","300102","3","36000","300102","戰鬥開始90秒內，使敵人的物理攻擊力下降","-1"
"1","降低物理防禦90秒","1","0","3001","3600000000000","300103","3","36000","300103","戰鬥開始90秒內，使敵人的物理防禦力下降","-1"
"1","降低物理攻擊90秒","1","0","3001","3480000000000","300104","3","36000","300104","戰鬥開始90秒內，使敵人的物理攻擊力下降","-1"
"1","降低物理防禦90秒","1","0","3001","3360000000000","300105","3","36000","300105","戰鬥開始90秒內，使敵人的物理防禦力下降","-1"
"1","降低魔法防禦90秒","1","0","3001","3080000000000","300106","3","36000","300106","戰鬥開始90秒內，使敵人的魔法防禦力下降","-1"
"1","降低物理防禦90秒","1","0","3001","2960000000000","300107","3","36000","300107","戰鬥開始90秒內，使敵人的物理防禦力下降","-1"
"1","降低魔法防禦90秒","1","0","3001","2840000000000","300108","3","36000","300108","戰鬥開始90秒內，使敵人的魔法防禦力下降","-1"
"1","每秒HP恢復90秒","1","0","3001","2680000000000","300109","3","36000","300109","戰鬥開始90秒內，每秒恢復我方的HP","-1"
"1","降低物理攻擊90秒","1","0","3001","2560000000000","300110","3","36000","300110","戰鬥開始90秒內，使敵人的物理攻擊力下降","-1"
"1","降低物理攻擊90秒","1","0","3001","2400000000000","300111","3","36000","300111","戰鬥開始90秒內，使敵人的物理攻擊力下降","-1"
"1","降低物理防禦90秒","1","0","3001","2280000000000","300112","3","36000","300112","戰鬥開始90秒內，使敵人的物理防禦力下降","-1"
"1","降低物理攻擊90秒","1","0","3001","2160000000000","300113","3","36000","300113","戰鬥開始90秒內，使敵人的物理攻擊力下降","-1"
"1","降低物理防禦90秒","1","0","3001","1880000000000","300114","3","36000","300114","戰鬥開始90秒內，使敵人的物理防禦力下降","-1"
"1","降低魔法防禦90秒","1","0","3001","1760000000000","300115","3","36000","300115","戰鬥開始90秒內，使敵人的魔法防禦力下降","-1"
