c0870a87600d26fea0c59bd3e35c8d47b0a9a4b4400405d0f581f1a4fe312cc0,0af16be0c7449cdd79293816ba5ffbe902ffa04e1dbcd46d5635fa8086be3c34,b6023c5924bd2317a4a389ae2445f6e876a2a1b27ecb684ddb464998033408ef,6c6023ef5a610726b684763589d1f7c17215b6ee9652cdc7577b8932eb3b0d96,b4099b988238666d8eec7e8a328c43a554852317819d93bfabdfd2d01025a07a,d16040452d41b984f8777a2f6fc826e6832db5fcf0dde112233dda84cc9f2d1d,30bbbbb11790220d5ccfbd15733306abc62397a7135a13d95970d1f67366dc11,d82c053fbff759d8a977b6c591a9d1aa5d7bd0187d52ac1d9362bea09eac3135,cb2be28e6edd2d73c79502236d97b142d60419709a2f5625fbe078a335b0f9b0,2b11cd6692320d3b1803d59f7a25c42dbd857554562b47a89586ab1ff420bdd3,a4a179d780197b27a9d6e5b22920a5e7836332231961ea5786b35111e9412654
"10","25015","31","8","8","1","2","91002","2","285001001","25021"
"10","25015","31","8","8","2","2","91002","2","285001002","25021"
"10","25015","32","8","8","3","2","91002","2","285001003","25021"
"10","25015","32","8","8","4","2","91002","2","285001004","25021"
"10","25015","33","8","8","5","2","91002","2","285001005","25021"
"10","25015","33","8","9","6","2","91002","2","285001006","25021"
"10","25015","34","8","9","7","2","91002","2","285001007","25021"
"10","25015","35","8","9","8","2","91002","2","285001008","25021"
"10","25015","35","8","9","9","2","91002","2","285001009","25021"
"30","25015","37","8","10","10","2","91002","2","285001010","25021"
"10","25015","41","8","10","11","2","91002","2","285001011","25021"
"10","25015","43","8","11","12","2","91002","2","285001012","25021"
"10","25015","46","8","11","13","2","91002","2","285001013","25021"
"10","25015","48","8","12","14","2","91002","2","285001014","25021"
"10","25015","50","8","12","15","2","91002","2","285001015","25021"
"10","25015","53","8","13","16","2","91002","2","285001016","25021"
"10","25015","55","8","14","17","2","91002","2","285001017","25021"
"10","25015","58","8","14","18","2","91002","2","285001018","25021"
"10","25015","60","8","15","19","2","91002","2","285001019","25021"
"30","25015","62","8","15","20","2","91002","2","285001020","25021"
"10","25015","68","8","16","21","2","91002","2","285001021","25021"
"10","25015","70","8","16","22","2","91002","2","285001022","25021"
"10","25015","72","8","16","23","2","91002","2","285001023","25021"
"10","25015","75","8","17","24","2","91002","2","285001024","25021"
"10","25015","77","8","18","25","2","91002","2","285001025","25021"
"10","25015","79","8","18","26","2","91002","2","285001026","25021"
"10","25015","82","8","19","27","2","91002","2","285001027","25021"
"10","25015","84","8","19","28","2","91002","2","285001028","25021"
"10","25015","86","8","19","29","2","91002","2","285001029","25021"
"30","25015","89","8","20","30","2","91002","2","285001030","25021"
"10","25015","94","8","20","31","2","91002","2","285001031","25021"
"10","25015","96","8","21","32","2","91002","2","285001032","25021"
"10","25015","99","8","21","33","2","91002","2","285001033","25021"
"10","25015","101","8","22","34","2","91002","2","285001034","25021"
"10","25015","103","8","22","35","2","91002","2","285001035","25021"
"10","25015","106","8","23","36","2","91002","2","285001036","25021"
"10","25015","108","8","23","37","2","91002","2","285001037","25021"
"10","25015","111","8","24","38","2","91002","2","285001038","25021"
"10","25015","113","8","25","39","2","91002","2","285001039","25021"
"30","25015","115","8","25","40","2","91002","2","285001040","25021"
"10","25015","121","8","26","41","2","91002","2","285001041","25021"
"10","25015","123","8","27","42","2","91002","2","285001042","25021"
"10","25015","125","8","28","43","2","91002","2","285001043","25021"
"10","25015","128","8","28","44","2","91002","2","285001044","25021"
"10","25015","130","8","29","45","2","91002","2","285001045","25021"
"10","25015","132","8","30","46","2","91002","2","285001046","25021"
"10","25015","135","8","30","47","2","91002","2","285001047","25021"
"10","25015","137","8","31","48","2","91002","2","285001048","25021"
"10","25015","139","8","31","49","2","91002","2","285001049","25021"
"30","25015","142","8","31","50","2","91002","2","285001050","25021"
"10","25015","144","8","32","51","2","91002","2","285001051","25021"
"10","25015","146","8","32","52","2","91002","2","285001052","25021"
"10","25015","149","8","32","53","2","91002","2","285001053","25021"
"10","25015","152","8","33","54","2","91002","2","285001054","25021"
"10","25015","155","8","33","55","2","91002","2","285001055","25021"
"10","25015","157","8","33","56","2","91002","2","285001056","25021"
"10","25015","160","8","34","57","2","91002","2","285001057","25021"
"10","25015","163","8","34","58","2","91002","2","285001058","25021"
"10","25015","166","8","34","59","2","91002","2","285001059","25021"
"30","25015","169","8","35","60","2","91002","2","285001060","25021"
"10","25015","171","8","35","61","2","91002","2","285001061","25021"
"10","25015","174","8","35","62","2","91002","2","285001062","25021"
"10","25015","177","8","36","63","2","91002","2","285001063","25021"
"10","25015","180","8","36","64","2","91002","2","285001064","25021"
"10","25015","182","8","36","65","2","91002","2","285001065","25021"
"10","25015","185","8","37","66","2","91002","2","285001066","25021"
"10","25015","187","8","37","67","2","91002","2","285001067","25021"
"10","25015","190","8","37","68","2","91002","2","285001068","25021"
"10","25015","193","8","38","69","2","91002","2","285001069","25021"
"30","25015","196","8","38","70","2","91002","2","285001070","25021"
