ed5a72050e7b73d41e06b293a18f13c69a2e92f1d273108245ac679612fc7cdd,00a026209250d4645712c4f0183343fe3e7c51d0cca81f9e01a06c9edfb9b08c,23229f92394225a8d2f440b4ef2813b5d484b53c0820255c6ddc1af39a514a39,f10bb6d374b7ae8c58388697e23ca0f174e388ed7532c1ae66f86cfcf1968e6e,990b7233318abc661ef873d225fb71c0ef7231351c9580bf2957d3a6506d84c6,ab33f3059a5ba08bb07659904f67227bea1a57f33a5a4e2c97469894b29be703,0335d9a1e1bff45e4a88241e68ac2bf28984b2ebd69802e70c7c945277298516,2458d46b81954e02c5c65de3552545cfcc4b124256e3905606c2afbeb11aeed3,3aa5f5267a16a6d6decf0feaa4de2773ddf617e21d3bcdf25dcf36b1cedd3878,fb3548e5d0d2b8ab53301689ba3a712d3024d72e66af41fe3bc225c168a17a33,12bbffb50399e2933a77c5057213d07afe75ae9faec61c897d2d2255d79329cc,37cc19b86b081582e4fd48889eedc5f1c0ec4f22a5b1b87aab23e3c1199550cd,3a0579260db39e9fdc14af438b5fe3611474fe7b10c35300a524d58d7ba84d7a,e0f93bbf45eee1dc629411d4b8e78bc8d007a621c8664e774def63bbdf04bb3f,eefd0228b843e76efddacd020364f77aff43ec20f67710fad249ff95cb296761,9cf8b5558ba50420548ffd78009a37b15fd371173908a018a3c85a4c7f4f1eee,82d6351c3cbbe9424b348f32fa6cc463e47e734e0b4fe5115d2164e0923c7223,b03f1d32481ed425dae8ed070fc155b52dec66f082994cb29382b1a712d49bdf,f37a730d2d880cb212804250949abab50ece1f00b3c05c01b5c43956fe0b4b39,ffb661c4d1408034b2448159335e5c92dadbed1d37e074a6f4c0168e1c9a448a,20767925576017e63b8a423ffb505efcc0be3d2a87728edac0229ab08ba32909
"0","1000","SummerEnemyA","1000","NONE","BeachJumpOverTrap","600","SummerEnemyC","AccelBoardA","0","NONE","0","1800","0","NONE","2500","3100","NONE","SpeedTerritoryA","0","NONE"
"0","1001","SummerEnemyB","800","NONE","AccelBoardA","500","SpeedTerritoryA","AccelBoardA","0","NONE","0","1300","0","NONE","2000","3000","NONE","WaterMelon","0","NONE"
"0","1002","Balloon","1000","NONE","BeachTrap_NoCall","400","SpeedTerritoryA_NoColl","SummerEnemyA_NoColl","0","NONE","0","1300","0","NONE","1600","2000","NONE","EnemyB_NoColl","0","NONE"
"0","1003","BeachJumpOverTrap","1500","NONE","AccelBoardA","700","EnemyB","AccelBoardA","0","NONE","0","2300","0","NONE","3000","3300","NONE","BeachJumpOverTrap","0","NONE"
"0","1004","BeachJumpOverTrap","1300","NONE","NONE","800","BeachJumpOverTrap","SummerEnemyA","0","NONE","0","1900","0","NONE","2700","0","NONE","SpeedTerritoryA","0","NONE"
"0","1005","BeachJumpBoard","1500","NONE","SummerEnemyB","300","SpeedTerritoryA","SummerJumpOverEnemyC","0","NONE","0","2000","0","NONE","2600","3300","NONE","AccelBoardA","0","NONE"
"3700","1006","SummerEnemyA","1300","BeachTrap","AccelBoardA","700","BeachTrap","BeachTrap","0","NONE","0","1800","0","NONE","2500","3000","NONE","BeachJumpOverTrap","0","NONE"
"0","1007","AccelBoardA","1300","NONE","BeachJumpOverTrap","500","BeachJumpOverTrap","SummerEnemyB","0","NONE","0","1800","0","NONE","2400","3100","NONE","SummerEnemyB","0","NONE"
"3700","1008","AccelBoardA","1100","SummerEnemyB","BeachJumpOverTrap","500","SummerEnemyB","BeachJumpBoard","0","NONE","0","2300","0","NONE","2700","3400","NONE","AccelBoardA","0","NONE"
"3700","1009","Balloon","1000","SpeedTerritoryA","BeachJumpOverTrap","400","SummerEnemyA_NoColl","BeachTrap_NoCall","0","NONE","0","2000","0","NONE","2900","3300","NONE","BeachJumpOverTrap","0","NONE"
