cbe8238ec7d0a0b954614aa0534ed7e44fabc7f807b77f9af748aaf149ca7f2a,9aebd77fa98cef1831e2f6303956158c8cb8b7345450b45c58bcd1153fd16b2c,98874f5a4786b65adc8443e757333abea25783aa4e270d621f91ccc195d45bf3,86dca7a0586fc8bf371b45c162c05aa9b066fbab560f0e57aee5e4b6f5a1894d,c11c5171aeb92d9b913e73867fd1ecb30be037506dc95748e8de65fcb875a76c,abcf65af7b2f4b30bd0f57df3d2a07b224d8e4f116a22515965683ed94372a31,63cc17f9d3b8b986e44db29af855b2ed04d4cbf864f25d1bcd345fc0979cd231,0009604ddd5996bb642dafadddd3908a93e7eebffd025870433c5e5faaaeee34,79c8fd5504328a825b092ca376d49f89d42c0b2785d53b799d81a9fb6d245785,b5a3b8872c9306c119d5c17e32b673484f761257739de19bce4ddcd8ef5bc221,88cd428d8cd37eb56212bf7b1f402ffe1ed63ddecb9f1ae5c601a5af938b8d95,7b25e201965743b6748d861f0e2431495bcf59f3a34dfafe49746b1bbc73ce03
"5","0","5201322","70","5201321","5.5","1","610201102","10201201","1","0","0"
"5","600","5201323","0","0","1.5","2","610201103","10201201","3","3","15"
"5","0","0","0","0","1.5","3","610201104","10201201","1","0","0"
"5","0","0","70","0","5.5","1","610201105","10201501","1","0","0"
"5","600","0","0","0","1.5","2","610201106","10201501","3","3","15"
"5","0","0","0","0","1.5","3","610201107","10201501","1","0","0"
"5","600","5201332","0","5201331","5.5","1","610201152","10201251","2","3","0"
"5","0","5201333","65","0","1.5","2","610201153","10201251","1","0","0"
"5","0","0","0","0","1.5","3","610201154","10201251","1","0","0"
"5","600","0","0","0","5.5","1","610201155","10201551","2","3","0"
"5","0","0","65","0","1.5","2","610201156","10201551","1","0","0"
"5","0","0","0","0","1.5","3","610201157","10201551","1","0","0"
"5","600","5202322","0","5202321","5.5","1","610202102","10202201","2","3","0"
"5","0","5202323","70","0","1.5","2","610202103","10202201","1","0","0"
"5","0","0","0","0","1.5","3","610202104","10202201","1","0","0"
"5","600","0","0","0","5.5","1","610202105","10202501","2","3","0"
"5","0","0","70","0","1.5","2","610202106","10202501","1","0","0"
"5","0","0","0","0","1.5","3","610202107","10202501","1","0","0"
"5","600","5203322","0","5203321","5.5","1","610203102","10203201","2","3","0"
"5","0","5203323","66","0","1.5","2","610203103","10203201","1","0","0"
"5","0","0","0","0","1.5","3","610203104","10203201","1","0","0"
"5","600","0","0","0","5.5","1","610203105","10203501","2","3","0"
"5","0","0","66","0","1.5","2","610203106","10203501","1","0","0"
"5","0","0","0","0","1.5","3","610203107","10203501","1","0","0"
"5","600","5204322","0","5204321","5.5","1","610204102","10204201","2","3","0"
"5","0","5204323","60","0","1.5","2","610204103","10204201","1","0","0"
"5","0","0","0","0","1.5","3","610204104","10204201","1","0","0"
"5","600","0","0","0","5.5","1","610204105","10204501","2","3","0"
"5","0","0","80","0","1.5","2","610204106","10204501","1","0","0"
"5","0","0","0","0","1.5","3","610204107","10204501","1","0","0"
"5","600","5205322","0","5205321","5.5","1","610205102","10205201","2","3","0"
"5","0","5205323","65","0","1.5","2","610205103","10205201","1","0","0"
"5","0","0","0","0","1.5","3","610205104","10205201","1","0","0"
"5","600","0","0","0","5.5","1","610205105","10205501","2","3","0"
"5","0","0","66","0","1.5","2","610205106","10205501","1","0","0"
"5","0","0","0","0","1.5","3","610205107","10205501","1","0","0"
"5","600","5206322","0","5206321","5.5","1","610206102","10206201","2","3","0"
"5","600","5206323","0","0","1.5","2","610206103","10206201","2","3","0"
"5","0","0","0","0","1.5","3","610206104","10206201","1","0","0"
"5","600","0","0","0","5.5","1","610206105","10206501","2","3","0"
"5","600","0","0","0","1.5","2","610206106","10206501","2","3","0"
"5","0","0","0","0","1.5","3","610206107","10206501","1","0","0"
"5","600","5207322","0","5207321","5.5","1","610207102","10207201","2","3","0"
"5","0","5207323","66","0","1.5","2","610207103","10207201","1","0","0"
"5","0","0","0","0","1.5","3","610207104","10207201","1","0","0"
"5","600","0","0","0","5.5","1","610207105","10207501","2","3","0"
"5","0","0","66","0","1.5","2","610207106","10207501","1","0","0"
"5","0","0","0","0","1.5","3","610207107","10207501","1","0","0"
