8acf6ba8c07a5ae4623c1a540e457f85a3b371faca9b3bb2d358d22b6a2fad6f,d234b4b2d9ac40e1cbc638c491c2fd894ccae70e3fe5f72ed84d668b3c158654,07f2eb4dc2d4c752a345f79bdad5a3d357498053ad4067732d9a8ae2ebf23f5a,11d1c6d7e1ef08abb9fcd3609cbfef004411d4582fc4ca30e87c1a48be01c6e5,edb5196a9a9eddd98adf42cf427b60ff23c9d1a5f8ae276011f4e56b08763987,b4f3b586e5790a41a9536662ca920dafc2071c8c2c6c2b30bbecf29bb0714699,da5e494ab8c30e2ad778088b2a6c3777c2f71d3d3c71287f14d647f8674095aa,5cef5cd936e214f4ab52e41aee85f21d06703cd1e8d3e994596dc10e395d2107,e0d93db2e12aba1b2e5f9dee9e3814f1f9982053be0bf03f7bbee14f224789b9,67b75e99d5088aa086dd5e09966264894657a434488f2b7033c657b71c7535c1,860e73ae8d998cecf8b8140ed0cd21003505f7d6a556654e08911356dc80f9da
"5","0","0","1","1101010001","1","10101","1","0","53","empty"
"5","0","0","2","1101010002","1","10101","101000","0","56","empty"
"5","0","0","3","1101010003","1","10101","101000","0","70","empty"
"31","","1","0","1101010004","0","10101","101000","0","0",""
"31","","1","1","1101010005","0","10101","101001","0","0",""
"31","","1","2","1101010006","0","10101","101002","0","0",""
"31","","1","3","1101010007","0","10101","101003","0","0",""
"31","","1","4","1101010008","0","10101","101004","0","0",""
"31","","1","10","1101010009","0","10101","1","0","0",""
"31","","1","30","1101010010","0","10101","3","0","0",""
"91","","","0","1101010011","","10101","0","","",""
"32","","","1","1101010012","","10101","0","","",""
"32","","","1","1101010013","","10101","10","","",""
"3","","","getDish_1_in","1101010014","0","10101","2","","0",""
"93","","","0","1101010015","","10101","0.2","","",""
"3","","","getDish","1101010016","0","10101","1","","0",""
"3","","","getDish_1_B","1101010017","0","10101","2","","0",""
"3","","","getDish_1_F","1101010018","0","10101","3","","0",""
"32","","","1","1101010019","","10101","1","","",""
"32","","","1","1101010020","","10101","3","","",""
"93","","","0","1101010021","","10101","7.2","","",""
"101","","","1","1101010022","","10101","1101010023","","",""
"35","","","1","1101010023","","10101","2","","",""
"32","","","1","1101010024","","10101","2","","",""
"35","","","1","1101010025","","10101","4","","",""
"32","","","1","1101010026","","10101","4","","",""
"32","","","0","1101010027","","10101","3","","",""
"93","","","0","1101010028","","10101","2.3","","",""
"35","","","1","1101010029","","10101","30","","",""
"32","","","1","1101010030","","10101","30","","",""
"93","","","0","1101010031","","10101","0.2","","",""
"6","0","0","1","1101010032","0","10101","1","1","1",""
"6","0","0","1","1101010033","0","10101","2","1","1",""
