60876338aae9776f1f45cf984620a7883c1dabe1d940eaa41433776faaa5373e,f9e91166a2e43acabc4d38afa316e53c899b2851a1273eaf050a2236a975704a,42f509bcd213e2a3144438867785b769515bf808025a1bfe5623dfd33f488b97,c562214a6493340084761992f429ba23a8bc42669cfb48c046cf326ab48ff23f,a7a2961a51a2a0275278fa7197fac5fd340dec450b5916330736d193fcfb4293,abb198b266e45b984e9fa539585e9b12a9b19c8c4e3675a6d6870d723e1f44db,9076f3aff21a1ab6e3c6f1118a1010ebb119b6da43b3ccb15be6513dc67a94dc,db30e0bb8066976d018541b3a1adae0ee8acbf6dd4a0635bcbad8595e9a17dd5,81199b94aad483e176aa0f4da8e1c692365604cc6f8ef8db0a5fda240d11d921
"32000101","所有玩家合力打倒100,000次蠻賊三姊妹","32000101","7008","1010","100000","1","1002","1"
"32000102","所有玩家合力打倒150,000次蠻賊三姊妹","32000102","7008","1010","150000","1","1002","2"
"32000103","所有玩家合力打倒200,000次蠻賊三姊妹","32000103","7008","1010","200000","1","1002","3"
"32000104","所有玩家合力打倒100,000次芙蕾雅","32000104","7008","1010","100000","1","1003","4"
"32000105","所有玩家合力打倒150,000次芙蕾雅","32000105","7008","1010","150000","1","1003","5"
"32000106","所有玩家合力打倒200,000次芙蕾雅","32000106","7008","1010","200000","1","1003","6"
"32000107","所有玩家合力打倒200,000次阿剌克涅","32000107","7008","1010","200000","0","1004","7"
"32000108","所有玩家合力打倒300,000次阿剌克涅","32000108","7008","1010","300000","0","1004","8"
"32000109","所有玩家合力打倒400,000次阿剌克涅","32000109","7008","1010","400000","0","1004","9"
"32000110","挑戰1次成群的寶石蜘蛛","32000110","7007","1009","1","1","1001","10"
"32000111","打倒1次蠻賊三姊妹","32000111","7007","1009","1","1","1002","11"
"32000112","打倒1次芙蕾雅","32000112","7007","1009","1","1","1003","12"
"32000113","打倒1次阿剌克涅","32000113","7007","1009","1","0","1004","13"
