0f25d89d2a7848e6b6d29c7d92ce0633d8471aefb74aa47b5674a7d1ca43f930,b4ceedd9ba6b6dabcad4f179f5276a0a085d606b5514981cb1d2997152f0ae36,23be72fb4eeee15d98cd762dfe94bd6988017597b519b04c278345e596baac08,82dc6710e384b6beb153577bea0b348071e519af4116df8210f15319849065fa,9792d9de75310ea408e231b08e80c8ca165495ce805778bde1e692d5271350d2,97f2eab3aec61842ac28fd03eda11a40c5cecfff22d241468f1ea18364d19cda
"1","11001001","1","15","99001001","1001"
"2","91002","10","8","99001001","0"
"3","11001002","1","15","99001002","1001"
"4","91002","10","8","99001002","0"
"5","11001003","1","15","99001003","1002"
"6","91002","20","8","99001003","0"
"7","11001004","1","15","99001004","1003"
"8","91002","30","8","99001004","0"
"9","11001005","1","15","99001005","1001"
"10","91002","10","8","99001005","0"
"11","11001006","1","15","99001006","1001"
"12","91002","10","8","99001006","0"
"13","11001007","1","15","99001007","1002"
"14","91002","20","8","99001007","0"
"15","11001008","1","15","99001008","1003"
"16","91002","30","8","99001008","0"
"17","11001009","1","15","99001009","1001"
"18","91002","10","8","99001009","0"
"19","11001010","1","15","99001010","1001"
"20","91002","10","8","99001010","0"
"21","11001011","1","15","99001011","1002"
"22","91002","20","8","99001011","0"
"23","11001012","1","15","99001012","1003"
"24","91002","30","8","99001012","0"
"33","11001017","1","15","99001017","1001"
"34","91002","30","8","99001017","0"
"35","11001018","1","15","99001018","1001"
"36","91002","30","8","99001018","0"
"37","11001019","1","15","99001019","1002"
"38","91002","30","8","99001019","0"
"39","11001020","1","15","99001020","1003"
"40","91002","30","8","99001020","0"
"41","11001021","0","15","99001021","1001"
"42","11001022","0","15","99001022","1002"
"43","11001023","1","15","99001023","1001"
"44","91002","30","8","99001023","0"
"45","11001024","1","15","99001024","1001"
"46","91002","30","8","99001024","0"
"47","11001025","1","15","99001025","1002"
"48","91002","30","8","99001025","0"
"49","11001026","1","15","99001026","1003"
"50","91002","30","8","99001026","0"
"51","11001027","1","15","99001027","1001"
"52","91002","30","8","99001027","0"
"53","11001028","1","15","99001028","1001"
"54","91002","30","8","99001028","0"
"55","11001029","1","15","99001029","1002"
"56","91002","30","8","99001029","0"
"57","11001030","1","15","99001030","1003"
"58","91002","30","8","99001030","0"
"59","11001031","1","15","99001031","1001"
"60","91002","30","8","99001031","0"
"61","11001032","1","15","99001032","1001"
"62","91002","30","8","99001032","0"
"63","11001033","1","15","99001033","1002"
"64","91002","30","8","99001033","0"
"65","11001034","1","15","99001034","1003"
"66","91002","30","8","99001034","0"
"75","11001039","0","15","99001039","1001"
"76","11001040","0","15","99001040","1002"
"77","11001041","0","15","99001041","1003"
"78","11001042","1","15","99001042","1001"
"79","91002","30","8","99001042","0"
"80","11001043","1","15","99001043","1001"
"81","91002","30","8","99001043","0"
"82","11001044","1","15","99001044","1002"
"83","91002","30","8","99001044","0"
"84","11001045","1","15","99001045","1003"
"85","91002","30","8","99001045","0"
"86","11001046","1","15","99001046","1001"
"87","11001050","1","15","99001046","1001"
"88","91002","30","8","99001046","0"
"89","11001047","1","15","99001047","1001"
"90","91002","30","8","99001047","0"
"91","11001048","1","15","99001048","1002"
"92","91002","30","8","99001048","0"
"93","11001049","1","15","99001049","1003"
"94","91002","30","8","99001049","0"
"95","11001051","1","15","99001051","1001"
"96","91002","30","8","99001051","0"
"97","11001052","1","15","99001052","1001"
"98","91002","30","8","99001052","0"
"99","11001053","1","15","99001053","1002"
"100","91002","30","8","99001053","0"
"101","11001054","1","15","99001054","1003"
"102","91002","30","8","99001054","0"
"103","11001055","1","15","99001055","1001"
"104","91002","30","8","99001055","0"
"105","11001056","1","15","99001056","1001"
"106","91002","30","8","99001056","0"
"107","11001057","1","15","99001057","1002"
"108","91002","30","8","99001057","0"
"109","11001058","1","15","99001058","1003"
"110","91002","30","8","99001058","0"
"111","11001059","1","15","99001059","1001"
"112","91002","30","8","99001059","0"
"113","11001060","1","15","99001060","1001"
"114","91002","30","8","99001060","0"
"115","11001061","1","15","99001061","1002"
"116","91002","30","8","99001061","0"
"117","11001062","1","15","99001062","1003"
"118","91002","30","8","99001062","0"
"119","11001063","1","15","99001063","1001"
"120","91002","30","8","99001063","0"
"121","11001064","1","15","99001064","1001"
"122","91002","30","8","99001064","0"
"123","11001065","1","15","99001065","1002"
"124","91002","30","8","99001065","0"
"125","11001066","1","15","99001066","1003"
"126","91002","30","8","99001066","0"
"127","11001067","1","15","99001067","1001"
"128","91002","30","8","99001067","0"
"129","11001068","1","15","99001068","1001"
"130","91002","30","8","99001068","0"
"131","11001069","1","15","99001069","1002"
"132","91002","30","8","99001069","0"
"133","11001070","1","15","99001070","1003"
"134","91002","30","8","99001070","0"
"135","11001071","0","15","99001071","1001"
"136","11001072","0","15","99001072","1002"
"137","11001073","0","15","99001073","1003"
"138","11001074","1","15","99001074","1001"
"139","91002","30","8","99001074","0"
"140","11001075","1","15","99001075","1001"
"141","91002","30","8","99001075","0"
"142","11001076","1","15","99001076","1002"
"143","91002","30","8","99001076","0"
"144","11001077","1","15","99001077","1003"
"145","91002","30","8","99001077","0"
"146","11001078","1","15","99001078","1001"
"147","91002","30","8","99001078","0"
"148","11001079","1","15","99001079","1001"
"149","91002","30","8","99001079","0"
"150","11001080","1","15","99001080","1002"
"151","91002","30","8","99001080","0"
"152","11001081","1","15","99001081","1003"
"153","91002","30","8","99001081","0"
"154","11001082","1","15","99001082","1001"
"155","91002","30","8","99001082","0"
"156","11001083","1","15","99001083","1001"
"157","91002","30","8","99001083","0"
"158","11001084","1","15","99001084","1002"
"159","91002","30","8","99001084","0"
"160","11001085","1","15","99001085","1003"
"161","91002","30","8","99001085","0"
"162","11001086","0","15","99001086","1001"
"163","11001087","0","15","99001087","1002"
"164","11001088","0","15","99001088","1002"
"165","11001089","0","15","99001089","1002"
"166","11001090","0","15","99001090","1003"
"167","11001091","1","15","99001091","1001"
"168","91002","30","8","99001091","0"
"169","11001092","1","15","99001092","1001"
"170","91002","30","8","99001092","0"
"171","11001093","1","15","99001093","1002"
"172","91002","30","8","99001093","0"
"173","11001094","1","15","99001094","1003"
"174","91002","30","8","99001094","0"
"175","11001095","1","15","99001095","1001"
"176","91002","30","8","99001095","0"
"177","11001096","1","15","99001096","1001"
"178","91002","30","8","99001096","0"
"179","11001097","1","15","99001097","1002"
"180","91002","30","8","99001097","0"
"181","11001098","1","15","99001098","1003"
"182","91002","30","8","99001098","0"
"183","11001099","1","15","99001099","1001"
"184","91002","30","8","99001099","0"
"185","11001100","1","15","99001100","1001"
"186","91002","30","8","99001100","0"
"187","11001101","1","15","99001101","1002"
"188","91002","30","8","99001101","0"
"189","11001102","1","15","99001102","1003"
"190","91002","30","8","99001102","0"
"191","11001103","1","15","99001103","1001"
"192","91002","30","8","99001103","0"
"193","11001104","1","15","99001104","1001"
"194","91002","30","8","99001104","0"
"195","11001105","1","15","99001105","1002"
"196","91002","30","8","99001105","0"
"197","11001106","1","15","99001106","1003"
"198","91002","30","8","99001106","0"
"199","11001107","1","15","99001107","1001"
