0e0f311d34f1f361f16d93269498c65372f04c9226573a060cf13dfdc5ff4ccc,246b1328f2feeffc99a1506c46d4c9862f210be14571d92511868a7af4976126,cfe45d0f04b84d03a10abb1ce640a4d6f1135eeebc55920bb200770fcca3b206,9012958cf58a107bb2f83b00dbb963abc3f5fa2cb0cba3b7e4f4b11b30d188a9,42e026a22455ab42e030abeaedb5ebcd19ee66729a2643191d7c1d549eb9d2f6
"3","1","3001","0","803100201"
"3","2","3001","0","803100202"
"3","3","3001","0","803100203"
"3","1","3002","0","803100204"
"3","2","3002","0","803100205"
"3","3","3002","0","803100206"
"3","1","3003","0","803100207"
"3","2","3003","0","803100208"
"3","3","3003","0","803100209"
"3","1","3004","0","803100210"
"3","2","3004","0","803100211"
"3","3","3004","0","803100212"
"3","1","3005","0","803100213"
"3","2","3005","0","803100214"
"3","3","3005","0","803100215"
"3","1","3006","0","803100216"
"3","2","3006","0","803100217"
"3","3","3006","0","803100218"
"3","1","3007","0","803100219"
"3","2","3007","0","803100220"
"3","3","3007","0","803100221"
