3a99c20f682f9d6f063b8c179497b8143c67c35af63fffb1f357cc43a3d6863e,9230bedbf87f3e413967757491dc297b0f2e8e3cf6371a7e309a631f028e5886,70f1fd42a1b4e3f25eb14c700526b573f471d87393ed5a28900bc9fe00f3e407,b19ffd1e20bec37cbe7a50b21af3c30889bf42a4f169a0b4b6ee6076e486113e,1af1114e15884997dd6f039ee9856aefec267a55739eb2dbc8c6eb87f122afd9,7463d418a1e5f05609014d197526ea29130be3fcbe9091726e36bb7695a6a2cb,12eb8bd51fb3d97597afd17c57430ec8eaae630842d1aac5e4ffcf4606e03bf3,b55b6a408efcbd04e14117c5ba8aa9710cd0d0394386914568b43de579fb8911,ae6e5380e73eaeaff5ae3a6f68656a91fed194fce38394ccf8b3e93828e80e21,294e22a43d5a1cf333c30428430e5d35a1c726b2adfd158d30ac0f38051eec47,87a277a8f657bdc8670bf65c4d27b0245576c2f8bd35cf8d34ddcd571f9025d3,5824357ff159373580308a05eaccff2516ee4c4cc1a7bcd4d27c8f2c53069260,34cac1963c35b9eb17da2a2953eabf5884ef8d7c247c4a62da98cc635c686256,3500f3641f9ac8f9a6a105dce41a1c34cd375dedb9bb88a5a62769a82d64f72d,b17354d55ebbbfb37c030e7dde6fa1ba59b5bda33d3c9769fb1bf5ecc1ce9806,c3c741114fbb4b47ed3ad242d03f771f91c69e31e18f7cf206a45c06370267ec,0a2329eb2361bab4ef14b8feb9e46dd10367964a3f1d32cb934cd70e29c63f34,679c64e74e5aad16e06fc3d1eba083b71ad075f368e4e5d0cec169b7508036e2,606f0f06506700a45389adc096e2dea1638064c071a529e69b17ee4b85b178a7,2727aa5dc4ca99c8b65e883bf355053a924431f103aed985f69caafad2c5edd8,45ffe6b3def321c880f4589427b4227136c4ede6054d3d6f8ccdcd103b58e7c6
"NONE","NONE","1000","SummerEnemyA","AccelBoardA","2500","1000","SpeedTerritoryA","0","NONE","NONE","0","0","0","0","NONE","1800","600","BeachJumpOverTrap","SummerEnemyC","3100"
"NONE","NONE","1001","SummerEnemyB","AccelBoardA","2000","800","WaterMelon","0","NONE","NONE","0","0","0","0","NONE","1300","500","AccelBoardA","SpeedTerritoryA","3000"
"NONE","NONE","1002","Balloon","SummerEnemyA_NoColl","1600","1000","EnemyB_NoColl","0","NONE","NONE","0","0","0","0","NONE","1300","400","BeachTrap_NoCall","SpeedTerritoryA_NoColl","2000"
"NONE","NONE","1003","BeachJumpOverTrap","AccelBoardA","3000","1500","BeachJumpOverTrap","0","NONE","NONE","0","0","0","0","NONE","2300","700","AccelBoardA","EnemyB","3300"
"NONE","NONE","1004","BeachJumpOverTrap","SummerEnemyA","2700","1300","SpeedTerritoryA","0","NONE","NONE","0","0","0","0","NONE","1900","800","NONE","BeachJumpOverTrap","0"
"NONE","NONE","1005","BeachJumpBoard","SummerJumpOverEnemyC","2600","1500","AccelBoardA","0","NONE","NONE","0","0","0","0","NONE","2000","300","SummerEnemyB","SpeedTerritoryA","3300"
"NONE","BeachTrap","1006","SummerEnemyA","BeachTrap","2500","1300","BeachJumpOverTrap","3700","NONE","NONE","0","0","0","0","NONE","1800","700","AccelBoardA","BeachTrap","3000"
"NONE","NONE","1007","AccelBoardA","SummerEnemyB","2400","1300","SummerEnemyB","0","NONE","NONE","0","0","0","0","NONE","1800","500","BeachJumpOverTrap","BeachJumpOverTrap","3100"
"NONE","SummerEnemyB","1008","AccelBoardA","BeachJumpBoard","2700","1100","AccelBoardA","3700","NONE","NONE","0","0","0","0","NONE","2300","500","BeachJumpOverTrap","SummerEnemyB","3400"
"NONE","SpeedTerritoryA","1009","Balloon","BeachTrap_NoCall","2900","1000","BeachJumpOverTrap","3700","NONE","NONE","0","0","0","0","NONE","2000","400","BeachJumpOverTrap","SummerEnemyA_NoColl","3300"
"NONE","NONE","1010","BeachJumpOverTrap","SpeedTerritoryA","3000","1400","EnemyB","0","NONE","NONE","0","0","0","0","NONE","2200","400","BeachJumpOverTrap","BeachJumpOverTrap","3500"
"NONE","AccelBoardA","1011","SummerEnemyD","SpeedTerritoryA","2400","900","BeachJumpOverTrap","3300","NONE","NONE","0","0","0","0","NONE","1500","400","SummerEnemyA","BeachJumpBoard","2800"
