fee2ee7dc7fc9a7c304e2c56508c9465c999318f269b469a010290eea9f9a2ce,a7d7f75851572a744b4fd6076f6e2cd19fc8130ea71d190fe1be6abb594a1299,351b2d0ea2a7f6c2375031797c0354b75f51629f5ef18e13b43029f9d00076a1,5151f206e53a718ff55056be439811a398242d845847e5e61ace2d4655711721,cfa3d5dbbabed28f95e03141a5a9902ac838e581f15f33c859796aa958f180bf,c354b47e75aa47bab02c5e7d1eb1a85b36ed0feddb22a7bad3245d31fa8fc987,13800286e62065d965612f91877a0ec48a2ddae3058ba9fd508ab15425d4da32,cc970ddc88d17b88cba9c4252c70bdd20808548520769b82911e87e699f970b7,a7cab29a43a2f99935c59deb02cd9bd0775fd7cfb6670440abebc0e0177c3b35,f1aa46c3c83f227a45d3bb8d47334cf9e50db8c8217ce307404f70e8d8851445,28ea9c862278945ca35550ccc1676e742100973e41de52850bd2b65746a27413,96501a1b0a529bef0d9d93d63e768e704e529b39e550251c27e1ae76f023c607,303c025899b7b6db1333f848382bc69a219b26b0ff54fa518bd21a9973ab4ae3
"倭","2","0","10000101","0","提升攻擊力15％、\n提升攻擊速度10％。","小幅度提升攻擊力跟攻擊速度","130011","0","0","100001","0","2210101"
"若菜","2","0","10000201","0","提升最大HP15％、\n提升攻擊速度10％。","小幅度提升最大HP跟攻擊速度","130111","0","0","100002","0","2210201"
"布武機","2","0","0","0","戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。","小幅度降低敵人的移動速度與攻擊速度","130211","0","0","100003","0","2210301"
"貪吃佩可","2","0","10000401","0","提升最大HP25％。","中幅度提升最大HP","105811","0","0","100004","1","0"
"凱留","2","0","0","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","中幅度降低敵人的移動速度","106011","0","0","100005","2","2210501"
"可可蘿","2","0","10000601","0","提升COST上限50％。","大幅度提升COST","105911","0","0","100006","3","0"
"雪菲","3","0","0","0","提升移動速度25％。","中幅度提升移動速度","106411","0","0","100007","4","2210701"
"莉莉","2","0","10000801","0","提升攻擊力15％、\n提升移動速度10％。","小幅度提升攻擊力跟移動速度","131311","0","0","100008","5","2210801"
"可璃亞","2","0","10000901","0","提升最大HP15％、\n提升移動速度10％。","小幅度提升最大HP跟移動速度","131411","0","0","100009","6","2210901"
"普蕾西亞","2","0","10001001","0","提升COST上限25％、\n提升移動速度10％。","小幅度提升COST上限跟移動速度","131511","0","0","100010","7","2211001"
"克蘿茜","2","0","10001101","0","提升攻擊力10％，\n戰鬥開始３秒內，提升攻擊速度15％。","小幅度提升攻擊力跟攻擊速度","126411","0","0","100011","8","2211101"
"萊拉耶爾","3","0","0","0","戰鬥開始３秒內，\n提升攻擊力25％。","中幅度提升攻擊力","126511","0","0","100012","9","2211201"
"琳德","2","0","0","0","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力25％。","提升攻擊速度跟攻擊力","127711","0","0","100013","10","2211301"
"烏爾姆","2","0","0","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","100014","11","2211401"
"庫露露","3","0","10001501","0","提升COST上限25％、\n提升HP15％。","小幅度提升COST上限跟HP","130911","10001502","0","100015","12","0"
"安涅默涅","2","0","0","0","降低敵人的攻擊力跟攻擊速度10％。","小幅度降低對方的攻擊力跟攻擊速度","129611","0","0","100016","13","2211601"
"涅妃‧涅羅","3","0","0","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降50％。","大幅度降低對方的移動速度","129711","0","0","100017","14","2211701"
"倭","1","1","0","0","剩餘HP在50％以下時發動。\n在３秒間射出斬擊，造成大幅度傷害。","射出斬擊攻擊敵人","130011","0","0","101001","0","3110101"
"若菜","1","1","0","0","剩餘HP在70％以下時發動。\n尖刺兄弟會出現，要是撞到敵人\n會造成小幅度傷害，將其擊飛。","尖刺兄弟撞飛敵人","130111","0","0","101002","0","3110201"
"布武機","1","1","0","0","戰鬥開始３秒後發動。\n封鎖敵人的移動與攻擊１秒。","封鎖敵人的移動與攻擊１秒","130211","0","0","101003","0","2110301"
"貪吃佩可","2","1","20101001","0","提升最大HP15％。","提升最大HP","105811","0","0","201010","0","0"
"凱留","2","1","0","0","戰鬥開始３秒內，\n使敵人的移動速度下降15％。","降低敵方的移動速度","106011","0","0","201020","0","2220201"
"可可蘿","2","1","20103001","0","提升COST上限50％。","提升COST上限","105911","0","0","201030","0","0"
"雪菲","3","1","0","0","提升移動速度15％。","提升移動速度","106411","0","0","201040","0","2220401"
"莉莉","2","1","20105001","0","提升攻擊力25％、\n提升移動速度10％。","提升攻擊力跟移動速度","131311","0","0","201050","0","2220501"
"可璃亞","2","1","20106001","0","提升最大HP25％、\n提升移動速度10％。","提升最大HP跟移動速度","131411","0","0","201060","0","2220601"
"普蕾西亞","2","1","20107001","0","提升COST上限25％、\n提升移動速度10％。","提升COST上限跟移動速度","131511","0","0","201070","0","2220701"
"克蘿茜","2","1","20108001","0","提升攻擊力25％，\n戰鬥開始３秒內，提升攻擊速度15％。","提升攻擊力跟攻擊速度","126411","0","0","201080","0","2220801"
"萊拉耶爾","3","1","0","0","戰鬥開始３秒內，\n提升攻擊力25％。","提升攻擊力","126511","0","0","201090","0","2220901"
"琳德","2","1","0","0","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力15％。","提升攻擊速度跟攻擊力","127711","0","0","201100","0","2221001"
"烏爾姆","2","1","0","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降15％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","201110","0","2221101"
"庫露露","3","1","20112001","0","提升COST上限25％、\n提升HP50％。","提升COST上限跟HP","130911","20112002","0","201120","0","0"
"安涅默涅","2","1","0","0","降低敵人的攻擊力跟攻擊速度10％。","降低對方的攻擊力跟攻擊速度","129611","0","0","201130","0","2221301"
"涅妃‧涅羅","3","1","0","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降25％。","降低對方的移動速度","129711","0","0","201140","0","2221401"
"貪吃佩可","2","1","20115001","0","提升最大HP３0％。","提升最大HP","105811","0","0","201150","0","0"
"凱留","2","1","0","0","戰鬥開始３秒內，\n使敵人的移動速度下降20％。","降低敵方的移動速度","106011","0","0","201160","0","2221601"
"可可蘿","2","1","20117001","0","提升COST上限75％。","提升COST上限","105911","0","0","201170","0","0"
"雪菲","3","1","0","0","提升移動速度20％。","提升移動速度","106411","0","0","201180","0","2221801"
"莉莉","2","1","20119001","0","提升攻擊力50％、\n提升移動速度15％。","提升攻擊力跟移動速度","131311","0","0","201190","0","2221901"
"可璃亞","2","1","20120001","0","提升最大HP50％、\n提升移動速度15％。","提升最大HP跟移動速度","131411","0","0","201200","0","2222001"
