a146d9230590b30a208160f695924eeae482c77b3046fff5b4a6608a9c5c4041,8a996d851b7369e8663968689c8f3051a34061a0fa1bf11fbf95e1d268dc94c3,0eb9997b6edc5dcbfef802702dceba8c36b444945a41f97c69098c4e55e47ebf,c59a0eed761934320a146aed427bd7414b8df2135d243bcb3844bb8ebcc589fa,6a1100fdc6a20f07c8761ca99637a41c1a60751efcc4d0e8279bcc86f663ca48,87ec6850c63cd309fc977a99e1a7d916b999a8a263dd3a861a7d1bf837fca486,34dc28084d6dbd22dca707284e6cf833bd1d77de2675ef0fd39b19efefc58ce7,9def07ba3b31da6de672805a0f72e06439c9c639a1207e3c353135b15908b8ea,a7f3b72c26d68ae65a0c440cabf3515cd54c488de105637f2a252e016c381393,c7915a575b4eca405fd80bd024745e6435b5ecc685866d46ff6c04952b0a5a32,a09eae06b84986b61908eb4da696c735968baf37e1355f4c74d1db9835d5dbfc
"1.3","0","-250","1","2","1001","110010001","<weapon>_idle","-100","1000001","55"
"1","","1","31","100","1001","110010002","","0","100","0"
"0","","1","31","101","1001","110010003","","0","101","0"
"1","","1","31","4","1001","110010004","","0","4","0"
"1","","1","31","5","1001","110010005","","0","5","94.5"
"","","","91","0","1001","110010006","","","0",""
"","","","93","0.4","1001","110010007","","","0",""
"0.2","","","3","1000001","1001","110010008","","","<weapon>_joy_short","0"
"","","","93","1.3","1001","110010009","","","0",""
"0","","","3","1000001","1001","110010010","","","<weapon>_run","1"
"","","0","2","1000001","1001","110010011","","1","800","-250"
"","","","93","0.7","1001","110010012","","","0",""
"","","","32","101","1001","110010013","","","1",""
"","","","93","0.7","1001","110010014","","","0",""
"1.3","0","-250","1","2","1101","111010001","<weapon>_run","-640","1000001","55"
"1","","1","31","100","1101","111010002","","0","100","0"
"0","","1","31","101","1101","111010003","","0","101","0"
"1","","1","31","4","1101","111010004","","0","4","0"
"","","","35","4","1101","111010005","","","0",""
"1","","1","31","5","1101","111010006","","0","5","0"
"1","","1","31","10","1101","111010007","","0","10","0"
"","","","91","0","1101","111010008","","","",""
"","","","35","100","1101","111010009","","","1",""
"","","0","2","1000001","1101","111010010","","2.1","640","-250"
"","","","93","1.7","1101","111010011","","","0",""
"","","","32","101","1101","111010012","","","1",""
"","","","93","0.7","1101","111010013","","","0",""
"1.3","0","-240","1","1","2001","120010001","look_loop","0","1000001","55"
"0","0","1","31","1","2001","120010002","","0","1","0"
"","","","35","1","2001","120010003","","","0",""
"","","","32","1","2001","120010004","","","1",""
"1","0","1","31","2","2001","120010005","","0","2","345.4"
"","","","35","2","2001","120010006","","","0",""
"0","0","1","31","3","2001","120010007","","0","3","345.4"
"","","","35","3","2001","120010008","","","0",""
"","","","32","3","2001","120010009","","","1",""
"1","","1","31","31000001","2001","120010010","","0","31000001","-345.4"
"1","","1","31","31000002","2001","120010011","","0","31000002","345.4"
"1","","1","31","100","2001","120010012","","0","100","0"
"0","","1","31","101","2001","120010013","","0","101","0"
"","","","91","0","2001","120010014","","","",""
"","","","35","100","2001","120010015","","","1",""
"0","0","1","3","1000001","2001","120010016","","look_loop","look_in","0"
"","","","93","1.3","2001","120010017","","","0",""
"0","","1","31","12","2101","121010001","","0","998","0"
"0","","1","31","14","2101","121010002","","0","997","0"
"0","","1","31","16","2101","121010003","","0","996","0"
"","","","32","31000001","2101","121010004","","","0",""
"","","","32","31000002","2101","121010005","","","0",""
"0","","0","121","0","2101","121010006","","1","0","-1"
"","","","35","1","2101","121010007","","","1",""
"","","","35","3","2101","121010008","","","1",""
"0","","","3","1000001","2101","121010009","","","pointing","0"
"","","","93","1","2101","121010010","","","0",""
"0","","2","121","505","2101","121010011","","1.47","100","-1.47"
"0.2","","","3","1000001","2101","121010012","","","run_talk1","1"
"","","0","2","1000001","2101","121010013","","1","100","-240"
"","","","23","se_travel","2101","121010014","","","se_travel_treasure_cha_run","0"
"","","","93","1","2101","121010015","","","0",""
"0","","1","31","11","2201","122010001","","0","998","0"
"0","","1","31","13","2201","122010002","","0","997","0"
"0","","1","31","15","2201","122010003","","0","996","0"
"","","","32","31000001","2201","122010004","","","0",""
"","","","32","31000002","2201","122010005","","","0",""
"","","","35","1","2201","122010006","","","1",""
"","","","35","3","2201","122010007","","","1",""
"0","","","3","1000001","2201","122010008","","","pointing","0"
"","","","93","1","2201","122010009","","","0",""
"0","","2","121","-505","2201","122010010","","1.47","100","1.47"
"0.2","","","3","1000001","2201","122010011","","","run_talk1","1"
"","","0","2","1000001","2201","122010012","","1","100","-240"
"","","","23","se_travel","2201","122010013","","","se_travel_treasure_cha_run","0"
"","","","93","1","2201","122010014","","","0",""
"0","","1","31","300000","3000","130000001","","0","300000","345.4"
"","","","91","0","3000","130000002","","","",""
"0","","7.4","123","1.05","3000","130000003","","1.05","1.05","1.05"
"0.2","","","3","1000001","3000","130000004","","","wait","0"
"","","","35","2","3000","130000005","","","1",""
"","","","93","4.9","3000","130000006","","","0",""
"0","","0.4","123","0.95","3000","130000007","","0.95","0.95","0.95"
"","","","32","300000","3000","130000008","","","1",""
"","","","93","0.1","3000","130000009","","","0",""
"","","","32","2","3000","130000010","","","0",""
"","","","93","0.1","3000","130000011","","","0",""
"","","","32","996","3000","130000012","","","1",""
"0","","","3","1000001","3000","130000013","","","joy_from_wait","0"
"","","","93","1.9","3000","130000014","","","0",""
"0","","","3","1000001","3000","130000015","","","glad_from_joy","0"
"","","","93","1.5","3000","130000016","","","0",""
"0.2","","","3","1000001","3000","130000017","","","run_gatein","1"
"","","","23","se_travel","3000","130000018","","","se_travel_treasure_cha_run",""
"","","0","2","1000001","3000","130000019","","1","450","-195"
"","","","93","0.5","3000","130000020","","","1",""
"0.4","0","0","6","1000001","3000","130000021","","1","1","1"
"","","","93","0.4","3000","130000022","","","0",""
"","","","113","1","3000","130000023","","","",""
"0","","1","31","300100","3001","130010001","","0","300100","345.4"
"1","","1","31","990001","3001","130010002","","0","990001","345.4"
"","","","91","0","3001","130010003","","","",""
"0","","7.4","123","1.05","3001","130010004","","1.05","1.05","1.05"
"0.2","","","3","1000001","3001","130010005","","","wait","0"
"","","","35","2","3001","130010006","","","1",""
"","","","93","5.4","3001","130010007","","","0",""
"0","","0.4","123","0.95","3001","130010008","","0.95","0.95","0.95"
"0.2","","","3","1000001","3001","130010009","","","glad","0"
"","","","32","300100","3001","130010010","","","1",""
"","","","32","996","3001","130010011","","","1",""
"","","","93","0.1","3001","130010012","","","0",""
"","","","32","2","3001","130010013","","","0",""
"","","","32","3","3001","130010014","","","0",""
"","","","93","1.5","3001","130010015","","","0",""
"0.2","","","3","1000001","3001","130010016","","","joy","0"
"","","","93","1.7","3001","130010017","","","0",""
"0","","","3","1000001","3001","130010018","","","run_gatein","1"
"","","0","2","1000001","3001","130010019","","1","450","-195"
"","","","93","0.5","3001","130010020","","","1",""
"0.4","0","0","6","1000001","3001","130010021","","1","1","1"
"","","","93","0.4","3001","130010022","","","0",""
"","","","113","1","3001","130010023","","","",""
"0","","1","31","300100","3002","130020001","","0","300100","345.4"
"1","","1","31","990002","3002","130020002","","0","990002","345.4"
"","","","91","0","3002","130020003","","","",""
"0","","7.4","123","1.05","3002","130020004","","1.05","1.05","1.05"
"0.2","","","3","1000001","3002","130020005","","","wait","0"
"","","","35","2","3002","130020006","","","1",""
