003d2079ecc76bbceadd17a78b97766c0beb4f3f10559f4d92a92ef75c79a48b,dcd0c32613a266c0428d012804cdc3c1c02c907a1973fdb3459ab116cd8fa17a,db655bd6741b23c90c72b93ab3460392ca92a2f0a0e8275e4beec54e3a3e4c51,dde947b5aca2cbe5ade06f6f31252e5e52e3fa3d7561eecfe6603d9cd1d223e5,3d1a948157dd9af460f7062677d9ea954da28c2d3702b94bbd48eda376075fd7,fa854553443e6e36e805c7b93e88dbdca9629e1cfc612e82b2b636c13b89a3c5,341685e379ae07dd0a16760ce3332e3dcf1bede4d49a0e0405f2168990e1cb4b,3c528883b4a48aadfad6df96c4d7b745cfa5c7511247c619917bdcf195265d08,e460768ff65f7177fec3a59bf149ab3866564b6be5bc13646bdcfbc20f6bc6a6,db9f60de1d9d93b9b8ef4c40e5f13aaacabaff37d5bc07a83ceda4d610554ef7,65fe6cbe15f9bfb1f54bd1f18ae0ec9fed93e86a7f2c5cef73cae32157b3080d
"8","2","25021","283001001","25013","8","2","10","31","1","91002"
"8","2","25021","283001002","25013","8","2","10","31","2","91002"
"8","2","25021","283001003","25013","8","2","10","32","3","91002"
"8","2","25021","283001004","25013","8","2","10","32","4","91002"
"8","2","25021","283001005","25013","8","2","10","33","5","91002"
"9","2","25021","283001006","25013","8","2","10","33","6","91002"
"9","2","25021","283001007","25013","8","2","10","34","7","91002"
"9","2","25021","283001008","25013","8","2","10","35","8","91002"
"9","2","25021","283001009","25013","8","2","10","35","9","91002"
"10","2","25021","283001010","25013","8","2","30","37","10","91002"
"10","2","25021","283001011","25013","8","2","10","41","11","91002"
"11","2","25021","283001012","25013","8","2","10","43","12","91002"
"11","2","25021","283001013","25013","8","2","10","46","13","91002"
"12","2","25021","283001014","25013","8","2","10","48","14","91002"
"12","2","25021","283001015","25013","8","2","10","50","15","91002"
"13","2","25021","283001016","25013","8","2","10","53","16","91002"
"14","2","25021","283001017","25013","8","2","10","55","17","91002"
"14","2","25021","283001018","25013","8","2","10","58","18","91002"
"15","2","25021","283001019","25013","8","2","10","60","19","91002"
"15","2","25021","283001020","25013","8","2","30","62","20","91002"
"16","2","25021","283001021","25013","8","2","10","68","21","91002"
"16","2","25021","283001022","25013","8","2","10","70","22","91002"
"16","2","25021","283001023","25013","8","2","10","72","23","91002"
"17","2","25021","283001024","25013","8","2","10","75","24","91002"
"18","2","25021","283001025","25013","8","2","10","77","25","91002"
"18","2","25021","283001026","25013","8","2","10","79","26","91002"
"19","2","25021","283001027","25013","8","2","10","82","27","91002"
"19","2","25021","283001028","25013","8","2","10","84","28","91002"
"19","2","25021","283001029","25013","8","2","10","86","29","91002"
"20","2","25021","283001030","25013","8","2","30","89","30","91002"
"20","2","25021","283001031","25013","8","2","10","94","31","91002"
"21","2","25021","283001032","25013","8","2","10","96","32","91002"
"21","2","25021","283001033","25013","8","2","10","99","33","91002"
"22","2","25021","283001034","25013","8","2","10","101","34","91002"
"22","2","25021","283001035","25013","8","2","10","103","35","91002"
"23","2","25021","283001036","25013","8","2","10","106","36","91002"
"23","2","25021","283001037","25013","8","2","10","108","37","91002"
"24","2","25021","283001038","25013","8","2","10","111","38","91002"
"25","2","25021","283001039","25013","8","2","10","113","39","91002"
"25","2","25021","283001040","25013","8","2","30","115","40","91002"
"26","2","25021","283001041","25013","8","2","10","121","41","91002"
