a0d43a21375d73e0b43a46865782f175e989fcbe05250fff420e6aeaceb1451f,cd72bd061de83a2e7168b2d5b562b7374b135d27f281c773d6cae68d63ceffa4,3061e97d3b1e2c0400508fc9045b26f313106845ce995886769e0a676ff88d24,123245a9ab49ea2f80c697c661a667c6e4e292dcc77849ba91f3496206c46ac4,b900ce09ca1a30e5a24a0fb05b83564c6dcb83b8d8a09b30a5dd8677ba82a297,34f022d9e1b005a29c86dd1eaca9cc99a46b55b58cb498b03926883d96833a1f
"10","1","1","10","500","2"
"20","1","1","10","500","3"
"30","1","1","10","500","4"
"40","1","1","10","500","5"
"50","1","1","10","500","6"
"60","1","1","10","500","7"
"70","1","1","10","500","8"
"80","1","1","10","500","9"
"90","1","1","10","500","10"
"105","1","1","15","500","11"
"120","1","1","15","500","12"
"135","1","1","15","500","13"
"150","1","1","15","500","14"
"165","1","1","15","500","15"
"180","1","1","15","500","16"
"195","1","1","15","500","17"
"210","1","1","15","500","18"
"225","1","1","15","500","19"
"240","1","1","15","500","20"
"265","1","1","25","500","21"
"290","1","1","25","500","22"
"315","1","1","25","500","23"
"340","1","1","25","500","24"
"365","1","1","25","500","25"
"390","1","1","25","500","26"
"415","1","1","25","500","27"
"440","1","1","25","500","28"
"465","1","1","25","500","29"
"490","1","1","25","500","30"
"530","1","2","40","500","31"
"570","1","2","40","500","32"
"610","1","2","40","500","33"
"650","1","2","40","500","34"
"690","1","2","40","500","35"
"730","1","2","40","500","36"
"770","1","2","40","500","37"
"810","1","2","40","500","38"
"850","1","2","40","500","39"
"890","1","2","40","500","40"
"940","1","2","50","500","41"
"990","1","2","50","500","42"
"1040","1","2","50","500","43"
"1090","1","2","50","500","44"
"1140","1","2","50","500","45"
"1190","1","2","50","500","46"
"1240","1","2","50","500","47"
"1290","1","2","50","500","48"
"1340","1","2","50","500","49"
"1390","1","2","50","500","50"
"1450","1","3","60","500","51"
"1510","1","3","60","500","52"
"1570","1","3","60","500","53"
"1630","1","3","60","500","54"
"1690","1","3","60","500","55"
"1750","1","3","60","500","56"
"1810","1","3","60","500","57"
"1870","1","3","60","500","58"
"1930","1","3","60","500","59"
"1990","1","3","60","500","60"
"2065","1","3","75","600","61"
"2140","1","3","75","600","62"
"2215","1","3","75","600","63"
"2290","1","3","75","600","64"
"2365","1","3","75","600","65"
"2440","1","3","75","600","66"
"2515","1","3","75","600","67"
"2590","1","3","75","600","68"
"2665","1","3","75","600","69"
"2740","1","3","75","600","70"
"2840","1","4","100","600","71"
"2940","1","4","100","600","72"
"3040","1","4","100","600","73"
"3140","1","4","100","600","74"
"3240","1","4","100","600","75"
"3340","1","4","100","600","76"
"3440","1","4","100","600","77"
"3540","1","4","100","600","78"
"3640","1","4","100","600","79"
"3740","1","4","100","600","80"
"3865","1","4","125","600","81"
"3990","1","4","125","600","82"
"4115","1","4","125","600","83"
"4240","1","4","125","600","84"
"4365","1","4","125","600","85"
"4490","1","4","125","600","86"
"4615","1","4","125","600","87"
"4740","1","4","125","600","88"
"4865","1","4","125","600","89"
"4990","1","4","125","600","90"
"5140","1","5","150","600","91"
"5290","1","5","150","600","92"
"5440","1","5","150","600","93"
"5590","1","5","150","600","94"
"5740","1","5","150","600","95"
"5890","1","5","150","600","96"
"6040","1","5","150","600","97"
"6190","1","5","150","600","98"
"6340","1","5","150","600","99"
"6490","1","5","150","600","100"
"6665","1","5","175","600","101"
"6840","1","5","175","600","102"
"7015","1","5","175","600","103"
"7190","1","5","175","600","104"
"7365","1","5","175","600","105"
"7540","1","5","175","600","106"
"7715","1","5","175","600","107"
"7890","1","5","175","600","108"
"8065","1","5","175","600","109"
"8240","1","5","175","600","110"
"8440","1","6","200","600","111"
"8640","1","6","200","600","112"
"8840","1","6","200","600","113"
"9040","1","6","200","600","114"
"9240","1","6","200","600","115"
"9440","1","6","200","600","116"
"9640","1","6","200","600","117"
"9840","1","6","200","600","118"
"10040","1","6","200","600","119"
"10240","1","6","200","600","120"
"10465","1","6","225","600","121"
"10690","1","6","225","600","122"
"10915","1","6","225","600","123"
"11140","1","6","225","600","124"
"11365","1","6","225","600","125"
"11590","1","6","225","600","126"
"11815","1","6","225","600","127"
"12040","1","6","225","600","128"
"12265","1","6","225","600","129"
"12490","1","6","225","600","130"
"12740","1","7","250","600","131"
"12990","1","7","250","600","132"
"13240","1","7","250","600","133"
"13490","1","7","250","600","134"
"13740","1","7","250","600","135"
"13990","1","7","250","600","136"
"14240","1","7","250","600","137"
"14490","1","7","250","600","138"
"14740","1","7","250","600","139"
"14990","1","7","250","600","140"
"15240","1","8","250","600","141"
"15490","1","8","250","600","142"
"15740","1","8","250","600","143"
"15990","1","8","250","600","144"
"16240","1","8","250","600","145"
"16490","1","8","250","600","146"
"16740","1","8","250","600","147"
"16990","1","8","250","600","148"
"17240","1","8","250","600","149"
"17490","1","8","250","600","150"
"17740","1","9","250","600","151"
"17990","1","9","250","600","152"
"18240","1","9","250","600","153"
"18490","1","9","250","600","154"
"18740","1","9","250","600","155"
"18990","1","9","250","600","156"
"19240","1","9","250","600","157"
"19490","1","9","250","600","158"
"19740","1","9","250","600","159"
"19990","1","9","250","600","160"
"20240","1","10","250","600","161"
"20490","1","10","250","600","162"
"20740","1","10","250","600","163"
"20990","1","10","250","600","164"
"21240","1","10","250","600","165"
"21490","1","10","250","600","166"
"21740","1","10","250","600","167"
"21990","1","10","250","600","168"
"22240","1","10","250","600","169"
"22490","1","10","250","600","170"
"22740","1","11","250","600","171"
"22990","1","11","250","600","172"
"23240","1","11","250","600","173"
"23490","1","11","250","600","174"
"23740","1","11","250","600","175"
"23990","1","11","250","600","176"
"24240","1","11","250","600","177"
"24490","1","11","250","600","178"
"24740","1","11","250","600","179"
"24990","1","11","250","600","180"
"25240","1","12","250","600","181"
"25490","1","12","250","600","182"
"25740","1","12","250","600","183"
"25990","1","12","250","600","184"
"26240","1","12","250","600","185"
"26490","1","12","250","600","186"
"26740","1","12","250","600","187"
"26990","1","12","250","600","188"
"27240","1","12","250","600","189"
"27490","1","12","250","600","190"
"27740","1","13","250","600","191"
"27990","1","13","250","600","192"
"28240","1","13","250","600","193"
"28490","1","13","250","600","194"
"28740","1","13","250","600","195"
"28990","1","13","250","600","196"
"29240","1","13","250","600","197"
"29490","1","13","250","600","198"
"29740","1","13","250","600","199"
"29990","1","13","250","600","200"
"30240","1","14","250","600","201"
"30490","1","14","250","600","202"
"30740","1","14","250","600","203"
"30990","1","14","250","600","204"
"31240","1","14","250","600","205"
"31490","1","14","250","600","206"
"31740","1","14","250","600","207"
"31990","1","14","250","600","208"
"32240","1","14","250","600","209"
"32490","1","14","250","600","210"
"32740","1","15","250","680","211"
"32990","1","15","250","680","212"
"33240","1","15","250","680","213"
"33490","1","15","250","680","214"
"33740","1","15","250","680","215"
"33990","1","15","250","680","216"
"34240","1","15","250","680","217"
"34490","1","15","250","680","218"
"34740","1","15","250","680","219"
"34990","1","15","250","680","220"
"35240","1","16","250","680","221"
