a633238be7fc51a6fb83521b366ce1cb999ac1c6fb3ad93937e6ede494c8f253,bfcf8ac886ccd1c6f60c2bdeeddd17bde3125a6da3d499a44bfcc13d64e69bc8,b897e801bbd12659edf1b233120f2e344defeba71b1edd2c0807923a3c74491c,a11597a9bb35a0451dd1c4abe0dd879ce0d504d7e463aafc5de292860d4f9fc4,378cb270ea56face5ec1579c8f0a3ad3281ed1feb376e950afc370ffbc307050,e46d2d6cbefd187639e6ba3b7619c3e75893bee64ce047f39cc7462e1548d994,3b8b5dced42b1cf2d32b2ec2530603786bee65f50d2213170adeda1a86ed628b,9a72168a0a3d7c68d02f9c99fa3603202eb17dc2a96ed24d1cb7409a3e80ca0a,5fcfeeb72956ca15c5bae123d95d46abaee374f1c8a818b2649d8c844c454ebd,318e621661beb1fac440fea49c072fefbfdcbe53de6da04b8ffdeb6a993690b1,2c2e7641288c61dbc8416b45fb86e83dbe4e9dc60a32744563e1a5f3ce55c07e,3d7ef3e6ee78a4477b38c71a9af494376d4646cdd055d0007c8ca1fee9f173f2
"0","0","0","0","0.8","1","4","0","1","0","1005801","100580101"
"0","0","0","vo_ske","0","2","2","0","0","vo_ske_0101","1005801","100580102"
"94","0.705","1","0","0","3","1","0","0","0","1005801","100580103"
"0","0","0","0","1.549","4","4","0","1","0","1005801","100580104"
"362","1.807","1","0","0","5","1","94","0","0","1005801","100580105"
"0","0","0","0","3.027","6","4","0","1","0","1005801","100580106"
"263","1.141","2","0","0","7","1","0","0","0","1005801","100580107"
"0","0","0","0","1.9","8","4","0","1","0","1005801","100580108"
"400","1.78","2","0","0","9","1","263","0","0","1005801","100580109"
"0","0","0","0","4.544","10","4","0","1","0","1005801","100580110"
"0","0","0","vo_ske","0","11","2","0","0","vo_ske_0102","1005801","100580111"
"195","1.322","3","0","0","12","1","0","0","0","1005801","100580112"
"0","0","0","0","2.917","13","4","0","1","0","1005801","100580113"
"0","0","0","vo_ske","0","14","2","0","0","vo_ske_0103","1005801","100580114"
"228","1.932","4","0","0","15","1","0","0","0","1005801","100580115"
"0","0","0","0","2.582","16","4","0","1","0","1005801","100580116"
"367","0.996","4","0","0","17","1","228","0","0","1005801","100580117"
"0","0","0","0","3.856","18","4","0","1","0","1005801","100580118"
"0","0","0","vo_ske","0","19","2","0","0","vo_ske_0104","1005801","100580119"
"90","0.67","5","0","0","20","1","0","0","0","1005801","100580120"
"0","0","0","0","1.785","21","4","0","1","0","1005801","100580121"
"364","2.253","5","0","0","22","1","90","0","0","1005801","100580122"
"0","0","0","0","2.253","23","4","0","1","0","1005801","100580123"
"0","0.962","6","0","0","24","1","0","0","0","1005801","100580124"
"0","0","0","0","2.244","25","4","0","1","0","1005801","100580125"
"334","1.707","6","0","0","26","1","0","0","0","1005801","100580126"
"0","0","0","0","4.225","27","4","0","1","0","1005801","100580127"
"0","0","0","vo_ske","0","28","2","0","0","vo_ske_0105","1005801","100580128"
"227","1.256","7","0","0","29","1","0","0","0","1005801","100580129"
"0","0","0","0","3.119","30","4","0","1","0","1005801","100580130"
"0","0","0","vo_ske","0","31","2","0","0","vo_ske_0106","1005801","100580131"
"73","0.702","8","0","0","32","1","0","0","0","1005801","100580132"
"0","0","0","0","1.386","33","4","0","1","0","1005801","100580133"
"318","1.352","8","0","0","34","1","73","0","0","1005801","100580134"
"0","0","0","0","2.053","35","4","0","1","0","1005801","100580135"
"383","0.733","8","0","0","36","1","318","0","0","1005801","100580136"
"0","0","0","0","1.868","37","4","0","1","0","1005801","100580137"
"340","1.764","9","0","0","38","1","0","0","0","1005801","100580138"
"0","0","0","0","2.905","39","4","0","1","0","1005801","100580139"
"340","0.969","9","0","0","40","1","340","0","0","1005801","100580140"
"0","0","0","0","0.969","41","4","0","1","0","1005801","100580141"
"0","0.808","10","0","0","42","1","0","0","0","1005801","100580142"
"0","0","0","0","2.8","43","4","0","1","0","1005801","100580143"
"0","0","0","vo_ske","0","44","2","0","0","vo_ske_0107","1005801","100580144"
"52","0.25","10","0","0","45","1","0","0","0","1005801","100580145"
"0","0","0","0","0.25","46","4","0","1","0","1005801","100580146"
"328","1.817","10","0","0","47","1","52","0","0","1005801","100580147"
"0","0","0","0","3.312","48","4","0","1","0","1005801","100580148"
"389","0.666","10","0","0","49","1","328","0","0","1005801","100580149"
"0","0","0","0","1.17","50","4","0","1","0","1005801","100580150"
"0","1.616","11","0","0","51","1","0","0","0","1005801","100580151"
"0","0","0","0","4.15","52","4","0","1","0","1005801","100580152"
"0","0","0","vo_ske","0","53","2","0","0","vo_ske_0108","1005801","100580153"
"142","1.198","11","0","0","54","1","0","0","0","1005801","100580154"
"0","0","0","0","2.442","55","4","0","1","0","1005801","100580155"
"267","1.934","11","0","0","56","1","142","0","0","1005801","100580156"
"0","0","0","0","4.434","57","4","0","1","0","1005801","100580157"
"0","0","0","0","0.8","1","4","0","1","0","1005802","100580201"
"0","0","0","vo_ske","0","2","2","0","0","vo_ske_0201","1005802","100580202"
"202","1.122","1","0","0","3","1","0","0","0","1005802","100580203"
"0","0","0","0","1.689","4","4","0","1","0","1005802","100580204"
"370","1.13","1","0","0","5","1","202","0","0","1005802","100580205"
"0","0","0","0","2.883","6","4","0","1","0","1005802","100580206"
