30303616d590fea096b138787ba7b3a18d6c56be1d01771b7bac3d43997091b5,e3e08c9fb6a70f2a0b8de80d16b9b59b2880d38a2625ee623cb8fc7c3ac95bec,daca9b77387ac3eb177c9e3cd1b17e639d521a5eb7e6231fd9c2e391dbbc790b,d1191c1749f27f30aea4e76bceeaf9318706da6d3d24b0e6ed07876c926a3001,75f59f65ad071a1bf24d8012d68b319f6860d5dee46e2035bf02cdc5d125f031,78410f5e3c1a9c5aa7b7076530b3f0213fc35fa564a34dc85628cd490d095fdf,1b9704d091d6bb62f8acada51cfeb64c95c8019f4b2cb1e70150e1f47d44c23f,8eb2697f5c7af2f96f3eeba5d90f33888e9574168b9a53357df55d671a631c94,64b63882e20f559fac96cc67c3d06b40c0f17fea35691758aa0d89b8f4390461,877711aaf1daa65987197bb6024ea38875690a729da2d2ac18f173d23ab19664,c45ba9ad3eaa437d4d1d8fc20a7c7f755fc8e92d60827f4689850511d87f9140,4d47eeeb1dbb810290e74dc04b25debededcdba588de5483399f4b91ddb8caef,c5c4a6a21fd20443b62cf4669b1abf7f6a8346b4ab298748858f338593db8132,f7cb4af1fe07b4262752f11af50d304c8098914837ffbabbd82f6bb026f588fa,09db7e10fb39b7029c017a62d21f831261ccf4e89a26e1d7663ee256c68daed7,bb2e97cd63b452ae049cca6898d273f12fb99e25cec201b4b9073fe41558b244
"1001101","2","22002","40","0","91002","1","0","0","0","40","8","0","90006","2","0"
"1001102","2","22002","60","0","91002","2","0","0","0","50","8","0","90006","2","0"
"1001103","2","22002","80","0","91002","3","0","0","0","60","8","0","90006","2","0"
"1001104","2","22002","100","0","91002","4","0","0","0","80","8","0","90006","2","0"
"1001105","2","22003","200","0","91002","2","0","0","0","150","8","0","90006","2","0"
"1001106","2","0","20","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1001107","2","0","20","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1001108","2","0","20","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1001109","2","0","20","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1001110","2","0","20","0","90006","0","0","0","0","1","2","0","22003","0","0"
"1002101","2","22002","40","0","91002","1","0","0","0","40","8","0","90006","2","0"
"1002102","2","22002","60","0","91002","2","0","0","0","50","8","0","90006","2","0"
"1002103","2","22002","80","0","91002","3","0","0","0","60","8","0","90006","2","0"
"1002104","2","22002","100","0","91002","4","0","0","0","80","8","0","90006","2","0"
"1002105","2","22003","200","0","91002","2","0","0","0","150","8","0","90006","2","0"
"1002106","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1002107","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1002108","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1002109","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1002110","2","0","40","0","90006","0","0","0","0","1","2","0","22003","0","0"
"1003101","2","22002","40","0","91002","1","0","0","0","40","8","0","90006","2","0"
"1003102","2","22002","60","0","91002","2","0","0","0","50","8","0","90006","2","0"
"1003103","2","22002","80","0","91002","3","0","0","0","60","8","0","90006","2","0"
"1003104","2","22002","100","0","91002","4","0","0","0","80","8","0","90006","2","0"
"1003105","2","22003","200","0","91002","2","0","0","0","150","8","0","90006","2","0"
"1003106","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1003107","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1003108","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1003109","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1003110","2","0","40","0","90006","0","0","0","0","1","2","0","22003","0","0"
"1004101","2","22002","40","0","91002","1","0","0","0","40","8","0","90006","2","0"
"1004102","2","22002","60","0","91002","2","0","0","0","50","8","0","90006","2","0"
"1004103","2","22002","80","0","91002","3","0","0","0","60","8","0","90006","2","0"
"1004104","2","22002","100","0","91002","4","0","0","0","80","8","0","90006","2","0"
"1004105","2","22003","200","0","91002","2","0","0","0","150","8","0","90006","2","0"
"1004106","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1004107","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1004108","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1004109","2","0","40","0","90006","0","0","0","0","1","2","0","22002","0","0"
"1004110","2","0","40","0","90006","0","0","0","0","1","2","0","22003","0","0"
