4b187989f392c158b153eea61b605237c53eb9695d6ffdd7043f9ae1b568a4f6,4b0f67c54445af6c18b22ef1833f7c5074718e05454515e86fa40c5dec5aee50,7b8a1428b02148f439990086ce3d7b7b3187d17c14223188504b62e69b7c2934,d1d3bc3fe22bd33c472b6ca2999da13b77e2be16101048ee2e511c5f67624821,5300367fe9a285cd42b6e4b8514cad0e7b172de2ff00322b9420b65b258e76ad,71fef5ea03200b22e0f7455a0cbb502f60e022de762a768e7ee3194ec039ba12,b766375d450d90818c6a5a5ed84eca819061e476d3633ef914fb3a6bae3363ae,a94342563785e76f658f2bf57eb2ab9887f585abf0d100189ca5ba4957d85b0d,9af65c20640e6a1b8ca581354375d3d314fb275d574c3e3ad79074392b191f54
"1002","1","129","5","達成公主騎士RANK 5","20021","0","1001","1001"
"1002","1","129","10","達成公主騎士RANK 10","20021","0","1002","1002"
"1002","1","129","30","達成公主騎士RANK 30","20021","0","1003","1003"
"1002","1","129","50","達成公主騎士RANK 50","20021","0","1004","1004"
"1002","1","129","100","達成公主騎士RANK 100","20021","0","1005","1005"
"1002","1","129","150","達成公主騎士RANK 150","20021","0","1006","1006"
"1002","1","129","200","達成公主騎士RANK 200","20021","0","1007","1007"
"1002","1","129","250","達成公主騎士RANK250","20021","0","1007","1008"
"1002","1","129","300","達成公主騎士RANK300","20021","0","1007","1009"
"1002","1","129","450","達成公主騎士RANK450","20021","0","1007","1010"
"1002","1","129","520","達成公主騎士RANK520","20021","0","1007","1011"
"1002","1","129","620","達成公主騎士RANK620","20021","0","1007","1012"
"1003","2","129","50","讓火屬性的屬性等級提升到50","20022","1","2001","2001"
"1003","2","129","100","讓火屬性的屬性等級提升到100","20022","1","2002","2002"
"1003","2","129","150","讓火屬性的屬性等級提升到150","20022","1","2003","2003"
"1003","2","129","200","讓火屬性的屬性等級提升到200","20022","1","2004","2004"
"1003","2","129","250","讓火屬性的屬性等級提升到250","20022","1","2005","2005"
"1003","2","129","300","讓火屬性的屬性等級提升到300","20022","1","2006","2006"
"1003","2","129","350","讓火屬性的屬性等級提升到350","20022","1","2007","2007"
"1003","2","129","400","讓火屬性的屬性等級提升到400","20022","1","2008","2008"
"1003","2","129","450","讓火屬性的屬性等級提升到450","20022","1","2009","2009"
"1003","2","129","500","讓火屬性的屬性等級提升到500","20022","1","2010","2010"
"1003","2","129","550","讓火屬性的屬性等級提升到550","20022","1","2011","2011"
"1003","2","129","600","讓火屬性的屬性等級提升到600","20022","1","2012","2012"
"1003","2","129","650","讓火屬性的屬性等級提升到650","20022","1","2013","2013"
"1003","2","129","700","讓火屬性的屬性等級提升到700","20022","1","2014","2014"
"1003","2","129","750","讓火屬性的屬性等級提升到750","20022","1","2015","2015"
"1003","2","129","800","讓火屬性的屬性等級提升到800","20022","1","2015","2016"
"1003","2","129","900","讓火屬性的屬性等級提升到900","20022","1","2015","2017"
