f181bd8fc76356c4e218d0a650218162314c82aba23e8a8fbfb1bdf500b87e5f,22afdd971c06c9cf540af882ee7a933e712ea34a0b77730deb7e9a40595a6eda,4caffbe58a6aa7fdf95841ea3d6f459792e69fee145c594942ca819a235b540b,fe182c8dd0dcecfaa06c149e2ac351c3c4fc9e6533a0928dc54d1206defe4a32,1bfbb5ec1cb49eb7206118866699bac9acefe32163151aad90aa83e54f56b693,bd27026fefa13748b36602a9d83f89bd80c394bbff8641796eb5028f5e9c06b6,96f36c4e97376b077faf35377d65f724645c5f34c3aaa1a50f94c849eb4c24c0,2069c2a35d6affba851216a53398bef7612db5a9523b4e9557fa05316157bd3e,1856acbc8c00a14109b6c2cb3e374afb8c1ca6f2e62cc46ee2d54701e17b1d02,66b69adc0d21b3008037a1d91409e46cfa3c83433e3699f3bd3b7d075c7fbe04,777cb5c935cfc7822371d00934edc55edf1c71ac68492182af7631aa4b6c8d29,f60249ca0fcc72a06ea9686983ae0f3fad5a3430703598db65fde1283f1728d2,3682642e02fefe69f4290c2a588daddaaa83ebbff46dcdf070aa4e8f5e3ee96f,9ad9161c4e22a76d40958972cb2259d43b401e58feb46d2fd8e77173cea7847e
"0","3","1","20","10","2","1101","2","4","75","1","10","5","1"
"65","3","3","20","10","2","1102","3","4","75","1","10","5","1"
"0","3","4","20","10","2","1103","5","4","75","1","10","5","1"
"65","3","6","20","10","2","1104","6","4","75","1","10","5","1"
"0","3","7","20","10","2","1105","8","4","75","1","10","5","1"
"65","3","9","20","10","2","1106","9","4","75","1","10","5","1"
"0","3","10","20","10","2","1107","11","4","75","1","10","5","1"
"65","3","12","20","10","2","1108","12","4","75","1","10","5","1"
"0","3","13","20","10","2","1109","14","4","75","1","10","5","1"
"65","3","15","20","10","2","1110","15","4","75","1","10","5","1"
"0","3","1","30","12","2","2101","2","4","60","2","12","5","1"
"40","3","3","30","12","2","2102","3","4","60","2","12","5","1"
"0","3","4","30","12","2","2103","5","4","60","2","12","5","1"
"40","3","6","30","12","2","2104","6","4","60","2","12","5","1"
"0","3","7","30","12","2","2105","8","4","60","2","12","5","1"
"40","3","9","30","12","2","2106","9","4","60","2","12","5","1"
"0","3","10","30","12","2","2107","11","4","60","2","12","5","1"
"40","3","12","30","12","2","2108","12","4","60","2","12","5","1"
"0","3","13","30","12","2","2109","14","4","60","2","12","5","1"
"40","3","15","30","12","2","2110","15","4","60","2","12","5","1"
"0","3","1","25","13","2","3101","2","4","65","3","13","5","1"
"35","3","3","25","13","2","3102","3","4","65","3","13","5","1"
"0","3","4","25","13","2","3103","5","4","65","3","13","5","1"
"35","3","6","25","13","2","3104","6","4","65","3","13","5","1"
"0","3","7","25","13","2","3105","8","4","65","3","13","5","1"
"35","3","9","25","13","2","3106","9","4","65","3","13","5","1"
"0","3","10","25","13","2","3107","11","4","65","3","13","5","1"
"35","3","12","25","13","2","3108","12","4","65","3","13","5","1"
"0","3","13","25","13","2","3109","14","4","65","3","13","5","1"
"35","3","15","25","13","2","3110","15","4","65","3","13","5","1"
"0","3","1","25","13","2","4101","2","4","65","4","13","5","1"
"35","3","3","25","13","2","4102","3","4","65","4","13","5","1"
"0","3","4","25","13","2","4103","5","4","65","4","13","5","1"
"35","3","6","25","13","2","4104","6","4","65","4","13","5","1"
"0","3","7","25","13","2","4105","8","4","65","4","13","5","1"
"35","3","9","25","13","2","4106","9","4","65","4","13","5","1"
"0","3","10","25","13","2","4107","11","4","65","4","13","5","1"
"35","3","12","25","13","2","4108","12","4","65","4","13","5","1"
"0","3","13","25","13","2","4109","14","4","65","4","13","5","1"
"35","3","15","25","13","2","4110","15","4","65","4","13","5","1"
"0","3","1","30","12","2","5101","2","4","65","5","12","6","1"
"25","3","3","30","12","2","5102","3","4","65","5","12","6","1"
"0","3","4","30","12","2","5103","5","4","65","5","12","6","1"
"25","3","6","30","12","2","5104","6","4","65","5","12","6","1"
"0","3","7","30","12","2","5105","8","4","65","5","12","6","1"
"25","3","9","30","12","2","5106","9","4","65","5","12","6","1"
"0","3","10","30","12","2","5107","11","4","65","5","12","6","1"
"25","3","12","30","12","2","5108","12","4","65","5","12","6","1"
"0","3","13","30","12","2","5109","14","4","65","5","12","6","1"
"25","3","15","30","12","2","5110","15","4","65","5","12","6","1"
"0","3","1","30","13","2","6101","2","4","60","6","13","6","1"
"25","3","3","30","13","2","6102","3","4","60","6","13","6","1"
"0","3","4","30","13","2","6103","5","4","60","6","13","6","1"
"25","3","6","30","13","2","6104","6","4","60","6","13","6","1"
"0","3","7","30","13","2","6105","8","4","60","6","13","6","1"
"25","3","9","30","13","2","6106","9","4","60","6","13","6","1"
"0","3","10","30","13","2","6107","11","4","60","6","13","6","1"
"25","3","12","30","13","2","6108","12","4","60","6","13","6","1"
"0","3","13","30","13","2","6109","14","4","60","6","13","6","1"
"25","3","15","30","13","2","6110","15","4","60","6","13","6","1"
"0","3","1","40","15","2","7101","2","4","25","7","15","6","1"
"35","3","3","40","15","2","7102","3","4","25","7","15","6","1"
"0","3","4","40","15","2","7103","5","4","25","7","15","6","1"
"35","3","6","40","15","2","7104","6","4","25","7","15","6","1"
"0","3","7","40","15","2","7105","8","4","25","7","15","6","1"
"35","3","9","40","15","2","7106","9","4","25","7","15","6","1"
"0","3","10","40","15","2","7107","11","4","25","7","15","6","1"
"35","3","12","40","15","2","7108","12","4","25","7","15","6","1"
"0","3","13","40","15","2","7109","14","4","25","7","15","6","1"
"35","3","15","40","15","2","7110","15","4","25","7","15","6","1"
"0","3","1","30","12","2","8101","2","4","65","8","12","5","1"
"40","3","3","30","12","2","8102","3","4","65","8","12","5","1"
"0","3","4","30","12","2","8103","5","4","65","8","12","5","1"
"40","3","6","30","12","2","8104","6","4","65","8","12","5","1"
"0","3","7","30","12","2","8105","8","4","65","8","12","5","1"
"40","3","9","30","12","2","8106","9","4","65","8","12","5","1"
"0","3","10","30","12","2","8107","11","4","65","8","12","5","1"
"40","3","12","30","12","2","8108","12","4","65","8","12","5","1"
"0","3","13","30","12","2","8109","14","4","65","8","12","5","1"
"40","3","15","30","12","2","8110","15","4","65","8","12","5","1"
