383a9c9d884b9180845b4167966acac4fa659ca77f2bbd65ebd5d172fbeee976,3ee6df5b40fc8eae19d4160ceeb48f813c35f2d8f6d9f225b231c9270240cabf,f64e658f099cefdd4485c229943af72951f3669e52e3cf6e4aefaa49b3061705,680a49637243ac07e06daf08931a30e972f14b360f5bdce0f901a9fba3afdf49,05a9311b3408870e71e6c91dbf5443b0596ae31a3b096bc20dba8225992a92df,84f04d9b0b3d68354638c26a13d8bdda591f603a4410d84a53efb52b389bffb6,aa1de190aa690d4eb92aefe3d5fb488deb665bad7e354d31fcc99846fedfdd28,653dded330ab23659b3f699a240bcd2ec8f72eed0dbcabb8d4217cd382b23041,153985bc0c038c533303496d9a90cce6b4cef24ef652b5129540e95232779246,07a7881ca496ce019451f80ca92b3e49750629b3540c24235d9dc3f20da47270
"2","vo_10011600","0","0","0","1","1","vo_10011600_0101","","1010001"
"1","0","0","0","8","2","1","0","　從明天開始","1010002"
"4","0","1.625","1","0","3","1","0","","1010003"
"1","0","0","0","10","4","1","0","就要入學聖德蕾莎女學院了！","1010004"
"4","0","4","1","0","5","1","0","","1010005"
"2","vo_10011600","0","0","0","6","1","vo_10011600_0102","","1010006"
"1","0","0","0","8","7","1","0","　為什麼","1010007"
"4","0","1.375","1","0","8","1","0","","1010008"
"1","0","0","0","9","9","1","0","事情會變成這個樣子呢？\n","1010009"
"4","0","3.33333333333333","1","0","10","1","0","","1010010"
"2","vo_10011600","0","0","0","11","1","vo_10011600_0103","","1010011"
"1","0","0","0","8","12","1","0","雖然美里老師","1010012"
"4","0","1.75","1","0","13","1","0","","1010013"
"1","0","0","0","10","14","1","0","說我一定沒問題的……","1010014"
"4","0","3","1","0","15","1","0","","1010015"
"1","0","0","0","8","16","1","0","但是我一定辦不到啊～！\n","1010016"
"4","0","3.875","1","0","17","1","0","","1010017"
"2","vo_10011600","0","0","0","18","1","vo_10011600_0104","","1010018"
"1","0","0","0","8","19","1","0","可是。","1010019"
"4","0","2.375","1","0","20","1","0","","1010020"
"1","0","0","0","8","21","1","0","可是……","1010021"
"4","0","2.5","1","0","22","1","0","","1010022"
"2","vo_10011600","0","0","0","23","1","vo_10011600_0105","","1010023"
"1","0","0","0","8","24","1","0","可是、","1010024"
"4","0","1.375","1","0","25","1","0","","1010025"
"1","0","0","0","8","26","1","0","如果、","1010026"
"4","0","1.5","1","0","27","1","0","","1010027"
"1","0","0","0","8","28","1","0","我可以在聖德蕾莎女學院好好努力。\n\n","1010028"
"4","0","4.875","1","0","29","1","0","","1010029"
"2","vo_10011600","0","0","0","30","1","vo_10011600_0106","","1010030"
"1","0","0","0","6","31","1","0","……是不是就能","1010031"
"4","0","1.58333333333333","1","0","32","1","0","","1010032"
"1","0","0","0","8","33","1","0","交到朋友呢？","1010033"
"4","0","1.75","1","0","34","1","0","","1010034"
"2","vo_10011600","0","0","0","1","2","vo_10011600_0201","","1020001"
"1","0","0","0","8","2","2","0","　一想到要用「日安」向別人打招呼，","1020002"
"4","0","2.375","1","0","3","2","0","","1020003"
"1","0","0","0","8","4","2","0","我孤單的心靈就會緊張到怦怦狂跳。\n","1020004"
"4","0","4","1","0","5","2","0","","1020005"
"2","vo_10011600","0","0","0","6","2","vo_10011600_0202","","1020006"
"1","0","0","0","8","7","2","0","不過，","1020007"
"4","0","1.125","1","0","8","2","0","","1020008"
"1","0","0","0","8","9","2","0","此時BB團團長卻突然現身！","1020009"
"4","0","3.75","1","0","10","2","0","","1020010"
"2","vo_10011600","0","0","0","11","2","vo_10011600_0203","","1020011"
"1","0","0","0","8","12","2","0","　BB團的羈絆","1020012"
"4","0","1.875","1","0","13","2","0","","1020013"
"1","0","0","0","8","14","2","0","不管走到哪裡都不會改變呢！\n","1020014"
"4","0","3.75","1","0","15","2","0","","1020015"
"2","vo_10011600","0","0","0","16","2","vo_10011600_0204","","1020016"
"1","0","0","0","8","17","2","0","然後，","1020017"
"4","0","1","1","0","18","2","0","","1020018"
"1","0","0","0","8","19","2","0","我認識了和那個人一起來到","1020019"
"4","0","2","1","0","20","2","0","","1020020"
"1","0","0","0","8","21","2","0","聖德蕾莎女學院","1020021"
"4","0","1.125","1","0","22","2","0","","1020022"
"1","0","0","0","8","23","2","0","（好朋友社）的成員們。","1020023"
"4","0","3.5","1","0","24","2","0","","1020024"
"2","vo_10011600","0","0","0","25","2","vo_10011600_0205","","1020025"
"1","0","0","0","8","26","2","0","　大家似乎都是很有個性的人，","1020026"
"4","0","3","1","0","27","2","0","","1020027"
"1","0","0","0","6","28","2","0","我很擔心自己是否能和他們融洽相處……","1020028"
"4","0","2.83333333333333","1","0","29","2","0","","1020029"
"2","vo_10011600","0","0","0","1","3","vo_10011600_0301","","1030001"
"1","0","0","0","8","2","3","0","　我搞砸了。","1030002"
"4","0","3","1","0","3","3","0","","1030003"
"2","vo_10011600","0","0","0","4","3","vo_10011600_0302","","1030004"
"1","0","0","0","8","5","3","0","　自我介紹對孤單的人來說就像眼前的巨大障礙。","1030005"
"4","0","5.125","1","0","6","3","0","","1030006"
"2","vo_10011600","0","0","0","7","3","vo_10011600_0303","","1030007"
"1","0","0","0","8","8","3","0","　我明明已經在腦海中做過很多次假想訓練，","1030008"
"4","0","2.625","1","0","9","3","0","","1030009"
"1","0","0","0","8","10","3","0","卻還是失敗了。","1030010"
"4","0","2.75","1","0","11","3","0","","1030011"
"2","vo_10011600","0","0","0","12","3","vo_10011600_0304","","1030012"
"1","0","0","0","8","13","3","0","　當所有同學盯著我看的那一瞬間，","1030013"
"4","0","3.5","1","0","14","3","0","","1030014"
"1","0","0","0","8","15","3","0","我的腦中變得一片空白，","1030015"
"4","0","2","1","0","16","3","0","","1030016"
"1","0","0","0","10","17","3","0","然後又開始脫口說出奇怪的話。\n","1030017"
"4","0","4.5","1","0","18","3","0","","1030018"
"2","vo_10011600","0","0","0","19","3","vo_10011600_0305","","1030019"
"1","0","0","0","8","20","3","0","雖然大家笑得很開心，","1030020"
"4","0","3","1","0","21","3","0","","1030021"
"1","0","0","0","8","22","3","0","不過我還是對未來感到不安……","1030022"
"4","0","2.25","1","0","23","3","0","","1030023"
"2","vo_10011600","0","0","0","1","4","vo_10011600_0401","","1040001"
"1","0","0","0","8","2","4","0","　優妮看起來","1040002"
"4","0","1.75","1","0","3","4","0","","1040003"
"1","0","0","0","8","4","4","0","是個很聰明的人。","1040004"
"4","0","2.625","1","0","5","4","0","","1040005"
"2","vo_10011600","0","0","0","6","4","vo_10011600_0402","","1040006"
"1","0","0","0","8","7","4","0","　她的用字譴詞十分艱澀，","1040007"
"4","0","3.75","1","0","8","4","0","","1040008"
"1","0","0","0","8","9","4","0","有些單字常常讓我聽不懂，","1040009"
"4","0","3.125","1","0","10","4","0","","1040010"
"1","0","0","0","8","11","4","0","以後我是不是應該隨身攜帶字典呢？\n","1040011"
"4","0","4","1","0","12","4","0","","1040012"
"2","vo_10011600","0","0","0","13","4","vo_10011600_0403","","1040013"
"1","0","0","0","8","14","4","0","　總是關在象牙之塔裡埋頭研究，","1040014"
"4","0","3.75","1","0","15","4","0","","1040015"
"1","0","0","0","8","16","4","0","平常不會從那裡踏出一步，","1040016"
"4","0","3.25","1","0","17","4","0","","1040017"
"1","0","0","0","8","18","4","0","散發出和我一樣的孤獨氣息。","1040018"
"4","0","3.375","1","0","19","4","0","","1040019"
"2","vo_10011600","0","0","0","20","4","vo_10011600_0404","","1040020"
"1","0","0","0","8","21","4","0","　「孤獨會召喚孤獨」，","1040021"
"4","0","2.5","1","0","22","4","0","","1040022"
"1","0","0","0","8","23","4","0","我","1040023"
"4","0","1.125","1","0","24","4","0","","1040024"
"1","0","0","0","8","25","4","0","不記得是誰說過這句話，","1040025"
"4","0","2.75","1","0","26","4","0","","1040026"
"1","0","0","0","8","27","4","0","但是說不定……\n","1040027"
"4","0","2","1","0","28","4","0","","1040028"
"2","vo_10011600","0","0","0","29","4","vo_10011600_0405","","1040029"
"1","0","0","0","8","30","4","0","擁有相同宿命的同伴，","1040030"
"4","0","2.375","1","0","31","4","0","","1040031"
"1","0","0","0","8","32","4","0","彼此可以成為好朋友？","1040032"
"4","0","2.125","1","0","33","4","0","","1040033"
"2","vo_10011600","0","0","0","1","5","vo_10011600_0501","","1050001"
"1","0","0","0","8","2","5","0","　克蘿依和我一樣都是","1050002"
"4","0","1.875","1","0","3","5","0","","1050003"
"1","0","0","0","8","4","5","0","精靈，","1050004"
"4","0","1.5","1","0","5","5","0","","1050005"
"1","0","0","0","8","6","5","0","可是……","1050006"
"4","0","1.625","1","0","7","5","0","","1050007"
"1","0","0","0","8","8","5","0","她給人的感覺，","1050008"
"4","0","1.375","1","0","9","5","0","","1050009"
"1","0","0","0","8","10","5","0","有點不太一樣。","1050010"
"4","0","2.625","1","0","11","5","0","","1050011"
"2","vo_10011600","0","0","0","12","5","vo_10011600_0502","","1050012"
"1","0","0","0","8","13","5","0","說不定擁有相同宿命的同伴，彼此可以成為好朋友？","1050013"
"4","0","3.625","1","0","14","5","0","","1050014"
"1","0","0","0","8","15","5","0","我曾經抱持這樣的想法，","1050015"
"4","0","2.125","1","0","16","5","0","","1050016"
"1","0","0","0","8","17","5","0","但是我根本不敢向她搭話！","1050017"
"4","0","3.125","1","0","18","5","0","","1050018"
"2","vo_10011600","0","0","0","19","5","vo_10011600_0503","","1050019"
"1","0","0","0","8","20","5","0","按照那個人的說法，","1050020"
"4","0","1.65","1","0","21","5","0","","1050021"
"1","0","0","0","8","22","5","0","她好像是個熱心助人，","1050022"
"4","0","1.625","1","0","23","5","0","","1050023"
"1","0","0","0","8","24","5","0","而且個性溫柔的好人……\n","1050024"
"4","0","3.125","1","0","25","5","0","","1050025"
"2","vo_10011600","0","0","0","26","5","vo_10011600_0504","","1050026"
"1","0","0","0","8","27","5","0","這麼說來，","1050027"
"4","0","2","1","0","28","5","0","","1050028"
"1","0","0","0","8","29","5","0","噗……","1050029"
"4","0","1.5","1","0","30","5","0","","1050030"
"1","0","0","0","8","31","5","0","那個聲音其實是歎息聲（？）、","1050031"
"4","0","2.375","1","0","32","5","0","","1050032"
"2","vo_10011600","0","0","0","33","5","vo_10011600_0505","","1050033"
"1","0","0","0","8","34","5","0","雖然說不出口……\n","1050034"
"4","0","2.375","1","0","35","5","0","","1050035"
"1","0","0","0","8","36","5","0","但是聽起來好可愛啊！","1050036"
"4","0","1.375","1","0","37","5","0","","1050037"
"1","0","0","0","8","38","5","0","我不禁在心裡這麼想。","1050038"
"4","0","1","1","0","39","5","0","","1050039"
"2","vo_10011600","0","0","0","1","6","vo_10011600_0601","","1060001"
"1","0","0","0","8","2","6","0","　琪愛兒則是個現充。","1060002"
"4","0","2.375","1","0","3","6","0","","1060003"
"1","0","0","0","8","4","6","0","這一點是毋庸置疑的。\n","1060004"
"4","0","2.5","1","0","5","6","0","","1060005"
"2","vo_10011600","0","0","0","6","6","vo_10011600_0602","","1060006"
"1","0","0","0","8","7","6","0","長得很可愛，擁有很多朋友。","1060007"
"4","0","2.5","1","0","8","6","0","","1060008"
"1","0","0","0","8","9","6","0","和我這種邊緣人完全相反。","1060009"
"4","0","2.875","1","0","10","6","0","","1060010"
"2","vo_10011600","0","0","0","11","6","vo_10011600_0603","","1060011"
"1","0","0","0","8","12","6","0","身上散發出令人難以直視的耀眼光芒。\n","1060012"
"4","0","3.25","1","0","13","6","0","","1060013"
"2","vo_10011600","0","0","0","14","6","vo_10011600_0604","","1060014"
"1","0","0","0","8","15","6","0","如果和她面對面說話，","1060015"
"4","0","3.5","1","0","16","6","0","","1060016"
"1","0","0","0","8","17","6","0","我的空虛心靈一定會裂成碎片，","1060017"
"4","0","2.5","1","0","18","6","0","","1060018"
"1","0","0","0","8","19","6","0","掉落滿地。\n","1060019"
"4","0","3.875","1","0","20","6","0","","1060020"
"2","vo_10011600","0","0","0","21","6","vo_10011600_0605","","1060021"
"1","0","0","0","8","22","6","0","「切嚕～」，","1060022"
"4","0","1.75","1","0","23","6","0","","1060023"
"1","0","0","0","8","24","6","0","那種問候語…","1060024"
"4","0","1.625","1","0","25","6","0","","1060025"
"1","0","0","0","8","26","6","0","如果要我說出來，我一定會當場昏倒，","1060026"
"4","0","2.75","1","0","27","6","0","","1060027"
"1","0","0","0","8","28","6","0","直接蒙主寵召……","1060028"
"4","0","3.125","1","0","29","6","0","","1060029"
"2","vo_10011600","0","0","0","1","7","vo_10011600_0701","","1070001"
"1","0","0","0","8","2","7","0","　今天真的是每件事情","1070002"
"4","0","2.375","1","0","3","7","0","","1070003"
"1","0","0","0","7","4","7","0","都受到優妮的照顧。\n","1070004"
"4","0","3.28571428571429","1","0","5","7","0","","1070005"
"2","vo_10011600","0","0","0","6","7","vo_10011600_0702","","1070006"
"1","0","0","0","8","7","7","0","和喜歡調侃人的克蘿依與琪愛兒完全不同，","1070007"
"4","0","4.625","1","0","8","7","0","","1070008"
"1","0","0","0","8","9","7","0","我從她身上看見了充滿知性，","1070009"
"4","0","1.5","1","0","10","7","0","","1070010"
"1","0","0","0","10","11","7","0","值得信賴的一面。","1070011"
"4","0","2.4","1","0","12","7","0","","1070012"
"2","vo_10011600","0","0","0","13","7","vo_10011600_0703","","1070013"
"1","0","0","0","8","14","7","0","俐落下達明確指示的模樣，","1070014"
"4","0","2.375","1","0","15","7","0","","1070015"
"1","0","0","0","8","16","7","0","充分展現出她身為公會長的威嚴。","1070016"
"4","0","3.5","1","0","17","7","0","","1070017"
"2","vo_10011600","0","0","0","18","7","vo_10011600_0704","","1070018"
"1","0","0","0","8","19","7","0","我相信優妮一定","1070019"
"4","0","2.25","1","0","20","7","0","","1070020"
"1","0","0","0","8","21","7","0","可以將優妮們的威名傳播到全世界。\n\n","1070021"
"4","0","6.625","1","0","22","7","0","","1070022"
"2","vo_10011600","0","0","0","23","7","vo_10011600_0705","","1070023"
"1","0","0","0","8","24","7","0","咦？","1070024"
"4","0","1.125","1","0","25","7","0","","1070025"
"1","0","0","0","8","26","7","0","　公會名是這樣嗎？","1070026"
"4","0","2.75","1","0","27","7","0","","1070027"
"2","vo_10011600","0","0","0","1","8","vo_10011600_0801","","1080001"
"1","0","0","0","8","2","8","0","　初次見面時，","1080002"
"4","0","1.75","1","0","3","8","0","","1080003"
"1","0","0","0","8","4","8","0","因為太害怕而遲遲不敢跟克蘿依說話。","1080004"
"4","0","4.125","1","0","5","8","0","","1080005"
"2","vo_10011600","0","0","0","6","8","vo_10011600_0802","","1080006"
"1","0","0","0","8","7","8","0","不過後來我漸漸明白她其實是個很溫柔的人，","1080007"
"4","0","2.75","1","0","8","8","0","","1080008"
"1","0","0","0","8","9","8","0","而且時常關心我的事情。\n","1080009"
"4","0","5.875","1","0","10","8","0","","1080010"
"2","vo_10011600","0","0","0","11","8","vo_10011600_0803","","1080011"
"1","0","0","0","8","12","8","0","托克蘿依的福，雖然只有一點點…","1080012"
"4","0","3.25","1","0","13","8","0","","1080013"
"1","0","0","0","8","14","8","0","不過\n我總算比較能融入班上。\n","1080014"
"4","0","4.25","1","0","15","8","0","","1080015"
"2","vo_10011600","0","0","0","16","8","vo_10011600_0804","","1080016"
"1","0","0","0","8","17","8","0","克蘿依似乎有很多兄弟姊妹。","1080017"
"4","0","4.125","1","0","18","8","0","","1080018"
"2","vo_10011600","0","0","0","19","8","vo_10011600_0805","","1080019"
"1","0","0","0","8","20","8","0","的確，","1080020"
"4","0","1.625","1","0","21","8","0","","1080021"
"1","0","0","0","8","22","8","0","今天的克蘿依差點讓我脫口喊她姊姊！","1080022"
"4","0","4.625","1","0","23","8","0","","1080023"
"2","vo_10011600","0","0","0","1","9","vo_10011600_0901","","1090001"
"1","0","0","0","8","2","9","0","　切嚕～","1090002"
"4","0","3.875","1","0","3","9","0","","1090003"
"2","vo_10011600","0","0","0","4","9","vo_10011600_0902","","1090004"
"1","0","0","0","8","5","9","0","如果可以學會說出這句問候語，","1090005"
"4","0","2.75","1","0","6","9","0","","1090006"
"1","0","0","0","8","7","9","0","我是不是就能像琪愛兒一樣","1090007"
"4","0","2.375","1","0","8","9","0","","1090008"
"1","0","0","0","8","9","9","0","開朗有自信，擁有許多朋友，","1090009"
"4","0","2.75","1","0","10","9","0","","1090010"
"1","0","0","0","8","11","9","0","變身為自己理想中的女性呢？\n","1090011"
"4","0","4.375","1","0","12","9","0","","1090012"
"2","vo_10011600","0","0","0","13","9","vo_10011600_0903","","1090013"
"1","0","0","0","8","14","9","0","不過","1090014"
"4","0","1.25","1","0","15","9","0","","1090015"
"1","0","0","0","8","16","9","0","這句問候語對我而言還太困難，","1090016"
"4","0","2.875","1","0","17","9","0","","1090017"
"1","0","0","0","8","18","9","0","今天暫且寫下來就好。\n","1090018"
"4","0","4.125","1","0","19","9","0","","1090019"
"2","vo_10011600","0","0","0","20","9","vo_10011600_0904","","1090020"
"1","0","0","0","8","21","9","0","切嚕～切嚕～切嚕～切嚕～切嚕～","1090021"
"4","0","4.125","1","0","22","9","0","","1090022"
"2","vo_10011600","0","0","0","23","9","vo_10011600_0905","","1090023"
"1","0","0","0","8","24","9","0","切嚕～切嚕～切嚕～切嚕～切嚕～","1090024"
"4","0","4.125","1","0","25","9","0","","1090025"
"2","vo_10011600","0","0","0","26","9","vo_10011600_0906","","1090026"
"1","0","0","0","8","27","9","0","切嚕～切嚕～切嚕～切嚕～切嚕～\n","1090027"
"4","0","4.125","1","0","28","9","0","","1090028"
