703c64118475f662a3f3a6cb1df6c8541354581b8323a2a31a1e46998564f1d0,194efee254ebca297bac721f4d86fbd4668dd3b7e2b26fb28107876749af231a,939dbab3b5c17e2fc708612dec60ce6ef8f22879dffc1b7554fa9cfe4e9dcb74,26fcde31b7e124ddda74729e474a88e8aa9328da211f903a3b3b4cd2907443a1,3fc0281943728e2c4dfd203516c6c061b0fe04cdfaa6ad542c4b8ca9ab2dc194,921f3494ee8a736aa9883b4e94a200ad26042bc109221c1e34d4069352b00a5e,93c8d819c7745f0c1f4a32cd443377d7e3abf081886e20f78724812dd0f4a962,5b3249259bc97d0424368cf517b97275393b26052fa55c9dfff6824fd32a3cc6,cbb84825853e051792f50c972b63c841af8aba477c0c8961b8eca3097bc8533d,d107e97beb0abb2daade0967200f1c53606125af737b71810edae2629c8a5b71,647b19bffcf32e2dde1cb6895ab3f85c0b090a0de83f5d48ffb8af9cd1f886c8
"110311","1.55","1","382","110","61001","idle_normal","5152061","1","-280","1"
"131911","1.55","1","145","106","61002","idle_normal","5152061","0","-210","1"
"102311","1.55","1","-50","107","61003","joy_idle_normal","5152061","0","-225","1"
"102111","1.55","1","-245","108","61004","wish_idle","5152061","0","-240","1"
"107711","1.55","1","-440","109","61005","idle_normal","5152061","0","-255","1"
"122811","1.45","1","40","103","61006","doya_idle","5152061","0","-105","1"
"122911","1.45","1","-160","104","61007","idle_normal","5152061","0","-120","1"
"122711","1.45","1","-355","105","61008","idle_normal","5152061","0","-135","1"
"210","","110311","","","61009","","5152061","","","13"
"206","","131911","","","61010","","5152061","","","13"
"209","","107711","","","61011","","5152061","","","13"
"205","","122711","","","61012","","5152061","","","13"
"203","","122811","","","61013","","5152061","","","13"
"204","","122911","","","61014","","5152061","","","13"
"208","","102111","","","61015","","5152061","","","13"
"207","","102311","","","61016","","5152061","","","13"
"2","0.75","2","-110","210","61017","empty","5152061","0","160","5"
"3","1","3","352","210","61018","empty","5152061","0","-45","5"
"1","1","1","0","0","61019","","5152061","","1","31"
"2","0","2","0","0","61020","","5152061","","1","31"
"3","1","3","0","0","61021","","5152061","","1","31"
"11","0","11","0","0","61022","","5152061","","1","31"
"0","","0","","","61023","","5152061","","","91"
"telop_1","","3","","","61024","","5152061","","","37"
"0","","0","","0","61025","","5152061","","","102"
"0","","1","","","61026","","5152061","","","93"
"callout_in","0.2","110311","callout_loop","0","61027","","5152061","0","1","3"
"0","","0.1","","","61028","","5152061","","","93"
"vo_rag_6001","","vo_rag","0","0","61029","","5152061","","","21"
"1001_in","0","3","","0","61030","","5152061","","","3"
"1","","1.9","","","61031","","5152061","","","93"
"1001_mid","0","3","","0","61032","","5152061","","","3"
"","","","","","61033","","5152061","","","92"
"1001_out","0","3","","0","61034","","5152061","","","3"
"0","","0.2","","","61035","","5152061","","","93"
"doya_idle_joy1R","0.3","110311","","1","61036","","5152061","","","3"
"gutsB_in_joy","0.2","102311","gutsB_talk_joy","0","61037","","5152061","0","1","3"
"wish_talk","0.2","102111","","1","61038","","5152061","","","3"
"hello_2","0.2","131911","idle_normal_joy","0","61039","","5152061","0","1","3"
"sad_talk_joy","0.2","107711","","1","61040","","5152061","","","3"
"handsup_in","0.2","122811","handsup_loop","0","61041","","5152061","0","1","3"
"leanforward_joy","0.2","122911","","1","61042","","5152061","","","3"
"talk_normal","0.2","122711","","1","61043","","5152061","","","3"
"vo_rag_6002","","vo_rag","0","0","61044","","5152061","","","21"
"-110","","3","0","142","61045","","5152061","","0","2"
"1002_in","0","3","","0","61046","","5152061","","","3"
"1","","1.9","","","61047","","5152061","","","93"
"1002_mid","0","3","","0","61048","","5152061","","","3"
"","","","","","61049","","5152061","","","92"
"1002_out","0","3","","0","61050","","5152061","","","3"
"gutsB_idle","0.2","102311","","1","61051","","5152061","","","3"
"wish_idle","0.2","102111","","1","61052","","5152061","","","3"
"idle_normal","0.2","131911","","1","61053","","5152061","","","3"
"sad_idle_normal","0.2","107711","","1","61054","","5152061","","","3"
"cool_idle","0.2","122811","","1","61055","","5152061","","","3"
"idle_normal_joy1R","0.2","122911","","1","61056","","5152061","","","3"
"wish_idle","0.2","122711","","1","61057","","5152061","","","3"
"gutsB_in","0.2","110311","gutsB_talk","0","61058","","5152061","0","1","3"
"vo_rag_6003","","vo_rag","0","0","61059","","5152061","","","21"
"大朋友也很有精神，非常好！\n馬上開始做體操吧！","0","110311","1","7","61060","0","5152061","15","1","11"
"","","0","0","0","61061","","5152061","","","91"
"bgm_MC175B","","bgm_MC175B","","","61062","","5152061","","","25"
"1","","2","","","61063","","5152061","","","32"
"kids_gungun_in","0.2","110311","kids_gungun_loop","0","61064","","5152061","0","1","3"
"vo_rag_6004","","vo_rag","0","0","61065","","5152061","","","21"
"首先把雙手朝向天空\n用力伸出去──！","0","110311","1","7","61066","1.7","5152061","0","0","11"
"0","","0.1","","","61067","","5152061","","","93"
"kids_gungun_in","0.2","131911","kids_gungun_loop","0","61068","","5152061","0","1","3"
"kids_gungun_in","0.2","102311","kids_gungun_loop","0","61069","","5152061","0","1","3"
"kids_gungun_in","0.2","102111","kids_gungun_loop","0","61070","","5152061","0","1","3"
"kids_gungun_in","0.2","107711","kids_gungun_loop","0","61071","","5152061","0","1","3"
"kids_gungun_in","0.2","122811","kids_gungun_loop","0","61072","","5152061","0","1","3"
"kids_gungun_in","0.2","122911","kids_gungun_loop","0","61073","","5152061","0","1","3"
"kids_gungun_in","0.2","122711","kids_gungun_loop","0","61074","","5152061","0","1","3"
"0","","5.2","","","61075","","5152061","","","93"
"","","61066","0","0","61076","","5152061","","","91"
"vo_rag_6005","","vo_rag","0","0","61077","","5152061","","","21"
"用力、用力！\n啊哈哈，盡情活動身體真開心呢！","13","102311","1","8","61078","2.3","5152061","60","0","11"
"0","","7.8","","","61079","","5152061","","","93"
"","","61078","0","0","61080","","5152061","","","91"
"kids_furifuri","0.3","110311","","1","61081","","5152061","","","3"
"vo_rag_6006","","vo_rag","0","0","61082","","5152061","","","21"
"接著是讓腰部左右擺動！\n動作要可愛，而且要有節奏感喔！","21","110311","1","7","61083","1.7","5152061","17","0","11"
"0","","0.1","","","61084","","5152061","","","93"
"kids_furifuri","0.3","131911","","1","61085","","5152061","","","3"
"kids_furifuriB","0.3","102311","","1","61086","","5152061","","","3"
"kids_furifuri","0.3","102111","","1","61087","","5152061","","","3"
"kids_furifuriB","0.3","107711","","1","61088","","5152061","","","3"
"kids_furifuri","0.3","122811","","1","61089","","5152061","","","3"
"kids_furifuriB","0.3","122911","","1","61090","","5152061","","","3"
"kids_furifuri","0.3","122711","","1","61091","","5152061","","","3"
"0","","7.3","","","61092","","5152061","","","93"
"","","61083","0","0","61093","","5152061","","","91"
"vo_rag_6007","","vo_rag","0","0","61094","","5152061","","","21"
"左右左右～感覺越來越有趣了呢♪","0","102111","1","8","61095","0.5","5152061","60","0","11"
"0","","5.2","","","61096","","5152061","","","93"
"","","61095","0","0","61097","","5152061","","","91"
"joy_idle","0.2","131911","","1","61098","","5152061","","","3"
"joy_idle","0.2","102311","","1","61099","","5152061","","","3"
"joy_idle","0.2","102111","","1","61100","","5152061","","","3"
"joy_idle","0.2","107711","","1","61101","","5152061","","","3"
"joy_idle","0.2","122811","","1","61102","","5152061","","","3"
"joy_idle","0.2","122911","","1","61103","","5152061","","","3"
"joy_idle","0.2","122711","","1","61104","","5152061","","","3"
"kids_jump_in_saren","0.2","110311","kids_jump_sideHair_out","0","61105","","5152061","0","0","3"
"vo_rag_6008","","vo_rag","0","0","61106","","5152061","","","21"
"最後大家一起大大地……跳躍──！","0","110311","1","7","61107","1","5152061","0","0","11"
"0","","0.1","","","61108","","5152061","","","93"
"kids_jump_in","0.2","131911","kids_jump_mid","0","61109","","5152061","0","1","3"
"kids_jump_in","0.2","102311","kids_jump_mid","0","61110","","5152061","0","1","3"
"kids_jump_in","0.2","102111","kids_jump_mid","0","61111","","5152061","0","1","3"
"kids_jump_in","0.2","107711","kids_jump_mid","0","61112","","5152061","0","1","3"
"kids_jump_in","0.2","122811","kids_jump_mid","0","61113","","5152061","0","1","3"
"kids_jump_in","0.2","122911","kids_jump_mid","0","61114","","5152061","0","1","3"
"kids_jump_in","0.2","122711","kids_jump_mid","0","61115","","5152061","0","1","3"
"0","","4.1","","","61116","","5152061","","","93"
"","","61107","0","0","61117","","5152061","","","91"
"finish","","2","","","61118","","5152061","","","37"
"se_10058300_kids_finish","","se_10058300","","0","61119","","5152061","","","23"
"kids_jump_out","0","131911","","0","61120","","5152061","","","3"
"kids_jump_out","0","102311","","0","61121","","5152061","","","3"
"kids_jump_out","0","102111","","0","61122","","5152061","","","3"
"kids_jump_sideHair_out","0","107711","","0","61123","","5152061","","","3"
"kids_jump_out","0","122811","","0","61124","","5152061","","","3"
"kids_jump_out","0","122911","","0","61125","","5152061","","","3"
"kids_jump_sideHair_out","0","122711","","0","61126","","5152061","","","3"
"vo_rag_6009","","vo_rag","0","0","61127","","5152061","","","21"
"1009_in","0","2","","0","61128","","5152061","","","3"
"1","","0.4","","","61129","","5152061","","","93"
"1009_mid","0","2","","0","61130","","5152061","","","3"
"","","","","","61131","","5152061","","","92"
"1009_out","0","2","","0","61132","","5152061","","","3"
"0","","0.2","","","61133","","5152061","","","93"
"kids_jump_end","0","131911","idle_normal","0","61134","","5152061","0.2","1","3"
"kids_jump_end","0","102311","joy_idle_normal","0","61135","","5152061","0.2","1","3"
"kids_jump_end","0","102111","wish_idle","0","61136","","5152061","0.2","1","3"
"kids_jump_sideHair_end","0","107711","idle_normal","0","61137","","5152061","0.2","1","3"
"kids_jump_end","0","122811","doya_idle","0","61138","","5152061","0.2","1","3"
"kids_jump_end","0","122911","idle_normal","0","61139","","5152061","0.2","1","3"
"kids_jump_sideHair_end","0","122711","idle_normal","0","61140","","5152061","0.2","1","3"
"bgm_MC173B","0","bgm_MC173B","0.5","0.5","61141","","5152061","1","0","27"
"kids_jump_sideHair_end","0","110311","talk_normal","0","61142","","5152061","0.2","1","3"
"vo_rag_6010","","vo_rag","0","0","61143","","5152061","","","21"
"好的，辛苦了。\n大家玩得開心嗎？","0","110311","1","6","61144","0","5152061","0","1","11"
"","","0","0","0","61145","","5152061","","","91"
"idle_normal","0.2","110311","","1","61146","","5152061","","","3"
"gutsB_in","0.2","131911","gutsB_talk","0","61147","","5152061","0","1","3"
"surprise3_in_joy2","0.2","102311","surprise3_loop_joy2","0","61148","","5152061","0","1","3"
"memory_talk","0.2","102111","","1","61149","","5152061","","","3"
"wish_talk_joy_shy","0.2","107711","","1","61150","","5152061","","","3"
"eieio_in","0.2","122811","eieio_loop","0","61151","","5152061","0","1","3"
"anger_talk_joy","0.2","122911","","1","61152","","5152061","","","3"
"sad_talk_dere2","0.2","122711","","1","61153","","5152061","","","3"
"vo_rag_6011","","vo_rag","0","0","61154","","5152061","","","21"
"嗯，非常開心！\n是很～新鮮的\n廣播體操呢！","0","131911","1","7","61155","0","5152061","60","1","11"
"","","0","0","0","61156","","5152061","","","91"
"gutsB_idle","0.2","131911","","1","61157","","5152061","","","3"
