6e2d5b289053c1a56c10e0f499d06d4d38c06663ed04bc2c107db36e6fdc6f18,701a49908a44d23db6fafc4fb4cb166d14b514a299af297b82b3bccbc8454c56,4eab1af55706dfecf35b5706a6e99596542a1fdb1f1f19d1c3f9971e7275a910,8791d7621fbcf803aa8f55fe04a8dd66d1e7d41d1d0887302b82083d15c76acf,bb371635f751bd181f3f55cc19c6bf1c1c73a5cccceb5b098074c7914682a362,9f27ed496f2146b97eb019fb37812e37528fdd7c9ac10c65845c1df467003d8e,cdf262d8ca4118ef105662a7528c970cd84d92fdef97c258c55534e85ab29a99
"400","0","70004","21","2021/04/23 05:00:00","2021/04/25 04:59:59","0"
"401","0","70004","22","2021/04/23 05:00:00","2021/04/25 04:59:59","0"
"416","1","70005","23","0","0","0"
"417","2","70005","24","0","0","0"
"418","3","70005","25","0","0","0"
"9002001","3","80004","26","2021/07/17 05:00:00","2021/07/18 04:59:59","0"
"9002002","3","80004","27","2021/07/18 05:00:00","2021/07/19 04:59:59","0"
"9002003","3","80004","28","2021/07/19 05:00:00","2021/07/20 04:59:59","0"
"9002004","3","80004","29","2021/07/20 05:00:00","2021/07/21 04:59:59","0"
"9002005","3","80004","30","2021/07/21 05:00:00","2021/07/22 04:59:59","0"
"9002006","3","80004","31","2021/07/22 05:00:00","2021/07/23 04:59:59","0"
"9002007","3","80004","32","2021/07/23 05:00:00","2021/07/24 04:59:59","0"
"9002008","3","80004","33","2021/07/24 05:00:00","2021/07/25 04:59:59","0"
"9002009","3","80004","34","2021/07/25 05:00:00","2021/07/26 04:59:59","0"
"9002010","3","80004","35","2021/07/26 05:00:00","2021/07/27 04:59:59","0"
"9002011","3","80004","36","2021/07/27 05:00:00","2021/07/28 04:59:59","0"
"9002012","3","80004","37","2021/07/28 05:00:00","2021/07/29 04:59:59","0"
"9002013","3","80004","38","2021/07/29 05:00:00","2021/07/30 04:59:59","0"
"9002014","3","80004","39","2021/07/30 05:00:00","2021/07/31 04:59:59","0"
"9002015","3","80004","40","2021/07/31 05:00:00","2021/08/01 04:59:59","0"
"9002016","3","80004","41","2021/08/01 05:00:00","2021/08/02 04:59:59","0"
"9002017","3","80004","42","2021/08/02 05:00:00","2021/08/03 04:59:59","1"
"400","0","70006","43","2022/04/24 05:00:00","2022/04/25 04:59:59","0"
"401","0","70006","44","2022/04/25 05:00:00","2022/04/26 04:59:59","0"
"9004001","3","80006","45","2022/07/16 05:00:00","2022/07/17 04:59:59","0"
"9004002","3","80006","46","2022/07/17 05:00:00","2022/07/18 04:59:59","0"
"9004003","3","80006","47","2022/07/18 05:00:00","2022/07/19 04:59:59","0"
"9004004","3","80006","48","2022/07/19 05:00:00","2022/07/20 04:59:59","0"
"9004005","3","80006","49","2022/07/20 05:00:00","2022/07/21 04:59:59","0"
"9004006","3","80006","50","2022/07/21 05:00:00","2022/07/22 04:59:59","0"
"9004007","3","80006","51","2022/07/22 05:00:00","2022/07/23 04:59:59","0"
"9004008","3","80006","52","2022/07/23 05:00:00","2022/07/24 04:59:59","0"
"9004009","3","80006","53","2022/07/24 05:00:00","2022/07/25 04:59:59","0"
"9004010","3","80006","54","2022/07/25 05:00:00","2022/07/26 04:59:59","0"
"9004011","3","80006","55","2022/07/26 05:00:00","2022/07/27 04:59:59","0"
"9004012","3","80006","56","2022/07/27 05:00:00","2022/07/28 04:59:59","0"
"9004013","3","80006","57","2022/07/28 05:00:00","2022/07/29 04:59:59","0"
"9004014","3","80006","58","2022/07/29 05:00:00","2022/07/30 04:59:59","0"
"9004015","3","80006","59","2022/07/30 05:00:00","2022/07/31 04:59:59","0"
"9004016","3","80006","60","2022/07/31 05:00:00","2022/08/01 04:59:59","0"
"9004017","3","80006","61","2022/08/01 05:00:00","2022/08/02 04:59:59","1"
"436","1","70007","62","0","0","0"
"437","2","70007","63","0","0","0"
"438","3","70007","64","0","0","0"
"9005001","3","80007","65","2023/01/06 05:00:00","2023/01/07 04:59:59","0"
"9005002","3","80007","66","2023/01/07 05:00:00","2023/01/08 04:59:59","0"
"9005003","3","80007","67","2023/01/08 05:00:00","2023/01/09 04:59:59","0"
"9005004","3","80007","68","2023/01/09 05:00:00","2023/01/10 04:59:59","0"
"9005005","3","80007","69","2023/01/10 05:00:00","2023/01/11 04:59:59","0"
"9005006","3","80007","70","2023/01/11 05:00:00","2023/01/12 04:59:59","0"
"9005007","3","80007","71","2023/01/12 05:00:00","2023/01/13 04:59:59","0"
"9005008","3","80007","72","2023/01/13 05:00:00","2023/01/14 04:59:59","0"
"9005009","3","80007","73","2023/01/14 05:00:00","2023/01/15 04:59:59","0"
"9005010","3","80007","74","2023/01/15 05:00:00","2023/01/16 04:59:59","0"
"9005011","3","80007","75","2023/01/16 05:00:00","2023/01/17 04:59:59","0"
"9005012","3","80007","76","2023/01/17 05:00:00","2023/01/18 04:59:59","0"
"9005013","3","80007","77","2023/01/18 05:00:00","2023/01/19 04:59:59","0"
"9005014","3","80007","78","2023/01/19 05:00:00","2023/01/20 04:59:59","0"
"9005015","3","80007","79","2023/01/20 05:00:00","2023/01/21 04:59:59","1"
"400","0","70008","80","2023/04/24 05:00:00","2023/04/25 04:59:59","0"
"401","0","70008","81","2023/04/25 05:00:00","2023/04/26 04:59:59","0"
"439","1","70009","82","0","0","0"
"9006001","3","80008","83","2023/07/17 05:00:00","2023/07/18 04:59:59","0"
