bee5355d1dc8b88af2b6ee900afc647f7f4bd58c6e5a8c2852c58c8660d4c3a1,fcf7429fbe169df2288b689369aaec40798360821dcb90e1677068eba0fed738,0da18068376a7793132b26533bea32178367a0d8f15cd2e4ee35085c305a261e,a3f1881e4ef52fc781b1bfb5ca60d346dd5a05d1436685dd2954e0080812b2f9,ffd47698d991fa1c2252c94c1c364993709b7abe242b18b28f2093774939218c
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001001","100100101"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001001","100100102"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001001","100100103"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001001","100100104"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001001","100100105"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001001","100100106"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001002","100100201"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001002","100100202"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001002","100100203"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001002","100100204"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001002","100100205"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001002","100100206"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001003","100100301"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001003","100100302"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001003","100100303"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001003","100100304"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001003","100100305"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001003","100100306"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001004","100100401"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001004","100100402"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001004","100100403"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001004","100100404"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001004","100100405"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001004","100100406"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001005","100100501"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001005","100100502"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001005","100100503"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001005","100100504"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001005","100100505"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001005","100100506"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001006","100100601"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001006","100100602"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001006","100100603"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001006","100100604"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001006","100100605"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001006","100100606"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001007","100100701"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001007","100100702"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001007","100100703"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001007","100100704"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001007","100100705"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001007","100100706"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001008","100100801"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001008","100100802"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001008","100100803"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001008","100100804"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001008","100100805"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001008","100100806"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001009","100100901"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001009","100100902"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001009","100100903"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001009","100100904"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001009","100100905"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001009","100100906"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001010","100101001"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001010","100101002"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001010","100101003"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001010","100101004"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001010","100101005"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001010","100101006"
"boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","81001010","100101007"
"1","戰鬥開始時，使全體角色火傷。","賦予火傷","81001010","100101008"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001011","100101101"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001011","100101102"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001011","100101103"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001011","100101104"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001011","100101105"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001011","100101106"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001012","100101201"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001012","100101202"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001012","100101203"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001012","100101204"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001012","100101205"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001012","100101206"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001013","100101301"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001013","100101302"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001013","100101303"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001013","100101304"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001013","100101305"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001013","100101306"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001014","100101401"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001014","100101402"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001014","100101403"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001014","100101404"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001014","100101405"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001014","100101406"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001015","100101501"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001015","100101502"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001015","100101503"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001015","100101504"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001015","100101505"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001015","100101506"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001016","100101601"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001016","100101602"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001016","100101603"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001016","100101604"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001016","100101605"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001016","100101606"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001017","100101701"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001017","100101702"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001017","100101703"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001017","100101704"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001017","100101705"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001017","100101706"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001018","100101801"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001018","100101802"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001018","100101803"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001018","100101804"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001018","100101805"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001018","100101806"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001019","100101901"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001019","100101902"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001019","100101903"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001019","100101904"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001019","100101905"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001019","100101906"
"12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升","81001020","100102001"
"11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","81001020","100102002"
"17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","81001020","100102003"
"boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","81001020","100102004"
"boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","81001020","100102005"
"9","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","81001020","100102006"
"boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","81001020","100102007"
