df052f0585f44120f8969b18c37cf088ea75d3171541672be9646e881bc7f539,ea42a379589e08f377da4471f85adfea3b9c932cfaed538ca3a5293a911b7662,5a076397d6955de2ffb5f7c76e6b95916a6b44be603af97434908ae478c07c19,87fed146a93e68f66010e60fe15b03cc78c15db29444aa30c0fa252fa083c57b
"1","11100","0","9040001"
"2","107101","5","9050001"
"3","108101","5","9050001"
"4","108301","5","9050001"
"5","11100","0","9040002"
"6","11100","0","9040003"
"7","91001","0","9010001"
"8","91001","0","9020001"
"9","91002","0","9020001"
"10","11101","0","9040004"
"11","11102","0","9040005"
