0246f43b6b22f41ca750358069dc12b42e59d5ed208d268361850cc2ad4ebac0,bb4453587bd2178fe4f70abbce67c05805823569a708050b6b79ec596878baf6,9cfe5232b4c5b2b6d768b95c0ec3b9de9351ede3080d14fc95f572c825894e85,ed0f6d854815f5e02ef8d9e53f9559b9c75f3fa1d1cfdcf0419313222fb23182,6c982ac7c9388314b6dc76d6c3f9480d7e1640c6468af92a33b3686070d9520b,c4df5df15c6c602c91763099f7e828cf8e5995d752077de7bec87046e6cd39aa,a9ccabd3c2345fc9a5b00c89938cbc754ec69ba80ef4181c9a4cd6612276fc1a,fc6bcc0c7baba9f9e22a66d6d5c4824baef42273986b824027c95397dec9916b
"10101020","0","1","1","1","3050100","0","24"
"0","0","2","1","2","4010200","0","24"
"10401020","0","3","1","3","3030200","0","24"
"10401020","0","4","1","4","3050200","0","24"
"10401020","0","5","1","5","3040200","0","24"
"10401020","0","6","1","6","3020200","0","24"
"0","0","7","1","7","4010300","0","24"
"10101020","0","101","1","8","3030100","0","24"
"0","0","102","1","9","3010201","0","24"
"0","0","103","1","10","3020201","0","24"
"0","0","104","1","11","3010301","0","24"
"0","0","105","1","12","3030301","0","24"
"0","0","106","1","13","3040301","0","24"
"0","0","107","1","14","3050301","0","24"
"0","0","108","1","15","3020301","0","24"
"10401050","0","109","1","16","3030300","0","24"
"10401050","0","110","1","17","3040300","0","24"
"10401050","0","111","1","18","3050300","0","24"
"10401050","0","112","1","19","3020300","0","24"
"10101020","0","201","1","20","3010100","0","24"
"10101020","0","202","1","21","3020100","0","24"
"10101020","0","203","1","22","3030100","0","24"
"10101020","0","204","1","23","3040100","0","24"
"10101020","0","205","1","24","3050100","0","24"
"10101020","0","206","1","25","3010200","0","24"
"10101020","0","207","1","26","3020200","0","24"
"10101020","0","208","1","27","3030200","0","24"
"10101020","0","209","1","28","3040200","0","24"
"10101020","0","210","1","29","3050200","0","24"
"0","112","401","1","30","1010301","0","24"
"0","203","402","1","31","1020301","0","24"
"0","306","403","1","32","1030301","0","24"
"0","401","404","1","33","1040301","0","24"
"0","508","405","1","34","1050301","0","24"
"20101050","209","406","1","35","1020301","0","24"
"20101050","306","407","1","36","1030301","0","24"
"20101050","407","408","1","37","1040301","0","24"
"20101050","501","409","1","38","1050301","0","24"
"0","0","600","1","39","0","11001337","15"
"0","0","600","150","40","0","91002","8"
"0","0","700","1","41","0","11001338","15"
"0","0","799","150","42","0","91002","8"
"0","0","800","1","43","0","11001339","15"
"0","0","999","1","44","0","0","24"
