93c603b1f722fc4e8af3fcc0e6d5f2850bd4e78d62ce8f2b19ec06975f524bef,9be7ae1e54a573d8de9b9d1fce58bf867b6b550f00871e76fcade9c02aff0b05,1d7a949f9407d2624845144bc711e6989288c41595671d5e3661ed2f617ee778,34e5ccfeefd8c2111a2b03e02299b8b3f56102dcc6bfba94c37e80690449d006,6c6e3adf8d01b8894c4a569b1d820515a48d238262d60a16bc0b34f3377a3f0a
"100111","1","1","1001","1"
"100112","1","2","1001","2"
"100113","1","3","1001","3"
"100114","1","4","1001","4"
"100115","1","5","1001","5"
"100121","2","1","1001","6"
"100122","2","2","1001","7"
"100123","2","3","1001","8"
"100124","2","4","1001","9"
"100125","2","5","1001","10"
"100131","3","1","1001","11"
"100132","3","2","1001","12"
"100133","3","3","1001","13"
"100134","3","4","1001","14"
"100135","3","5","1001","15"
"100211","1","1","1002","16"
"100212","1","2","1002","17"
"100213","1","3","1002","18"
"100214","1","4","1002","19"
"100215","1","5","1002","20"
"100221","2","1","1002","21"
"100222","2","2","1002","22"
"100223","2","3","1002","23"
"100224","2","4","1002","24"
"100225","2","5","1002","25"
"100231","3","1","1002","26"
"100232","3","2","1002","27"
"100233","3","3","1002","28"
"100234","3","4","1002","29"
"100235","3","5","1002","30"
"100311","1","1","1003","31"
"100312","1","2","1003","32"
"100313","1","3","1003","33"
"100314","1","4","1003","34"
"100315","1","5","1003","35"
"100321","2","1","1003","36"
"100322","2","2","1003","37"
"100323","2","3","1003","38"
"100324","2","4","1003","39"
"100325","2","5","1003","40"
"100331","3","1","1003","41"
"100332","3","2","1003","42"
"100333","3","3","1003","43"
"100334","3","4","1003","44"
"100335","3","5","1003","45"
