e3afab6f987c02366cf205f99720c47144c9f95c3910822c23724bcaf879c34a,7505c75a47acb9ba1205d13ba6842e198e7997f2c307ce98644bf24db2aa83a0,a220a0651a02c26101604ab7466afb8217af43be3d14910d913dd2c86cd73d80,00a87918043244ce892c82d042cf3f3e1f5e0dd179b1233e3c7f8f262adefe82,bfd2de476dc7e5932739bd4e66f5560225d079afd3b3d53cb85aa46813e36044,6001c62116b72436178170e2eaea4c99bbc402dc69d5bbb21f0fac02c582c234,c0e264554e24783a4d3f87b986dbc1fee8377b56b9a2924d87c8c1c73288f177,c9693bbfba963e81a04b1f825b48bcd41494ab82a4b12b06041d1cb3cee3bc87,c18b7e95fcde4d0f0910763b89e1529a287ebfbfb10a6d0b05b9602863635ea8,14f46ff0efe801751bc9aee80c3d2d7324fc2c77042f613b173fee1fbcf5de72,ca93963edb021edcfbe13f24360f32ed2417a4489249625aa8f6093aa5ccd63e,c74f62ef3e158f03c16250073179ca61d99db280d5cfa49ac111928ebce2284e,b9f07637fd189d140692c65d04c5390101d7e866ed06128489e0055f72769b87,10ac10bbb6df2a353d366bc871d25810dbf83facdaf0208922c6de609b98fadc,51266d4a73f7976cc8e12761720db9043094ccadf84a1ae8166074ede99d3663,cc536d1c5f49e744aaf63a546c13bca194a09e956b88fe7f469bb52d3ad528d6,87c298317ef8bc69cb2d9c8df107e6077e886e2ab143d261a755d3039bcb4277,74f4d258d463571704a87b8d65c419d7a2ad145b410193472e5587f531643268,4d195f555e94817c44e72d474a74cbea90db86424763cb0514577767d9938ee1,f2e0cb18389c1f08e823daa608a151604fd4935fcc18cae9fc05701f78cf3acc,a42c5aa34655ecf8042a2c5450203e892741a66ae0d9343fdfb950adeb6596e2,b3d45e92b7e679fbabaf8df46eb079c9eae9e6e43ddaf7427d6582e807a532f3,a34155232e4fabf873da285fd4b9cb644170eae6e106a5ae41d351d7ab55506b,e5fe370eeb087d7e483153798c43fa1e0fec0aea20ef963d68f34a2b252e0dce,c45d186415b1b6f67b9944a425a2756a3c417fc69885447723948e27c586cfe7,bcd628c77128a1e47c9d20496d0fa0ad6436d1f6e8c533f8064973f7ec399b9c,c532c83e9c47c9554f1800d739b0cef8666bcf0099ede6a1336b4155a47cb1fe,7ab2b3ae4fb4f723660b2ac05cd15b1749187d34be76df242410638b89efcbba,959895f5ef3cf35b3663a753d440e4da7f5133febe27ea4e92d7feddf0a58aee,3b72db200b93ce30646e19d7deed663f3c046b501015e9e05c246ad1127c730f,6cf4ce3c972dbee87fc5a3bb5d01a18f9e036766bfbba074a16465a3ea0cc1a9,2e887297255c6af5a55141dc36f729c550abd25356114dc77e33edc298dd0af9,93c0a2e1dc3bce35510bbfc9cde3aa61747a040a2ed0a653ea77cb9c97862861,558466806f2d0d3996cc9560f72fc1b1872b3488da569f42f547169a3b3bacbe,2a2512ac0eb5a4f0cbd0b409726ea6e774ef50725e88876787287d665166b8d4,5c57274c8c6002c601a036e6ef4a5ef92a728686d7833487e302c4a65e91bbe3,7d43b0cc530d2f37e79574ec5b7bf9cf946227a95672b461795faa097d7fae42,ccbc8d18a5a672cd5ec6ff046ab4f703455d3fdbd7e3d78d7f4e6336d1953095,b6590f6feba781ffe8ac40923973a5ae86b10a8efab09a23ae1211cfd9aaa47e,515bd2a61b0d84521ec2890a6605bc3c04e0d925e7b50c82beed1418dc118294,589b47b466e6c8f58096388652b0a051348e72d6c44ae8daeac5c1fd9939ddfe,d042110c1e72e7bfc24fda5fd14a5ed40398685dc45262bbcf3f3a8b9e58efa7,7d34a95cce18ff9ac6ec427066299dd725a00ecff630125ddefb9aaec7a79b2e,41af9c5c15ed0c22afba8607bf8c21e647ba018aeb5167599b4f41552635b131
"30","11","1","擲岩猴","200000006","1","11","10","0","11","0","11","11","0","11","11","10","82","200100","11","0","0","11","0","0","598","11","11","600010011","11","11","0","0","0","11","11","0","9","0","11","11","11","0","1"
"30","19","1","擲岩猴","200000006","1","19","10","0","19","0","19","19","0","19","19","10","177","200100","19","0","0","19","0","0","1482","19","19","600010019","15","19","0","0","0","19","19","0","13","0","19","19","19","0","1"
"30","21","1","擲岩猴","200000006","1","21","10","0","21","0","21","21","0","21","21","10","206","200100","21","0","0","21","0","0","1784","21","21","600010021","18","21","0","0","0","21","21","0","15","0","21","21","21","0","1"
"30","11","1","氣球鳥","200000001","1","11","10","0","11","0","11","11","0","11","11","10","138","200200","11","0","0","11","0","0","954","11","11","600020011","11","11","0","0","0","11","11","0","13","0","11","11","11","0","1"
"30","19","1","氣球鳥","200000001","1","19","10","0","19","0","19","19","0","19","19","10","215","200200","19","0","0","19","0","0","2090","19","19","600020019","14","19","0","0","0","19","19","0","16","0","19","19","19","0","1"
"30","20","1","氣球鳥","200000001","1","20","10","0","20","0","20","20","0","20","20","10","223","200200","20","0","0","20","0","0","2296","20","20","600020020","14","20","0","0","0","20","20","0","16","0","20","20","20","0","1"
"30","11","1","守門者","200000008","1","11","10","0","11","0","11","11","0","11","11","10","0","200300","11","0","0","11","123","0","1076","11","11","600030011","22","11","0","0","0","11","11","0","13","0","11","11","11","0","1"
"30","19","1","守門者","200000008","1","19","10","0","19","0","19","19","0","19","19","10","0","200300","19","0","0","19","200","0","2828","19","19","600030019","27","19","0","0","0","19","19","0","18","0","19","19","19","0","1"
"30","20","1","守門者","200000008","1","20","10","0","20","0","20","20","0","20","20","10","0","200300","20","0","0","20","203","0","2939","20","20","600030020","27","20","0","0","0","20","20","0","18","0","20","20","20","0","1"
"30","10","1","狼人","200000001","1","10","10","0","10","0","10","10","0","10","10","10","247","200400","10","0","0","10","0","0","1702","10","10","600040010","8","10","0","0","0","10","10","0","6","0","10","10","10","0","1"
"30","18","1","狼人","200000001","1","18","10","0","18","0","18","18","0","18","18","10","426","200400","18","0","0","18","0","0","3229","18","18","600040018","14","18","0","0","0","18","18","0","11","0","18","18","18","0","1"
"30","20","1","狼人","200000001","1","20","10","0","20","0","20","20","0","20","20","10","490","200400","20","0","0","20","0","0","3804","20","20","600040020","16","20","0","0","0","20","20","0","13","0","20","20","20","0","1"
"30","1","1","狂野角鹿","200000001","1","1","10","0","1","0","1","1","0","1","1","10","40","200500","1","0","0","1","0","0","320","1","1","600050001","3","1","0","0","0","1","1","0","2","0","1","1","1","0","1"
"30","9","1","狂野角鹿","200000001","1","9","10","0","9","0","9","9","0","9","9","10","194","200500","9","0","0","9","0","0","1634","9","9","600050009","10","9","0","0","0","9","9","0","8","0","9","9","9","0","1"
"30","12","1","狂野角鹿","200000001","1","12","10","0","12","0","12","12","0","12","12","10","231","200500","12","0","0","12","0","0","1711","12","12","600050012","13","12","0","0","0","12","12","0","10","0","12","12","12","0","1"
"30","16","1","狂野角鹿","200000001","1","16","10","0","16","0","16","16","0","16","16","10","301","200500","16","0","0","16","0","0","2290","16","16","600050016","16","16","0","0","0","16","16","0","12","0","16","16","16","0","1"
"30","20","1","狂野角鹿","200000001","1","20","10","0","20","0","20","20","0","20","20","10","446","200500","20","0","0","20","0","0","3871","20","20","600050020","18","20","0","0","0","20","20","0","13","0","20","20","20","0","1"
"30","1","1","鼠妖","200000001","1","1","10","0","1","0","1","1","0","1","1","10","28","200600","1","0","0","1","0","0","154","1","1","600060001","3","1","0","0","0","1","1","0","2","0","1","1","1","0","1"
