286317b5e71e1fdbf29820a2c96588ddcd85fb732f8b65038b4ba1f390c6c7e4,bb717c071c1b4c6cb3ffa89b58db82d8661dfca7606d732eeeebae8ce7440627,0828c3a6d60b24f22336bcaff44ee1e7028f47b737047e2cd57f4def4e51ed99,18525f658d37cbba455a5b3c6ffb33fefe522eed38bc53cc69a26759ff01a8c0,84c82582bad477b2984b20e8e0adb647df2e858c80d422cb98abf3378676c023,1d075905652884ad36eac8b4bef04a7decc9eb0c41bed5d1763d9f2c9fd22c92,8e764655a1580273ef7ccae567aea7ca4f0f80ae7bb12acf11e27c178324267a,6e074fdfe49ab7e531a5495edbd206c1c8e6e43c47f37095826543e876509a77,744eb978c1b466f5aa782de4c92c1279cc97aa081182e968f383c4e8e0dd01c2,4005ca77c040606733f43de1214bad717dae4cb127c44465dcd188c409cb90ae,c82c4fd27d23e43c9845fb48163687c706708a2996ea9da565671ed9452da12c
"-100","1000001","0","<weapon>_idle","2","1001","55","1.3","1","110010001","-250"
"0","100","","","100","1001","0","1","31","110010002","1"
"0","101","","","101","1001","0","0","31","110010003","1"
"0","4","","","4","1001","0","1","31","110010004","1"
"0","5","","","5","1001","94.5","1","31","110010005","1"
"","0","","","0","1001","","","91","110010006",""
"","0","","","0.4","1001","","","93","110010007",""
"","<weapon>_joy_short","","","1000001","1001","0","0.2","3","110010008",""
"","0","","","1.3","1001","","","93","110010009",""
"","<weapon>_run","","","1000001","1001","1","0","3","110010010",""
"1","800","","","1000001","1001","-250","","2","110010011","0"
"","0","","","0.7","1001","","","93","110010012",""
"","1","","","101","1001","","","32","110010013",""
"","0","","","0.7","1001","","","93","110010014",""
"-640","1000001","0","<weapon>_run","2","1101","55","1.3","1","111010001","-250"
"0","100","","","100","1101","0","1","31","111010002","1"
"0","101","","","101","1101","0","0","31","111010003","1"
"0","4","","","4","1101","0","1","31","111010004","1"
"","0","","","4","1101","","","35","111010005",""
"0","5","","","5","1101","0","1","31","111010006","1"
"0","10","","","10","1101","0","1","31","111010007","1"
"","","","","0","1101","","","91","111010008",""
"","1","","","100","1101","","","35","111010009",""
"2.1","640","","","1000001","1101","-250","","2","111010010","0"
"","0","","","1.7","1101","","","93","111010011",""
"","1","","","101","1101","","","32","111010012",""
"","0","","","0.7","1101","","","93","111010013",""
"0","1000001","0","look_loop","1","2001","55","1.3","1","120010001","-240"
"0","1","0","","1","2001","0","0","31","120010002","1"
"","0","","","1","2001","","","35","120010003",""
"","1","","","1","2001","","","32","120010004",""
"0","2","0","","2","2001","345.4","1","31","120010005","1"
"","0","","","2","2001","","","35","120010006",""
"0","3","0","","3","2001","345.4","0","31","120010007","1"
"","0","","","3","2001","","","35","120010008",""
"","1","","","3","2001","","","32","120010009",""
"0","31000001","","","31000001","2001","-345.4","1","31","120010010","1"
"0","31000002","","","31000002","2001","345.4","1","31","120010011","1"
"0","100","","","100","2001","0","1","31","120010012","1"
"0","101","","","101","2001","0","0","31","120010013","1"
"","","","","0","2001","","","91","120010014",""
"","1","","","100","2001","","","35","120010015",""
