eb5053e1a3b746bdc15f87f802789ca8bee4ca508550cc811df4e2d326b92d5f,b81539cbb459bfc3deab0b2fcc3d33187b5d95f77292d89413a35fc9f97031d7,e6ed8a46228d9f28b4db5e7521da9891a9ee9bcbc5d85fbff1f4ee47c44e2561,e154d00d4ee18c0b70dac1d002f59461aa2cd84a0287c1da6008a423fb998234,7fcb370032aea23bfcbead741daa6de30c838020668bad8371bc8d38d4761bf4,8cbccb21eb41f59eeaf6935bfd66008917b79840226e95e5d9af378104b3d21f,86c5e9e3ec6d92e33d232cf1651c3bf0fcacae0887de17128310da3c68a2b878
"1","1","1","1","0","0","1"
"1","2","4","2","0","0","1"
"1","3","5","1","0","12","1"
"1","4","2","2","0","0","1"
"2","5","8","1","0","0","1"
"1","1","1","1","0","0","2"
"1","2","1","2","0","0","2"
"1","3","6","1","0","0","2"
"1","4","1","2","0","0","2"
"1","5","1","3","0","0","2"
"3","6","3","1","0","11","2"
"1","7","1","2","0","0","2"
"1","8","3","1","0","0","2"
"2","9","1","1","0","0","2"
"1","1","1","1","0","0","3"
"1","2","10","2","0","0","3"
"1","3","11","1","0","0","3"
"1","4","5","2","0","0","3"
"1","5","6","3","0","0","3"
"1","6","3","3","0","0","3"
"2","7","3","4","0","9","3"
"1","8","7","4","0","0","3"
"1","9","1","4","0","0","3"
"3","10","9","1","0","8","3"
"1","11","4","2","0","0","3"
"1","12","1","1","0","0","3"
"1","13","3","4","0","0","3"
"2","14","3","3","0","11","3"
"1","1","4","1","0","10","4"
"1","2","12","1","0","12","4"
"1","3","1","2","0","10","4"
"1","4","11","1","0","4","4"
"1","5","1","2","0","0","4"
"1","6","4","1","0","13","4"
"1","7","2","2","0","6","4"
"1","8","8","1","0","0","4"
"1","9","8","2","0","10","4"
"1","1","1","1","0","10","5"
"1","2","11","2","0","5","5"
"1","3","1","1","0","7","5"
"1","4","5","2","0","12","5"
"1","5","1","1","0","11","5"
"1","6","3","2","0","4","5"
"1","7","5","2","0","12","5"
"1","8","2","1","0","6","5"
"1","9","11","2","0","4","5"
"1","10","8","1","0","8","5"
"1","11","4","1","0","10","5"
"1","12","5","2","0","10","5"
"1","1","8","1","0","7","6"
"1","2","4","2","0","10","6"
"1","3","1","1","0","11","6"
"1","4","8","2","0","8","6"
"1","5","11","1","0","6","6"
"2","6","2","1","0","7","6"
"1","7","5","1","0","4","6"
"1","8","4","2","0","10","6"
"2","9","10","1","0","13","6"
"1","1","8","1","0","7","7"
"1","2","12","2","0","10","7"
"1","3","4","2","0","12","7"
"1","4","11","1","0","7","7"
"1","5","1","1","0","10","7"
"1","6","5","2","0","12","7"
"1","7","5","2","0","11","7"
"1","8","8","2","0","10","7"
"1","9","2","1","0","8","7"
"1","10","8","1","0","7","7"
"1","11","4","2","0","9","7"
"2","1","1","1","0","10","8"
"1","2","12","2","0","10","8"
"1","3","12","1","0","5","8"
"1","4","5","1","0","12","8"
"1","5","1","2","0","10","8"
"1","6","5","1","0","12","8"
"1","7","5","1","0","12","8"
"1","8","1","2","0","10","8"
"1","9","8","2","0","9","8"
"2","10","4","1","0","9","8"
"1","1","4","1","0","8","9"
"1","2","5","1","0","10","9"
"1","3","4","2","0","7","9"
"1","4","6","2","0","8","9"
"1","5","1","1","0","10","9"
"1","6","11","1","0","11","9"
"1","7","1","1","0","6","9"
"1","8","5","2","0","8","9"
"1","9","8","2","0","7","9"
"1","10","4","1","0","6","9"
"1","1","11","2","0","10","10"
"1","2","1","1","0","7","10"
"2","3","8","1","0","8","10"
"1","4","5","2","0","9","10"
"1","5","10","1","0","8","10"
