53e8256516907fd2576ccdb6d2f09556b2aba66710013331e5db131fb1d821e8,8bf7921b1507d0f6a763317f88f27c1b38d60c533ce91abcd29b0c02eecc719d,80e6a4548190c30bf7e3039a2e86bf591aacb2f216a8ce94b34b4900384af4d6,16e5a9d6009e53176b806d1e12f9e56e0b0a55807611a5ebaac4b4af867fb087,8d12cf7916ee071b3a20f1bc1e86e6f531de0c13cf3d120d08aa13307e125436,d76c9dc28553df4bbc0c468d5b2776cdb520ab1dac108ea05dd9b3ea68ea32c1,c3c81ab4cfb26c05e48ab7fe8167d9fe3f5d02a73ced4836b2263755dab26050
"105","105","105","3","1","1","2"
"120","105","120","3","2","1","2"
"100","100","120","3","3","1","2"
"120","105","120","3","4","1","2"
"105","105","120","3","5","1","2"
"100","100","105","3","6","1","2"
"100","120","105","3","7","1","2"
"100","100","105","3","8","1","2"
"120","105","120","3","9","1","2"
"100","120","105","3","10","1","2"
"105","100","100","3","11","1","2"
"120","105","120","3","12","1","2"
"105","105","105","3","13","1","2"
"120","105","105","3","14","1","2"
"120","120","120","3","15","1","2"
"100","100","100","3","16","1","2"
"105","120","120","3","17","1","2"
"120","120","105","3","18","1","2"
"105","105","100","3","19","1","2"
"105","100","105","3","20","1","2"
"105","100","100","3","21","1","2"
"120","120","120","3","22","1","2"
"100","105","100","3","23","1","2"
"120","120","120","3","24","1","2"
"105","105","120","3","25","1","2"
"100","100","100","3","26","1","2"
"100","100","100","3","27","1","2"
"100","100","100","3","28","1","2"
"120","120","120","3","29","1","2"
"120","105","105","3","30","1","2"
