37e943bac23b6ab702d86dcfb0cc2644faeb9a8f857688a6ed8afe5124d2b6b3,02ff57174f87303c7039a1699db2083048e83f78ca2ca068e742e5293cdae755,f21da03ebd18207c9e48f8fa1c77b7b86e0cb8463bf4024c83f70219118753d6,489e4bc5622b9e55a909abc59b382ffbefa0b0216694f397764df5c89dd4514a,cde7a0f4feb349324aba5c231b4c491c5d9c04b36f835ace454f6d6da471f2f9,055256b9470b453892626699f4bcfccea5302d884c7280ef39b73c97e151b1c9,59f136eec1aef4845739d77066668ae0c7bd7ca270759b0b6fb36865b94098be,da9aa7a42901128aebeec96fd7a5c56283b8cfb40bbcf8456666c9364cf6d923,70e8645cb1d3f286dcd53287aa4682cd2d9c52df07fe4b1750666cd947c90ec4,a8236162a7dc8c07cb47d293f3c0fcbb5dd71d7b830fc34fe63bdfea96118b08,f5f53132bbc13ff2ea85f8f846385035d2fead73e3e1dc634487f32a388d4348,97a9f5550ff8c746096a87131eea42da08d2524d74ed8e3806149de91188aedc,e663325fe8ede680a45a1fda6134f5950e7f7777c769b4a939d4f99706f4bf00,2e687b56ad8b713b07e06a8e8976a4b14587f2996edce21ef126917b95b86fb6,7a79893b7f3ff2c17c65e211f5fcaf65e3dd38be26e30941a650f2b15ce3b17d,24846ae77894c3ac0fb05f47fcb1d998b2ea67ee6cdae49a64e0b44804ff80a2
"0","0","0","0","0","0","0","0","80000","0","0","275000001","2","26202","0","0"
"0","0","0","0","0","0","0","0","85000","0","0","275000002","2","26202","0","0"
"0","0","0","0","0","0","0","0","90000","0","0","275000003","2","26202","0","0"
"0","0","0","0","0","0","0","0","95000","0","0","275000004","2","26202","0","0"
"0","0","0","0","0","0","0","0","100000","0","0","275000005","2","26202","0","0"
"0","0","0","0","0","0","0","0","105000","0","0","275000006","2","26202","0","0"
"0","0","0","0","0","0","0","0","110000","0","0","275000007","2","26202","0","0"
"0","0","0","0","0","0","0","0","115000","0","0","275000008","2","26202","0","0"
"0","0","0","0","0","0","0","0","120000","0","0","275000009","2","26202","0","0"
"0","0","0","0","0","0","0","0","125000","0","0","275000010","2","26202","0","0"
"0","0","0","0","0","0","0","0","130000","0","0","275000011","2","26202","0","0"
"0","0","0","0","0","0","0","0","135000","0","0","275000012","2","26202","0","0"
"4109501","0","0","0","0","0","2","18","50000","400","1","276010001","2","26202","90013","0"
"0","0","0","0","0","0","2","0","50000","425","0","276010002","2","26202","90013","0"
"0","0","0","0","0","0","2","0","50000","450","0","276010003","2","26202","90013","0"
"0","0","0","0","0","0","2","0","100000","475","0","276010004","2","26202","90013","0"
"26203","0","0","0","0","0","2","2","100000","500","1","276010005","2","26202","90013","0"
"4101501","0","0","0","0","0","2","18","50000","400","1","276020001","2","26202","90013","0"
"0","0","0","0","0","0","2","0","50000","425","0","276020002","2","26202","90013","0"
"0","0","0","0","0","0","2","0","50000","450","0","276020003","2","26202","90013","0"
"0","0","0","0","0","0","2","0","100000","475","0","276020004","2","26202","90013","0"
"26203","0","0","0","0","0","2","2","100000","500","1","276020005","2","26202","90013","0"
